(at-curb car_10), layer: 0
(at-curb-num car_10 curb_0), layer: 0
(behind-car car_06 car_10), layer: 0
(car-clear car_06), layer: 0
(at-curb car_03), layer: 0
(at-curb-num car_03 curb_1), layer: 0
(behind-car car_15 car_03), layer: 0
(car-clear car_15), layer: 0
(at-curb car_01), layer: 0
(at-curb-num car_01 curb_2), layer: 0
(behind-car car_05 car_01), layer: 0
(car-clear car_05), layer: 0
(at-curb car_08), layer: 0
(at-curb-num car_08 curb_3), layer: 0
(behind-car car_14 car_08), layer: 0
(car-clear car_14), layer: 0
(at-curb car_07), layer: 0
(at-curb-num car_07 curb_4), layer: 0
(behind-car car_09 car_07), layer: 0
(car-clear car_09), layer: 0
(at-curb car_11), layer: 0
(at-curb-num car_11 curb_5), layer: 0
(behind-car car_13 car_11), layer: 0
(car-clear car_13), layer: 0
(at-curb car_04), layer: 0
(at-curb-num car_04 curb_6), layer: 0
(behind-car car_02 car_04), layer: 0
(car-clear car_02), layer: 0
(at-curb car_12), layer: 0
(at-curb-num car_12 curb_7), layer: 0
(car-clear car_12), layer: 0
(at-curb car_00), layer: 0
(at-curb-num car_00 curb_8), layer: 0
(car-clear car_00), layer: 0
(curb-clear curb_7), layer: 1
(behind-car car_12 car_12), layer: 1
(behind-car car_12 car_00), layer: 1
(curb-clear curb_8), layer: 1
(behind-car car_00 car_12), layer: 1
(behind-car car_00 car_00), layer: 1
(car-clear car_10), layer: 1
(behind-car car_06 car_12), layer: 1
(behind-car car_06 car_00), layer: 1
(car-clear car_03), layer: 1
(behind-car car_15 car_12), layer: 1
(behind-car car_15 car_00), layer: 1
(car-clear car_01), layer: 1
(behind-car car_05 car_12), layer: 1
(behind-car car_05 car_00), layer: 1
(car-clear car_08), layer: 1
(behind-car car_14 car_12), layer: 1
(behind-car car_14 car_00), layer: 1
(car-clear car_07), layer: 1
(behind-car car_09 car_12), layer: 1
(behind-car car_09 car_00), layer: 1
(car-clear car_11), layer: 1
(behind-car car_13 car_12), layer: 1
(behind-car car_13 car_00), layer: 1
(car-clear car_04), layer: 1
(behind-car car_02 car_12), layer: 1
(behind-car car_02 car_00), layer: 1
(at-curb-num car_12 curb_8), layer: 2
(at-curb-num car_00 curb_7), layer: 2
(curb-clear curb_0), layer: 2
(at-curb-num car_10 curb_7), layer: 2
(at-curb-num car_10 curb_8), layer: 2
(curb-clear curb_1), layer: 2
(at-curb-num car_03 curb_7), layer: 2
(at-curb-num car_03 curb_8), layer: 2
(curb-clear curb_2), layer: 2
(at-curb-num car_01 curb_7), layer: 2
(at-curb-num car_01 curb_8), layer: 2
(curb-clear curb_3), layer: 2
(at-curb-num car_08 curb_7), layer: 2
(at-curb-num car_08 curb_8), layer: 2
(curb-clear curb_4), layer: 2
(at-curb-num car_07 curb_7), layer: 2
(at-curb-num car_07 curb_8), layer: 2
(curb-clear curb_5), layer: 2
(at-curb-num car_11 curb_7), layer: 2
(at-curb-num car_11 curb_8), layer: 2
(curb-clear curb_6), layer: 2
(at-curb-num car_04 curb_7), layer: 2
(at-curb-num car_04 curb_8), layer: 2
(behind-car car_12 car_10), layer: 2
(behind-car car_12 car_03), layer: 2
(behind-car car_12 car_01), layer: 2
(behind-car car_12 car_08), layer: 2
(behind-car car_12 car_07), layer: 2
(behind-car car_12 car_11), layer: 2
(behind-car car_12 car_04), layer: 2
(behind-car car_00 car_10), layer: 2
(behind-car car_00 car_03), layer: 2
(behind-car car_00 car_01), layer: 2
(behind-car car_00 car_08), layer: 2
(behind-car car_00 car_07), layer: 2
(behind-car car_00 car_11), layer: 2
(behind-car car_00 car_04), layer: 2
(behind-car car_10 car_12), layer: 2
(behind-car car_10 car_00), layer: 2
(behind-car car_10 car_10), layer: 2
(behind-car car_10 car_03), layer: 2
(behind-car car_10 car_01), layer: 2
(behind-car car_10 car_08), layer: 2
(behind-car car_10 car_07), layer: 2
(behind-car car_10 car_11), layer: 2
(behind-car car_10 car_04), layer: 2
(behind-car car_03 car_12), layer: 2
(behind-car car_03 car_00), layer: 2
(behind-car car_03 car_10), layer: 2
(behind-car car_03 car_03), layer: 2
(behind-car car_03 car_01), layer: 2
(behind-car car_03 car_08), layer: 2
(behind-car car_03 car_07), layer: 2
(behind-car car_03 car_11), layer: 2
(behind-car car_03 car_04), layer: 2
(behind-car car_01 car_12), layer: 2
(behind-car car_01 car_00), layer: 2
(behind-car car_01 car_10), layer: 2
(behind-car car_01 car_03), layer: 2
(behind-car car_01 car_01), layer: 2
(behind-car car_01 car_08), layer: 2
(behind-car car_01 car_07), layer: 2
(behind-car car_01 car_11), layer: 2
(behind-car car_01 car_04), layer: 2
(behind-car car_08 car_12), layer: 2
(behind-car car_08 car_00), layer: 2
(behind-car car_08 car_10), layer: 2
(behind-car car_08 car_03), layer: 2
(behind-car car_08 car_01), layer: 2
(behind-car car_08 car_08), layer: 2
(behind-car car_08 car_07), layer: 2
(behind-car car_08 car_11), layer: 2
(behind-car car_08 car_04), layer: 2
(behind-car car_07 car_12), layer: 2
(behind-car car_07 car_00), layer: 2
(behind-car car_07 car_10), layer: 2
(behind-car car_07 car_03), layer: 2
(behind-car car_07 car_01), layer: 2
(behind-car car_07 car_08), layer: 2
(behind-car car_07 car_07), layer: 2
(behind-car car_07 car_11), layer: 2
(behind-car car_07 car_04), layer: 2
(behind-car car_11 car_12), layer: 2
(behind-car car_11 car_00), layer: 2
(behind-car car_11 car_10), layer: 2
(behind-car car_11 car_03), layer: 2
(behind-car car_11 car_01), layer: 2
(behind-car car_11 car_08), layer: 2
(behind-car car_11 car_07), layer: 2
(behind-car car_11 car_11), layer: 2
(behind-car car_11 car_04), layer: 2
(behind-car car_04 car_12), layer: 2
(behind-car car_04 car_00), layer: 2
(behind-car car_04 car_10), layer: 2
(behind-car car_04 car_03), layer: 2
(behind-car car_04 car_01), layer: 2
(behind-car car_04 car_08), layer: 2
(behind-car car_04 car_07), layer: 2
(behind-car car_04 car_11), layer: 2
(behind-car car_04 car_04), layer: 2
(at-curb-num car_06 curb_7), layer: 2
(at-curb car_06), layer: 2
(at-curb-num car_06 curb_8), layer: 2
(at-curb-num car_15 curb_7), layer: 2
(at-curb car_15), layer: 2
(at-curb-num car_15 curb_8), layer: 2
(at-curb-num car_05 curb_7), layer: 2
(at-curb car_05), layer: 2
(at-curb-num car_05 curb_8), layer: 2
(at-curb-num car_14 curb_7), layer: 2
(at-curb car_14), layer: 2
(at-curb-num car_14 curb_8), layer: 2
(at-curb-num car_09 curb_7), layer: 2
(at-curb car_09), layer: 2
(at-curb-num car_09 curb_8), layer: 2
(at-curb-num car_13 curb_7), layer: 2
(at-curb car_13), layer: 2
