Diameter for move-curb-to-curb: inf
Diameter for move-curb-to-car: inf
Diameter for move-car-to-curb: inf
Diameter for move-car-to-car: inf
Init-to-goal-distance car_00 - car_11: inf
Init-to-goal-distance car_00 - curb_00: inf
Init-to-goal-distance car_01 - car_12: inf
Init-to-goal-distance car_01 - curb_01: inf
Init-to-goal-distance car_02 - car_13: inf
Init-to-goal-distance car_02 - curb_02: inf
Init-to-goal-distance car_03 - car_14: 0
Init-to-goal-distance car_03 - curb_03: inf
Init-to-goal-distance car_04 - car_15: inf
Init-to-goal-distance car_04 - curb_04: inf
Init-to-goal-distance car_05 - car_16: 0
Init-to-goal-distance car_05 - curb_05: inf
Init-to-goal-distance car_06 - car_17: inf
Init-to-goal-distance car_06 - curb_06: inf
Init-to-goal-distance car_07 - car_18: inf
Init-to-goal-distance car_07 - curb_07: inf
Init-to-goal-distance car_08 - car_19: inf
Init-to-goal-distance car_08 - curb_08: inf
Init-to-goal-distance car_09 - curb_09: inf
Init-to-goal-distance car_10 - curb_10: inf
Init-to-goal-distance car_11 - curb_00: inf
Init-to-goal-distance car_12 - curb_01: -1
Init-to-goal-distance car_13 - curb_02: inf
Init-to-goal-distance car_14 - curb_03: inf
Init-to-goal-distance car_15 - curb_04: 0
Init-to-goal-distance car_16 - curb_05: inf
Init-to-goal-distance car_17 - curb_06: inf
Init-to-goal-distance car_18 - curb_07: inf
Init-to-goal-distance car_19 - curb_08: inf
