(saved data-0-1 server2), layer: 0
(saved data-0-4 server2), layer: 0
(saved data-0-9 server5), layer: 0
(saved data-0-10 server1), layer: 0
(usage server1 number0), layer: 0
(usage server2 number0), layer: 0
(usage server3 number0), layer: 0
(usage server4 number0), layer: 0
(usage server5 number0), layer: 0
(usage server6 number0), layer: 0
(usage server7 number0), layer: 0
(NOT-cached data-0-1 server1), layer: 0
(NOT-cached data-0-1 server2), layer: 0
(NOT-cached data-0-1 server3), layer: 0
(NOT-cached data-0-1 server4), layer: 0
(NOT-cached data-0-1 server5), layer: 0
(NOT-cached data-0-1 server6), layer: 0
(NOT-cached data-0-1 server7), layer: 0
(NOT-cached data-0-4 server1), layer: 0
(NOT-cached data-0-4 server2), layer: 0
(NOT-cached data-0-4 server3), layer: 0
(NOT-cached data-0-4 server4), layer: 0
(NOT-cached data-0-4 server5), layer: 0
(NOT-cached data-0-4 server6), layer: 0
(NOT-cached data-0-4 server7), layer: 0
(NOT-cached data-0-9 server1), layer: 0
(NOT-cached data-0-9 server2), layer: 0
(NOT-cached data-0-9 server3), layer: 0
(NOT-cached data-0-9 server4), layer: 0
(NOT-cached data-0-9 server5), layer: 0
(NOT-cached data-0-9 server6), layer: 0
(NOT-cached data-0-9 server7), layer: 0
(NOT-cached data-0-10 server1), layer: 0
(NOT-cached data-0-10 server2), layer: 0
(NOT-cached data-0-10 server3), layer: 0
(NOT-cached data-0-10 server4), layer: 0
(NOT-cached data-0-10 server5), layer: 0
(NOT-cached data-0-10 server6), layer: 0
(NOT-cached data-0-10 server7), layer: 0
(NOT-cached data-1-2 server1), layer: 0
(NOT-cached data-1-2 server2), layer: 0
(NOT-cached data-1-2 server3), layer: 0
(NOT-cached data-1-2 server4), layer: 0
(NOT-cached data-1-2 server5), layer: 0
(NOT-cached data-1-2 server6), layer: 0
(NOT-cached data-1-2 server7), layer: 0
(NOT-cached data-1-3 server1), layer: 0
(NOT-cached data-1-3 server2), layer: 0
(NOT-cached data-1-3 server3), layer: 0
(NOT-cached data-1-3 server4), layer: 0
(NOT-cached data-1-3 server5), layer: 0
(NOT-cached data-1-3 server6), layer: 0
(NOT-cached data-1-3 server7), layer: 0
(NOT-cached data-1-8 server1), layer: 0
(NOT-cached data-1-8 server2), layer: 0
(NOT-cached data-1-8 server3), layer: 0
(NOT-cached data-1-8 server4), layer: 0
(NOT-cached data-1-8 server5), layer: 0
(NOT-cached data-1-8 server6), layer: 0
(NOT-cached data-1-8 server7), layer: 0
(NOT-cached data-2-5 server1), layer: 0
(NOT-cached data-2-5 server2), layer: 0
(NOT-cached data-2-5 server3), layer: 0
(NOT-cached data-2-5 server4), layer: 0
(NOT-cached data-2-5 server5), layer: 0
(NOT-cached data-2-5 server6), layer: 0
(NOT-cached data-2-5 server7), layer: 0
(NOT-cached data-2-6 server1), layer: 0
(NOT-cached data-2-6 server2), layer: 0
(NOT-cached data-2-6 server3), layer: 0
(NOT-cached data-2-6 server4), layer: 0
(NOT-cached data-2-6 server5), layer: 0
(NOT-cached data-2-6 server6), layer: 0
(NOT-cached data-2-6 server7), layer: 0
(NOT-cached data-2-7 server1), layer: 0
(NOT-cached data-2-7 server2), layer: 0
(NOT-cached data-2-7 server3), layer: 0
(NOT-cached data-2-7 server4), layer: 0
(NOT-cached data-2-7 server5), layer: 0
(NOT-cached data-2-7 server6), layer: 0
(NOT-cached data-2-7 server7), layer: 0
(usage server2 number1), layer: 1
(cached data-0-1 server2), layer: 1
(usage server2 number5), layer: 1
(cached data-0-4 server2), layer: 1
(usage server5 number3), layer: 1
(cached data-0-9 server5), layer: 1
(usage server1 number3), layer: 1
(cached data-0-10 server1), layer: 1
(usage server2 number4), layer: 2
(usage server2 number2), layer: 2
(usage server2 number6), layer: 2
(usage server5 number6), layer: 2
(usage server1 number6), layer: 2
(usage server1 number1), layer: 2
(cached data-0-1 server1), layer: 2
(usage server1 number4), layer: 2
(usage server3 number1), layer: 2
(cached data-0-1 server3), layer: 2
(usage server7 number1), layer: 2
(cached data-0-1 server7), layer: 2
(usage server1 number5), layer: 2
(cached data-0-4 server1), layer: 2
(usage server1 number8), layer: 2
(usage server3 number5), layer: 2
(cached data-0-4 server3), layer: 2
(usage server7 number5), layer: 2
(cached data-0-4 server7), layer: 2
(cached data-0-9 server1), layer: 2
(usage server4 number3), layer: 2
(cached data-0-9 server4), layer: 2
(usage server6 number3), layer: 2
(cached data-0-9 server6), layer: 2
(usage server2 number3), layer: 2
(cached data-0-10 server2), layer: 2
(usage server2 number8), layer: 2
(usage server3 number3), layer: 2
(cached data-0-10 server3), layer: 2
(cached data-0-10 server4), layer: 2
(cached data-0-10 server5), layer: 2
(cached data-0-10 server6), layer: 2
(usage server7 number3), layer: 2
(cached data-0-10 server7), layer: 2
(script-io script1 data-0-9 data-0-4 data-1-8), layer: 0
(script-io script2 data-0-4 data-0-10 data-1-3), layer: 0
(script-io script3 data-0-9 data-0-4 data-1-2), layer: 0
(script-io script4 data-1-3 data-0-4 data-2-5), layer: 0
(script-io script5 data-1-3 data-1-8 data-2-7), layer: 0
(script-io script6 data-1-8 data-1-3 data-2-6), layer: 0
(script-io script7 data-0-9 data-0-1 data-1-3), layer: 0
(script-io script8 data-0-4 data-0-9 data-1-2), layer: 0
(script-io script9 data-1-3 data-0-4 data-2-7), layer: 0
(script-io script10 data-1-3 data-0-10 data-2-7), layer: 0
(script-io script11 data-0-1 data-0-9 data-1-8), layer: 0
(script-io script12 data-1-8 data-1-2 data-2-6), layer: 0
(script-io script13 data-1-8 data-0-4 data-2-6), layer: 0
(script-io script14 data-1-2 data-1-3 data-2-7), layer: 0
(script-io script15 data-0-1 data-0-10 data-1-8), layer: 0
