(bond c016 o066), layer: 0
(bond o066 c016), layer: 0
(bond c016 h108), layer: 0
(bond h108 c016), layer: 0
(bond c016 h106), layer: 0
(bond h106 c016), layer: 0
(bond c016 h107), layer: 0
(bond h107 c016), layer: 0
(doublebond c032 c033), layer: 0
(doublebond c033 c032), layer: 0
(bond c032 h133), layer: 0
(bond h133 c032), layer: 0
(bond c032 h134), layer: 0
(bond h134 c032), layer: 0
(bond c033 c038), layer: 0
(bond c038 c033), layer: 0
(bond c033 c034), layer: 0
(bond c034 c033), layer: 0
(bond c034 h135), layer: 0
(bond h135 c034), layer: 0
(bond c034 h136), layer: 0
(bond h136 c034), layer: 0
(bond c034 c035), layer: 0
(bond c035 c034), layer: 0
(bond c035 h138), layer: 0
(bond h138 c035), layer: 0
(bond c035 h137), layer: 0
(bond h137 c035), layer: 0
(bond c035 c036), layer: 0
(bond c036 c035), layer: 0
(bond c036 h140), layer: 0
(bond h140 c036), layer: 0
(bond c036 h139), layer: 0
(bond h139 c036), layer: 0
(bond c036 c037), layer: 0
(bond c037 c036), layer: 0
(bond c037 h142), layer: 0
(bond h142 c037), layer: 0
(bond c037 h141), layer: 0
(bond h141 c037), layer: 0
(bond c037 c038), layer: 0
(bond c038 c037), layer: 0
(bond c038 h144), layer: 0
(bond h144 c038), layer: 0
(bond c038 h143), layer: 0
(bond h143 c038), layer: 0
(bond h061 o066), layer: 0
(bond o066 h061), layer: 0
(bond c033 c032), layer: 1
(bond c032 c033), layer: 1
(bond c033 o066), layer: 1
(bond o066 c033), layer: 1
(bond c032 h061), layer: 1
(bond h061 c032), layer: 1
