(on card-d0-s3-v2 card-d0-s1-v2), layer: 0
(on card-d0-s1-v2 pile-0), layer: 0
(clear card-d0-s3-v2), layer: 0
(part-of-tableau pile-0 pile-0), layer: 0
(part-of-tableau card-d0-s1-v2 pile-0), layer: 0
(part-of-tableau card-d0-s3-v2 pile-0), layer: 0
(movable card-d0-s3-v2), layer: 0
(in-play card-d0-s1-v2), layer: 0
(in-play card-d0-s3-v2), layer: 0
(on card-d0-s2-v2 card-d0-s2-v1), layer: 0
(on card-d0-s2-v1 pile-1), layer: 0
(clear card-d0-s2-v2), layer: 0
(part-of-tableau pile-1 pile-1), layer: 0
(part-of-tableau card-d0-s2-v1 pile-1), layer: 0
(part-of-tableau card-d0-s2-v2 pile-1), layer: 0
(movable card-d0-s2-v2), layer: 0
(in-play card-d0-s2-v1), layer: 0
(in-play card-d0-s2-v2), layer: 0
(on card-d0-s0-v1 card-d0-s2-v0), layer: 0
(on card-d0-s2-v0 pile-2), layer: 0
(clear card-d0-s0-v1), layer: 0
(part-of-tableau pile-2 pile-2), layer: 0
(part-of-tableau card-d0-s2-v0 pile-2), layer: 0
(part-of-tableau card-d0-s0-v1 pile-2), layer: 0
(movable card-d0-s0-v1), layer: 0
(in-play card-d0-s2-v0), layer: 0
(in-play card-d0-s0-v1), layer: 0
(on card-d0-s3-v1 deal-0), layer: 0
(on card-d0-s0-v0 card-d0-s3-v1), layer: 0
(on card-d0-s1-v0 card-d0-s0-v0), layer: 0
(clear card-d0-s1-v0), layer: 0
(on card-d0-s3-v0 deal-1), layer: 0
(on card-d0-s0-v2 card-d0-s3-v0), layer: 0
(on card-d0-s1-v1 card-d0-s0-v2), layer: 0
(clear card-d0-s1-v1), layer: 0
(current-deal deal-0), layer: 0
(NOT-currently-dealing), layer: 0
(NOT-currently-collecting-deck), layer: 0
(NOT-movable card-d0-s0-v0), layer: 0
(NOT-movable card-d0-s0-v2), layer: 0
(NOT-movable card-d0-s1-v0), layer: 0
(NOT-movable card-d0-s1-v1), layer: 0
(NOT-movable card-d0-s1-v2), layer: 0
(NOT-movable card-d0-s2-v0), layer: 0
(NOT-movable card-d0-s2-v1), layer: 0
(NOT-movable card-d0-s3-v0), layer: 0
(NOT-movable card-d0-s3-v1), layer: 0
(NOT-currently-updating-unmovable), layer: 0
(NOT-currently-updating-movable), layer: 0
(NOT-currently-updating-part-of-tableau), layer: 0
(currently-dealing), layer: 1
(on card-d0-s0-v1 card-d0-s3-v2), layer: 1
(clear card-d0-s2-v0), layer: 1
(make-part-of-tableau card-d0-s0-v1 pile-0), layer: 1
(currently-updating-part-of-tableau), layer: 1
(on card-d0-s0-v1 card-d0-s2-v2), layer: 1
(make-part-of-tableau card-d0-s0-v1 pile-1), layer: 1
(make-movable card-d0-s2-v0), layer: 1
(currently-updating-movable), layer: 1
(make-unmovable card-d0-s3-v2), layer: 1
(currently-updating-unmovable), layer: 1
(make-unmovable card-d0-s2-v2), layer: 1
(on card-d0-s1-v0 card-d0-s3-v2), layer: 2
(clear card-d0-s0-v0), layer: 2
(in-play card-d0-s1-v0), layer: 2
(part-of-tableau card-d0-s1-v0 pile-0), layer: 2
(movable card-d0-s1-v0), layer: 2
(part-of-tableau card-d0-s0-v1 pile-0), layer: 2
(part-of-tableau card-d0-s0-v1 pile-1), layer: 2
(NOT-movable card-d0-s3-v2), layer: 2
(NOT-movable card-d0-s2-v2), layer: 2
(movable card-d0-s2-v0), layer: 2
(collect-card card-d0-s2-v0), layer: 2
(currently-collecting-deck), layer: 2
(make-movable card-d0-s2-v2), layer: 2
(make-movable card-d0-s3-v2), layer: 2
(can-continue-group card-d0-s0-v0 card-d0-s0-v1), layer: 0
(can-continue-group card-d0-s0-v1 card-d0-s0-v2), layer: 0
(can-continue-group card-d0-s1-v0 card-d0-s1-v1), layer: 0
(can-continue-group card-d0-s1-v1 card-d0-s1-v2), layer: 0
(can-continue-group card-d0-s2-v0 card-d0-s2-v1), layer: 0
(can-continue-group card-d0-s2-v1 card-d0-s2-v2), layer: 0
(can-continue-group card-d0-s3-v0 card-d0-s3-v1), layer: 0
(can-continue-group card-d0-s3-v1 card-d0-s3-v2), layer: 0
(can-be-placed-on card-d0-s0-v0 card-d0-s0-v1), layer: 0
(can-be-placed-on card-d0-s0-v1 card-d0-s0-v2), layer: 0
(can-be-placed-on card-d0-s0-v0 card-d0-s1-v1), layer: 0
(can-be-placed-on card-d0-s0-v1 card-d0-s1-v2), layer: 0
(can-be-placed-on card-d0-s0-v0 card-d0-s2-v1), layer: 0
(can-be-placed-on card-d0-s0-v1 card-d0-s2-v2), layer: 0
(can-be-placed-on card-d0-s0-v0 card-d0-s3-v1), layer: 0
(can-be-placed-on card-d0-s0-v1 card-d0-s3-v2), layer: 0
(can-be-placed-on card-d0-s1-v0 card-d0-s0-v1), layer: 0
(can-be-placed-on card-d0-s1-v1 card-d0-s0-v2), layer: 0
(can-be-placed-on card-d0-s1-v0 card-d0-s1-v1), layer: 0
(can-be-placed-on card-d0-s1-v1 card-d0-s1-v2), layer: 0
(can-be-placed-on card-d0-s1-v0 card-d0-s2-v1), layer: 0
(can-be-placed-on card-d0-s1-v1 card-d0-s2-v2), layer: 0
(can-be-placed-on card-d0-s1-v0 card-d0-s3-v1), layer: 0
(can-be-placed-on card-d0-s1-v1 card-d0-s3-v2), layer: 0
(can-be-placed-on card-d0-s2-v0 card-d0-s0-v1), layer: 0
(can-be-placed-on card-d0-s2-v1 card-d0-s0-v2), layer: 0
(can-be-placed-on card-d0-s2-v0 card-d0-s1-v1), layer: 0
(can-be-placed-on card-d0-s2-v1 card-d0-s1-v2), layer: 0
(can-be-placed-on card-d0-s2-v0 card-d0-s2-v1), layer: 0
(can-be-placed-on card-d0-s2-v1 card-d0-s2-v2), layer: 0
(can-be-placed-on card-d0-s2-v0 card-d0-s3-v1), layer: 0
(can-be-placed-on card-d0-s2-v1 card-d0-s3-v2), layer: 0
(can-be-placed-on card-d0-s3-v0 card-d0-s0-v1), layer: 0
(can-be-placed-on card-d0-s3-v1 card-d0-s0-v2), layer: 0
(can-be-placed-on card-d0-s3-v0 card-d0-s1-v1), layer: 0
(can-be-placed-on card-d0-s3-v1 card-d0-s1-v2), layer: 0
(can-be-placed-on card-d0-s3-v0 card-d0-s2-v1), layer: 0
(can-be-placed-on card-d0-s3-v1 card-d0-s2-v2), layer: 0
(can-be-placed-on card-d0-s3-v0 card-d0-s3-v1), layer: 0
(can-be-placed-on card-d0-s3-v1 card-d0-s3-v2), layer: 0
(is-ace card-d0-s0-v0), layer: 0
(is-ace card-d0-s1-v0), layer: 0
(is-ace card-d0-s2-v0), layer: 0
(is-ace card-d0-s3-v0), layer: 0
(is-king card-d0-s0-v2), layer: 0
(is-king card-d0-s1-v2), layer: 0
(is-king card-d0-s2-v2), layer: 0
(is-king card-d0-s3-v2), layer: 0
(next-deal deal-0 deal-1), layer: 0
(next-deal deal-1 deal-2), layer: 0
(to-deal card-d0-s3-v1 pile-2 deal-0 deal-0), layer: 0
(to-deal card-d0-s1-v0 pile-0 deal-0 card-d0-s0-v0), layer: 0
(to-deal card-d0-s0-v0 pile-1 deal-0 card-d0-s3-v1), layer: 0
(to-deal card-d0-s3-v0 pile-2 deal-1 deal-1), layer: 0
(to-deal card-d0-s1-v1 pile-0 deal-1 card-d0-s0-v2), layer: 0
(to-deal card-d0-s0-v2 pile-1 deal-1 card-d0-s3-v0), layer: 0
