(on card-d2-s0-v5 card-d0-s0-v5), layer: 0
(on card-d0-s0-v1 card-d2-s0-v5), layer: 0
(on card-d3-s0-v5 card-d0-s0-v1), layer: 0
(on card-d0-s0-v5 pile-0), layer: 0
(clear card-d3-s0-v5), layer: 0
(part-of-tableau pile-0 pile-0), layer: 0
(part-of-tableau card-d0-s0-v5 pile-0), layer: 0
(part-of-tableau card-d2-s0-v5 pile-0), layer: 0
(part-of-tableau card-d0-s0-v1 pile-0), layer: 0
(part-of-tableau card-d3-s0-v5 pile-0), layer: 0
(movable card-d3-s0-v5), layer: 0
(in-play card-d0-s0-v5), layer: 0
(in-play card-d2-s0-v5), layer: 0
(in-play card-d0-s0-v1), layer: 0
(in-play card-d3-s0-v5), layer: 0
(on card-d2-s0-v4 card-d1-s0-v2), layer: 0
(on card-d0-s0-v2 card-d2-s0-v4), layer: 0
(on card-d2-s0-v3 card-d0-s0-v2), layer: 0
(on card-d1-s0-v2 pile-1), layer: 0
(clear card-d2-s0-v3), layer: 0
(part-of-tableau pile-1 pile-1), layer: 0
(part-of-tableau card-d1-s0-v2 pile-1), layer: 0
(part-of-tableau card-d2-s0-v4 pile-1), layer: 0
(part-of-tableau card-d0-s0-v2 pile-1), layer: 0
(part-of-tableau card-d2-s0-v3 pile-1), layer: 0
(movable card-d2-s0-v3), layer: 0
(in-play card-d1-s0-v2), layer: 0
(in-play card-d2-s0-v4), layer: 0
(in-play card-d0-s0-v2), layer: 0
(in-play card-d2-s0-v3), layer: 0
(on card-d0-s0-v3 card-d2-s0-v7), layer: 0
(on card-d0-s0-v7 card-d0-s0-v3), layer: 0
(on card-d3-s0-v1 card-d0-s0-v7), layer: 0
(on card-d2-s0-v7 pile-2), layer: 0
(clear card-d3-s0-v1), layer: 0
(part-of-tableau pile-2 pile-2), layer: 0
(part-of-tableau card-d2-s0-v7 pile-2), layer: 0
(part-of-tableau card-d0-s0-v3 pile-2), layer: 0
(part-of-tableau card-d0-s0-v7 pile-2), layer: 0
(part-of-tableau card-d3-s0-v1 pile-2), layer: 0
(movable card-d3-s0-v1), layer: 0
(in-play card-d2-s0-v7), layer: 0
(in-play card-d0-s0-v3), layer: 0
(in-play card-d0-s0-v7), layer: 0
(in-play card-d3-s0-v1), layer: 0
(on card-d0-s0-v0 card-d3-s0-v0), layer: 0
(on card-d1-s0-v6 card-d0-s0-v0), layer: 0
(on card-d2-s0-v1 card-d1-s0-v6), layer: 0
(on card-d3-s0-v0 pile-3), layer: 0
(clear card-d2-s0-v1), layer: 0
(part-of-tableau pile-3 pile-3), layer: 0
(part-of-tableau card-d3-s0-v0 pile-3), layer: 0
(part-of-tableau card-d0-s0-v0 pile-3), layer: 0
(part-of-tableau card-d1-s0-v6 pile-3), layer: 0
(part-of-tableau card-d2-s0-v1 pile-3), layer: 0
(movable card-d2-s0-v1), layer: 0
(in-play card-d3-s0-v0), layer: 0
(in-play card-d0-s0-v0), layer: 0
(in-play card-d1-s0-v6), layer: 0
(in-play card-d2-s0-v1), layer: 0
(on card-d1-s0-v4 card-d2-s0-v8), layer: 0
(on card-d3-s0-v7 card-d1-s0-v4), layer: 0
(on card-d3-s0-v2 card-d3-s0-v7), layer: 0
(on card-d2-s0-v8 pile-4), layer: 0
(clear card-d3-s0-v2), layer: 0
(part-of-tableau pile-4 pile-4), layer: 0
(part-of-tableau card-d2-s0-v8 pile-4), layer: 0
(part-of-tableau card-d1-s0-v4 pile-4), layer: 0
(part-of-tableau card-d3-s0-v7 pile-4), layer: 0
(part-of-tableau card-d3-s0-v2 pile-4), layer: 0
(movable card-d3-s0-v2), layer: 0
(in-play card-d2-s0-v8), layer: 0
(in-play card-d1-s0-v4), layer: 0
(in-play card-d3-s0-v7), layer: 0
(in-play card-d3-s0-v2), layer: 0
(on card-d1-s0-v5 card-d3-s0-v4), layer: 0
(on card-d1-s0-v3 card-d1-s0-v5), layer: 0
(on card-d3-s0-v6 card-d1-s0-v3), layer: 0
(on card-d3-s0-v4 pile-5), layer: 0
(clear card-d3-s0-v6), layer: 0
(part-of-tableau pile-5 pile-5), layer: 0
(part-of-tableau card-d3-s0-v4 pile-5), layer: 0
(part-of-tableau card-d1-s0-v5 pile-5), layer: 0
(part-of-tableau card-d1-s0-v3 pile-5), layer: 0
(part-of-tableau card-d3-s0-v6 pile-5), layer: 0
(movable card-d3-s0-v6), layer: 0
(in-play card-d3-s0-v4), layer: 0
(in-play card-d1-s0-v5), layer: 0
(in-play card-d1-s0-v3), layer: 0
(in-play card-d3-s0-v6), layer: 0
(on card-d0-s0-v6 deal-0), layer: 0
(on card-d1-s0-v1 card-d0-s0-v6), layer: 0
(on card-d3-s0-v8 card-d1-s0-v1), layer: 0
(on card-d1-s0-v8 card-d3-s0-v8), layer: 0
(on card-d1-s0-v0 card-d1-s0-v8), layer: 0
(on card-d2-s0-v6 card-d1-s0-v0), layer: 0
(clear card-d2-s0-v6), layer: 0
(on card-d2-s0-v2 deal-1), layer: 0
(on card-d0-s0-v4 card-d2-s0-v2), layer: 0
(on card-d2-s0-v0 card-d0-s0-v4), layer: 0
(on card-d1-s0-v7 card-d2-s0-v0), layer: 0
(on card-d3-s0-v3 card-d1-s0-v7), layer: 0
(on card-d0-s0-v8 card-d3-s0-v3), layer: 0
(clear card-d0-s0-v8), layer: 0
(current-deal deal-0), layer: 0
