(open_action act_labor), layer: 0
(open_action act_wood), layer: 0
(open_action act_clay), layer: 0
(open_action act_reed), layer: 0
(open_action act_build), layer: 0
(open_action act_plow), layer: 0
(open_action act_grain), layer: 0
(open_action act_stone), layer: 0
(open_action act_family), layer: 0
(available_action act_labor), layer: 0
(available_action act_wood), layer: 0
(available_action act_clay), layer: 0
(available_action act_reed), layer: 0
(available_action act_build), layer: 0
(available_action act_plow), layer: 0
(available_action act_grain), layer: 0
(available_action act_stone), layer: 0
(available_action act_fences), layer: 0
(available_action act_sheep), layer: 0
(available_action act_sow), layer: 0
(available_action act_family), layer: 0
(available_action act_improve), layer: 0
(available_action act_carrot), layer: 0
(available_action act_boar), layer: 0
(available_action act_cattle), layer: 0
(current_worker worker2), layer: 0
(max_worker worker2), layer: 0
(current_round round1), layer: 0
(current_stage stage1), layer: 0
(harvest_phase stage1 harvest_init), layer: 0
(num_food num2), layer: 0
(built_rooms room1 worker1), layer: 0
(built_rooms room2 worker2), layer: 0
(space_rooms room3), layer: 0
(space_rooms room4), layer: 0
(NOT-newborn), layer: 0
(NOT-plowed_fields), layer: 0
(current_worker worker1), layer: 1
(num_food num3), layer: 1
(plowed_fields), layer: 1
(stored_veg grain), layer: 1
(stored_veg carrot), layer: 1
(stored_resource wood), layer: 1
(stored_resource clay), layer: 1
(stored_resource reed), layer: 1
(stored_resource stone), layer: 1
(num_food num4), layer: 2
(current_worker noworker), layer: 2
(built_rooms room3 worker3), layer: 2
(built_rooms room4 worker3), layer: 2
(next_num num0 num1), layer: 0
(next_num num1 num2), layer: 0
(next_num num2 num3), layer: 0
(next_num num3 num4), layer: 0
(next_num num4 num5), layer: 0
(next_num num5 num6), layer: 0
(next_num num6 num7), layer: 0
(next_num num7 num8), layer: 0
(next_num num8 num9), layer: 0
(next_num num9 num10), layer: 0
(next_num num10 num11), layer: 0
(next_num num11 num12), layer: 0
(next_num num12 num13), layer: 0
(next_num num13 num14), layer: 0
(next_num num14 num15), layer: 0
(next_num num15 num16), layer: 0
(num_substract num1 num1 num0), layer: 0
(num_substract num2 num1 num1), layer: 0
(num_substract num2 num2 num0), layer: 0
(num_substract num3 num1 num2), layer: 0
(num_substract num3 num2 num1), layer: 0
(num_substract num3 num3 num0), layer: 0
(num_substract num4 num1 num3), layer: 0
(num_substract num4 num2 num2), layer: 0
(num_substract num4 num3 num1), layer: 0
(num_substract num4 num4 num0), layer: 0
(num_substract num5 num1 num4), layer: 0
(num_substract num5 num2 num3), layer: 0
(num_substract num5 num3 num2), layer: 0
(num_substract num5 num4 num1), layer: 0
(num_substract num5 num5 num0), layer: 0
(num_substract num6 num1 num5), layer: 0
(num_substract num6 num2 num4), layer: 0
(num_substract num6 num3 num3), layer: 0
(num_substract num6 num4 num2), layer: 0
(num_substract num6 num5 num1), layer: 0
(num_substract num6 num6 num0), layer: 0
(num_substract num7 num1 num6), layer: 0
(num_substract num7 num2 num5), layer: 0
(num_substract num7 num3 num4), layer: 0
(num_substract num7 num4 num3), layer: 0
(num_substract num7 num5 num2), layer: 0
(num_substract num7 num6 num1), layer: 0
(num_substract num7 num7 num0), layer: 0
(num_substract num8 num1 num7), layer: 0
(num_substract num8 num2 num6), layer: 0
(num_substract num8 num3 num5), layer: 0
(num_substract num8 num4 num4), layer: 0
(num_substract num8 num5 num3), layer: 0
(num_substract num8 num6 num2), layer: 0
(num_substract num8 num7 num1), layer: 0
(num_substract num8 num8 num0), layer: 0
(num_substract num9 num1 num8), layer: 0
(num_substract num9 num2 num7), layer: 0
(num_substract num9 num3 num6), layer: 0
(num_substract num9 num4 num5), layer: 0
(num_substract num9 num5 num4), layer: 0
(num_substract num9 num6 num3), layer: 0
(num_substract num9 num7 num2), layer: 0
(num_substract num9 num8 num1), layer: 0
(num_substract num9 num9 num0), layer: 0
(num_substract num10 num1 num9), layer: 0
(num_substract num10 num2 num8), layer: 0
(num_substract num10 num3 num7), layer: 0
(num_substract num10 num4 num6), layer: 0
(num_substract num10 num5 num5), layer: 0
(num_substract num10 num6 num4), layer: 0
(num_substract num10 num7 num3), layer: 0
(num_substract num10 num8 num2), layer: 0
(num_substract num10 num9 num1), layer: 0
(num_substract num10 num10 num0), layer: 0
(num_substract num11 num1 num10), layer: 0
(num_substract num11 num2 num9), layer: 0
(num_substract num11 num3 num8), layer: 0
(num_substract num11 num4 num7), layer: 0
(num_substract num11 num5 num6), layer: 0
(num_substract num11 num6 num5), layer: 0
(num_substract num11 num7 num4), layer: 0
(num_substract num11 num8 num3), layer: 0
(num_substract num11 num9 num2), layer: 0
(num_substract num11 num10 num1), layer: 0
(num_substract num11 num11 num0), layer: 0
(num_substract num12 num1 num11), layer: 0
(num_substract num12 num2 num10), layer: 0
(num_substract num12 num3 num9), layer: 0
(num_substract num12 num4 num8), layer: 0
(num_substract num12 num5 num7), layer: 0
(num_substract num12 num6 num6), layer: 0
(num_substract num12 num7 num5), layer: 0
(num_substract num12 num8 num4), layer: 0
(num_substract num12 num9 num3), layer: 0
(num_substract num12 num10 num2), layer: 0
(num_substract num12 num11 num1), layer: 0
(num_substract num12 num12 num0), layer: 0
(num_substract num13 num1 num12), layer: 0
(num_substract num13 num2 num11), layer: 0
(num_substract num13 num3 num10), layer: 0
(num_substract num13 num4 num9), layer: 0
(num_substract num13 num5 num8), layer: 0
(num_substract num13 num6 num7), layer: 0
(num_substract num13 num7 num6), layer: 0
(num_substract num13 num8 num5), layer: 0
(num_substract num13 num9 num4), layer: 0
(num_substract num13 num10 num3), layer: 0
(num_substract num13 num11 num2), layer: 0
(num_substract num13 num12 num1), layer: 0
(num_substract num13 num13 num0), layer: 0
(num_substract num14 num1 num13), layer: 0
(num_substract num14 num2 num12), layer: 0
(num_substract num14 num3 num11), layer: 0
(num_substract num14 num4 num10), layer: 0
(num_substract num14 num5 num9), layer: 0
(num_substract num14 num6 num8), layer: 0
(num_substract num14 num7 num7), layer: 0
(num_substract num14 num8 num6), layer: 0
(num_substract num14 num9 num5), layer: 0
(num_substract num14 num10 num4), layer: 0
(num_substract num14 num11 num3), layer: 0
(num_substract num14 num12 num2), layer: 0
(num_substract num14 num13 num1), layer: 0
(num_substract num14 num14 num0), layer: 0
(num_substract num15 num1 num14), layer: 0
(num_substract num15 num2 num13), layer: 0
(num_substract num15 num3 num12), layer: 0
(num_substract num15 num4 num11), layer: 0
(num_substract num15 num5 num10), layer: 0
(num_substract num15 num6 num9), layer: 0
(num_substract num15 num7 num8), layer: 0
(num_substract num15 num8 num7), layer: 0
(num_substract num15 num9 num6), layer: 0
(num_substract num15 num10 num5), layer: 0
(num_substract num15 num11 num4), layer: 0
(num_substract num15 num12 num3), layer: 0
(num_substract num15 num13 num2), layer: 0
(num_substract num15 num14 num1), layer: 0
(num_substract num15 num15 num0), layer: 0
(num_substract num16 num1 num15), layer: 0
(num_substract num16 num2 num14), layer: 0
(num_substract num16 num3 num13), layer: 0
(num_substract num16 num4 num12), layer: 0
(num_substract num16 num5 num11), layer: 0
(num_substract num16 num6 num10), layer: 0
(num_substract num16 num7 num9), layer: 0
(num_substract num16 num8 num8), layer: 0
(num_substract num16 num9 num7), layer: 0
(num_substract num16 num10 num6), layer: 0
(num_substract num16 num11 num5), layer: 0
(num_substract num16 num12 num4), layer: 0
(num_substract num16 num13 num3), layer: 0
(num_substract num16 num14 num2), layer: 0
(num_substract num16 num15 num1), layer: 0
(num_substract num16 num16 num0), layer: 0
(next2_num num0 num2), layer: 0
(next2_num num1 num3), layer: 0
(next2_num num2 num4), layer: 0
(next2_num num3 num5), layer: 0
(next2_num num4 num6), layer: 0
(next2_num num5 num7), layer: 0
(next2_num num6 num8), layer: 0
(next2_num num7 num9), layer: 0
(next2_num num8 num10), layer: 0
(next2_num num9 num11), layer: 0
