(knows id_khost), layer: 0
(knows id_yrat), layer: 0
(knows_property id_khost pfqdn), layer: 0
(knows_property id_yrat pexecutable), layer: 0
(knows_property id_yrat phost), layer: 0
(prop_cred id_cdomainuser id_ddomaincredential), layer: 0
(prop_cred id_gdomainuser id_hdomaincredential), layer: 0
(prop_elevated id_yrat yes), layer: 0
(prop_executable id_yrat str__z), layer: 0
(prop_host id_ltimedelta id_khost), layer: 0
(prop_host id_stimedelta id_rhost), layer: 0
(prop_host id_yrat id_khost), layer: 0
(NOT-created id_bffile), layer: 0
(NOT-created id_befile), layer: 0
(NOT-created id_bhshare), layer: 0
(NOT-created id_bgshare), layer: 0
(NOT-created id_bbrat), layer: 0
(NOT-created id_barat), layer: 0
(NOT-created id_yrat), layer: 0
(knows id_ltimedelta), layer: 1
(knows_property id_khost ptimedelta), layer: 1
(knows_property id_ltimedelta phost), layer: 1
(knows_property id_ltimedelta pmicroseconds), layer: 1
(knows_property id_ltimedelta pseconds), layer: 1
(knows id_stimedelta), layer: 1
(prop_host id_stimedelta id_khost), layer: 1
(knows_property id_stimedelta phost), layer: 1
(knows_property id_stimedelta pmicroseconds), layer: 1
(knows_property id_stimedelta pseconds), layer: 1
(knows id_adomain), layer: 1
(knows_property id_khost pdomain), layer: 1
(knows_property id_adomain phosts), layer: 1
(knows_property id_adomain pwindows_domain), layer: 1
(knows_property id_adomain pdns_domain), layer: 1
(knows_property id_khost pdomain_user_admins), layer: 2
(knows id_rhost), layer: 2
(knows_property id_rhost pdomain), layer: 2
(knows_property id_rhost pfqdn), layer: 2
(knows id_cdomainuser), layer: 2
(knows_property id_cdomainuser pusername), layer: 2
(knows_property id_cdomainuser psid), layer: 2
(knows_property id_cdomainuser pis_group), layer: 2
(knows_property id_cdomainuser pdomain), layer: 2
(knows id_gdomainuser), layer: 2
(knows_property id_gdomainuser pusername), layer: 2
(knows_property id_gdomainuser psid), layer: 2
(knows_property id_gdomainuser pis_group), layer: 2
(knows_property id_gdomainuser pdomain), layer: 2
(knows id_ddomaincredential), layer: 2
(knows_property id_ddomaincredential ppassword), layer: 2
(knows_property id_ddomaincredential puser), layer: 2
(knows_property id_cdomainuser pcred), layer: 2
(knows id_hdomaincredential), layer: 2
(knows_property id_hdomaincredential ppassword), layer: 2
(knows_property id_hdomaincredential puser), layer: 2
(knows_property id_gdomainuser pcred), layer: 2
(mem_cached_domain_creds id_khost id_ddomaincredential), layer: 0
(mem_cached_domain_creds id_khost id_hdomaincredential), layer: 0
(mem_cached_domain_creds id_rhost id_ddomaincredential), layer: 0
(mem_cached_domain_creds id_rhost id_hdomaincredential), layer: 0
(mem_domain_user_admins id_khost id_cdomainuser), layer: 0
(mem_domain_user_admins id_khost id_gdomainuser), layer: 0
(mem_domain_user_admins id_rhost id_cdomainuser), layer: 0
(mem_domain_user_admins id_rhost id_gdomainuser), layer: 0
(prop_domain id_cdomainuser id_adomain), layer: 0
(prop_domain id_ddomaincredential id_adomain), layer: 0
(prop_domain id_gdomainuser id_adomain), layer: 0
(prop_domain id_hdomaincredential id_adomain), layer: 0
(prop_domain id_khost id_adomain), layer: 0
(prop_domain id_rhost id_adomain), layer: 0
(prop_fqdn id_khost str__o), layer: 0
(prop_fqdn id_rhost str__v), layer: 0
(prop_password id_ddomaincredential str__e), layer: 0
(prop_password id_hdomaincredential str__i), layer: 0
(prop_user id_ddomaincredential id_cdomainuser), layer: 0
(prop_user id_hdomaincredential id_gdomainuser), layer: 0
(prop_username id_cdomainuser str__james), layer: 0
(prop_username id_gdomainuser str__mary), layer: 0
(prop_windows_domain id_adomain str__alpha), layer: 0
