(robot-pos pos-0-0), layer: 0
(moving), layer: 0
(available pos-0-2), layer: 0
(available pos-1-2), layer: 0
(remaining-cells g0 n2), layer: 0
(remaining-cells g1 n1), layer: 0
(NOT-painted pos-0-0), layer: 0
(NOT-painted pos-0-1), layer: 0
(NOT-painted pos-0-2), layer: 0
(NOT-painted pos-1-0), layer: 0
(NOT-painted pos-1-1), layer: 0
(NOT-painted pos-1-2), layer: 0
(NOT-painted pos-2-0), layer: 0
(NOT-painted pos-2-1), layer: 0
(NOT-painted pos-2-2), layer: 0
(NOT-available pos-0-0), layer: 0
(NOT-available pos-0-1), layer: 0
(NOT-available pos-1-0), layer: 0
(NOT-available pos-1-1), layer: 0
(NOT-available pos-2-0), layer: 0
(NOT-available pos-2-1), layer: 0
(NOT-available pos-2-2), layer: 0
(NOT-part-of pos-0-0 g0), layer: 0
(NOT-part-of pos-0-2 g0), layer: 0
(NOT-part-of pos-1-1 g0), layer: 0
(NOT-part-of pos-1-2 g0), layer: 0
(NOT-part-of pos-2-0 g0), layer: 0
(NOT-part-of pos-2-1 g0), layer: 0
(NOT-part-of pos-2-2 g0), layer: 0
(NOT-part-of pos-0-0 g1), layer: 0
(NOT-part-of pos-0-1 g1), layer: 0
(NOT-part-of pos-0-2 g1), layer: 0
(NOT-part-of pos-1-0 g1), layer: 0
(NOT-part-of pos-1-2 g1), layer: 0
(NOT-part-of pos-2-1 g1), layer: 0
(NOT-blocked pos-0-0), layer: 0
(NOT-blocked pos-0-1), layer: 0
(NOT-blocked pos-0-2), layer: 0
(NOT-blocked pos-1-0), layer: 0
(NOT-blocked pos-1-1), layer: 0
(NOT-blocked pos-1-2), layer: 0
(NOT-blocked pos-2-0), layer: 0
(NOT-blocked pos-2-1), layer: 0
(NOT-blocked pos-2-2), layer: 0
(robot-pos pos-1-0), layer: 1
(robot-pos pos-0-1), layer: 1
(painting g0), layer: 1
(remaining-cells g0 n1), layer: 1
(robot-pos pos-1-1), layer: 2
(robot-pos pos-0-2), layer: 2
(robot-pos pos-2-0), layer: 2
(remaining-cells g0 n0), layer: 2
(NOT-available pos-0-2), layer: 2
(NOT-available pos-1-2), layer: 2
(next n0 n1), layer: 0
(next n1 n2), layer: 0
(connected pos-0-0 pos-1-0), layer: 0
(connected pos-0-0 pos-0-1), layer: 0
(connected pos-0-1 pos-1-1), layer: 0
(connected pos-0-1 pos-0-2), layer: 0
(connected pos-0-1 pos-0-0), layer: 0
(connected pos-0-2 pos-1-2), layer: 0
(connected pos-0-2 pos-0-1), layer: 0
(connected pos-1-0 pos-2-0), layer: 0
(connected pos-1-0 pos-1-1), layer: 0
(connected pos-1-0 pos-0-0), layer: 0
(connected pos-1-1 pos-2-1), layer: 0
(connected pos-1-1 pos-1-2), layer: 0
(connected pos-1-1 pos-0-1), layer: 0
(connected pos-1-1 pos-1-0), layer: 0
(connected pos-1-2 pos-2-2), layer: 0
(connected pos-1-2 pos-0-2), layer: 0
(connected pos-1-2 pos-1-1), layer: 0
(connected pos-2-0 pos-2-1), layer: 0
(connected pos-2-0 pos-1-0), layer: 0
(connected pos-2-1 pos-2-2), layer: 0
(connected pos-2-1 pos-1-1), layer: 0
(connected pos-2-1 pos-2-0), layer: 0
(connected pos-2-2 pos-1-2), layer: 0
(connected pos-2-2 pos-2-1), layer: 0
(source pos-0-0 g0), layer: 0
(source pos-2-1 g1), layer: 0
