Diameter for additionofrohacrossgemdisubstitutedalkene: inf
Diameter for additionofrohacrossmonosubstitutedalkene: inf
Diameter for additionofrohacrosstetrasubstitutedalkene: inf
Diameter for additionofrohacrosstrisubstitutedalkene: inf
Diameter for additionofrohacrossvicdisubstitutedalkene: inf
Diameter for etherformationbysulfonatedisplacement: inf
Diameter for sulfonylationofalcohol: inf
Init-to-goal-distance c016 - c032: inf
Init-to-goal-distance c016 - c033: inf
Init-to-goal-distance c016 - c034: inf
Init-to-goal-distance c016 - c035: inf
Init-to-goal-distance c016 - c036: inf
Init-to-goal-distance c016 - c037: inf
Init-to-goal-distance c016 - c038: inf
Init-to-goal-distance c016 - h060: inf
Init-to-goal-distance c016 - h106: 0
Init-to-goal-distance c016 - h107: 0
Init-to-goal-distance c016 - h108: 0
Init-to-goal-distance c016 - h133: inf
Init-to-goal-distance c016 - h134: inf
Init-to-goal-distance c016 - h135: inf
Init-to-goal-distance c016 - h136: inf
Init-to-goal-distance c016 - h137: inf
Init-to-goal-distance c016 - h138: inf
Init-to-goal-distance c016 - h139: inf
Init-to-goal-distance c016 - h140: inf
Init-to-goal-distance c016 - h141: inf
Init-to-goal-distance c016 - h142: inf
Init-to-goal-distance c016 - h143: inf
Init-to-goal-distance c016 - h144: inf
Init-to-goal-distance c016 - o066: 0
Init-to-goal-distance c032 - c033: 0
Init-to-goal-distance c032 - c034: 0
Init-to-goal-distance c032 - c035: 0
Init-to-goal-distance c032 - c036: 0
Init-to-goal-distance c032 - c037: 0
Init-to-goal-distance c032 - c038: 0
Init-to-goal-distance c032 - h060: 0
Init-to-goal-distance c032 - h106: inf
Init-to-goal-distance c032 - h107: inf
Init-to-goal-distance c032 - h108: inf
Init-to-goal-distance c032 - h133: 0
Init-to-goal-distance c032 - h134: 0
Init-to-goal-distance c032 - h135: 0
Init-to-goal-distance c032 - h136: 0
Init-to-goal-distance c032 - h137: 0
Init-to-goal-distance c032 - h138: 0
Init-to-goal-distance c032 - h139: 0
Init-to-goal-distance c032 - h140: 0
Init-to-goal-distance c032 - h141: 0
Init-to-goal-distance c032 - h142: 0
Init-to-goal-distance c032 - h143: 0
Init-to-goal-distance c032 - h144: 0
Init-to-goal-distance c032 - o066: inf
Init-to-goal-distance c033 - c034: 0
Init-to-goal-distance c033 - c035: 0
Init-to-goal-distance c033 - c036: 0
Init-to-goal-distance c033 - c037: 0
Init-to-goal-distance c033 - c038: 0
Init-to-goal-distance c033 - h060: 0
Init-to-goal-distance c033 - h106: inf
Init-to-goal-distance c033 - h107: inf
Init-to-goal-distance c033 - h108: inf
Init-to-goal-distance c033 - h133: 0
Init-to-goal-distance c033 - h134: 0
Init-to-goal-distance c033 - h135: 0
Init-to-goal-distance c033 - h136: 0
Init-to-goal-distance c033 - h137: 0
Init-to-goal-distance c033 - h138: 0
Init-to-goal-distance c033 - h139: 0
Init-to-goal-distance c033 - h140: 0
Init-to-goal-distance c033 - h141: 0
Init-to-goal-distance c033 - h142: 0
Init-to-goal-distance c033 - h143: 0
Init-to-goal-distance c033 - h144: 0
Init-to-goal-distance c033 - o066: inf
Init-to-goal-distance c034 - c035: 0
Init-to-goal-distance c034 - c036: 0
Init-to-goal-distance c034 - c037: 0
Init-to-goal-distance c034 - c038: 0
Init-to-goal-distance c034 - h060: 0
Init-to-goal-distance c034 - h106: inf
Init-to-goal-distance c034 - h107: inf
Init-to-goal-distance c034 - h108: inf
Init-to-goal-distance c034 - h133: 0
Init-to-goal-distance c034 - h134: 0
Init-to-goal-distance c034 - h135: 0
Init-to-goal-distance c034 - h136: 0
Init-to-goal-distance c034 - h137: 0
Init-to-goal-distance c034 - h138: 0
Init-to-goal-distance c034 - h139: 0
Init-to-goal-distance c034 - h140: 0
