(bond c016 h108), layer: 0
(bond h108 c016), layer: 0
(bond c016 h107), layer: 0
(bond h107 c016), layer: 0
(bond c016 h106), layer: 0
(bond h106 c016), layer: 0
(bond c016 o066), layer: 0
(bond o066 c016), layer: 0
(doublebond c019 c024), layer: 0
(doublebond c024 c019), layer: 0
(bond c019 c020), layer: 0
(bond c020 c019), layer: 0
(doublebond c020 c021), layer: 0
(doublebond c021 c020), layer: 0
(bond c021 s072), layer: 0
(bond s072 c021), layer: 0
(bond c021 c022), layer: 0
(bond c022 c021), layer: 0
(doublebond c022 c023), layer: 0
(doublebond c023 c022), layer: 0
(bond c023 c024), layer: 0
(bond c024 c023), layer: 0
(bond c032 o178), layer: 0
(bond o178 c032), layer: 0
(bond c032 c033), layer: 0
(bond c033 c032), layer: 0
(bond c032 h134), layer: 0
(bond h134 c032), layer: 0
(bond c032 h133), layer: 0
(bond h133 c032), layer: 0
(bond c033 h060), layer: 0
(bond h060 c033), layer: 0
(bond c033 c038), layer: 0
(bond c038 c033), layer: 0
(bond c033 c034), layer: 0
(bond c034 c033), layer: 0
(bond c034 h136), layer: 0
(bond h136 c034), layer: 0
(bond c034 h135), layer: 0
(bond h135 c034), layer: 0
(bond c034 c035), layer: 0
(bond c035 c034), layer: 0
(bond c035 h138), layer: 0
(bond h138 c035), layer: 0
(bond c035 h137), layer: 0
(bond h137 c035), layer: 0
(bond c035 c036), layer: 0
(bond c036 c035), layer: 0
(bond c036 c037), layer: 0
(bond c037 c036), layer: 0
(bond c036 h140), layer: 0
(bond h140 c036), layer: 0
(bond c036 h139), layer: 0
(bond h139 c036), layer: 0
(bond c037 h142), layer: 0
(bond h142 c037), layer: 0
(bond c037 h141), layer: 0
(bond h141 c037), layer: 0
(bond c037 c038), layer: 0
(bond c038 c037), layer: 0
(bond c038 h144), layer: 0
(bond h144 c038), layer: 0
(bond c038 h143), layer: 0
(bond h143 c038), layer: 0
(bond cl073 s072), layer: 0
(bond s072 cl073), layer: 0
(bond h061 o066), layer: 0
(bond o066 h061), layer: 0
(bond h180 o178), layer: 0
(bond o178 h180), layer: 0
(doublebond o068 s072), layer: 0
(doublebond s072 o068), layer: 0
(doublebond o069 s072), layer: 0
(doublebond s072 o069), layer: 0
(bond o066 s072), layer: 1
(bond s072 o066), layer: 1
(bond h061 cl073), layer: 1
(bond cl073 h061), layer: 1
(bond o178 s072), layer: 1
(bond s072 o178), layer: 1
(bond h180 cl073), layer: 1
(bond cl073 h180), layer: 1
(bond c016 o178), layer: 2
(bond o178 c016), layer: 2
(bond o066 h180), layer: 2
(bond h180 o066), layer: 2
(bond c032 o066), layer: 2
(bond o066 c032), layer: 2
(bond o178 h061), layer: 2
(bond h061 o178), layer: 2
