(housing p0 hl0), layer: 0
(housing p1 hl0), layer: 0
(housing p2 hl0), layer: 0
(available-stone p0 sl4), layer: 0
(available-atleast-stone p0 sl1), layer: 0
(available-atleast-stone p0 sl2), layer: 0
(available-atleast-stone p0 sl4), layer: 0
(available-timber p0 tl7), layer: 0
(available-atleast-timber p0 tl1), layer: 0
(available-atleast-timber p0 tl2), layer: 0
(available-atleast-timber p0 tl4), layer: 0
(available-ore p0 ol4), layer: 0
(available-atleast-ore p0 ol1), layer: 0
(available-atleast-ore p0 ol2), layer: 0
(available-atleast-ore p0 ol4), layer: 0
(available-wood p0 wl0), layer: 0
(available-coal p0 cl0), layer: 0
(available-iron p0 il0), layer: 0
(available-stone p1 sl0), layer: 0
(available-timber p1 tl0), layer: 0
(available-ore p1 ol0), layer: 0
(available-wood p1 wl0), layer: 0
(available-coal p1 cl0), layer: 0
(available-iron p1 il0), layer: 0
(available-stone p2 sl0), layer: 0
(available-timber p2 tl0), layer: 0
(available-ore p2 ol0), layer: 0
(available-wood p2 wl0), layer: 0
(available-coal p2 cl0), layer: 0
(available-iron p2 il0), layer: 0
(potential v0), layer: 0
(available-stone v0 sl0), layer: 0
(available-timber v0 tl0), layer: 0
(available-ore v0 ol0), layer: 0
(available-wood v0 wl0), layer: 0
(available-coal v0 cl0), layer: 0
(available-iron v0 il0), layer: 0
(potential v1), layer: 0
(available-stone v1 sl0), layer: 0
(available-timber v1 tl0), layer: 0
(available-ore v1 ol0), layer: 0
(available-wood v1 wl0), layer: 0
(available-coal v1 cl0), layer: 0
(available-iron v1 il0), layer: 0
(potential v2), layer: 0
(available-stone v2 sl0), layer: 0
(available-timber v2 tl0), layer: 0
(available-ore v2 ol0), layer: 0
(available-wood v2 wl0), layer: 0
(available-coal v2 cl0), layer: 0
(available-iron v2 il0), layer: 0
(NOT-connected-by-rail p0 p0), layer: 0
(NOT-connected-by-rail p1 p0), layer: 0
(NOT-connected-by-rail p0 p1), layer: 0
(NOT-connected-by-rail p1 p1), layer: 0
(NOT-connected-by-rail p2 p0), layer: 0
(NOT-connected-by-rail p2 p1), layer: 0
(NOT-connected-by-rail p0 p2), layer: 0
(NOT-connected-by-rail p1 p2), layer: 0
(NOT-connected-by-rail p2 p2), layer: 0
(NOT-has-coal-stack p0), layer: 0
(NOT-has-coal-stack p1), layer: 0
(NOT-has-coal-stack p2), layer: 0
(NOT-has-sawmill p0), layer: 0
(NOT-has-sawmill p1), layer: 0
(NOT-has-sawmill p2), layer: 0
(NOT-has-ironworks p0), layer: 0
(NOT-has-ironworks p1), layer: 0
(NOT-has-ironworks p2), layer: 0
(has-coal-stack p0), layer: 1
(has-sawmill p0), layer: 1
(is-at v0 p0), layer: 1
(is-cart v0), layer: 1
(space-in v0 spl1), layer: 1
(has-space v0), layer: 1
(is-at v1 p0), layer: 1
(is-cart v1), layer: 1
(space-in v1 spl1), layer: 1
(has-space v1), layer: 1
(is-at v2 p0), layer: 1
(is-cart v2), layer: 1
(space-in v2 spl1), layer: 1
(has-space v2), layer: 1
(available-timber p0 tl6), layer: 1
(available-timber p0 tl5), layer: 1
(is-at v0 p1), layer: 2
(is-at v1 p1), layer: 2
(is-at v2 p1), layer: 2
(is-at v0 p2), layer: 2
(is-at v1 p2), layer: 2
(is-at v2 p2), layer: 2
(available-stone p0 sl3), layer: 2
(available-stone v0 sl1), layer: 2
(available-stone v1 sl1), layer: 2
(available-stone v2 sl1), layer: 2
(available-atleast-stone v0 sl1), layer: 2
(available-atleast-stone v1 sl1), layer: 2
(available-atleast-stone v2 sl1), layer: 2
(space-in v0 spl0), layer: 2
(space-in v1 spl0), layer: 2
(space-in v2 spl0), layer: 2
(available-ore p0 ol3), layer: 2
(available-ore v0 ol1), layer: 2
(available-ore v1 ol1), layer: 2
(available-ore v2 ol1), layer: 2
(available-atleast-ore v0 ol1), layer: 2
(available-atleast-ore v1 ol1), layer: 2
(available-atleast-ore v2 ol1), layer: 2
(available-timber p0 tl4), layer: 2
(available-timber v0 tl1), layer: 2
(available-timber v1 tl1), layer: 2
(available-timber v2 tl1), layer: 2
(available-atleast-timber v0 tl1), layer: 2
(available-atleast-timber v1 tl1), layer: 2
(available-atleast-timber v2 tl1), layer: 2
(available-timber p0 tl3), layer: 2
(available-coal p0 cl1), layer: 2
(available-atleast-coal p0 cl1), layer: 2
(available-wood p0 wl1), layer: 2
(available-atleast-wood p0 wl1), layer: 2
(connected-by-land p0 p1), layer: 0
(connected-by-land p0 p2), layer: 0
(connected-by-land p1 p0), layer: 0
(connected-by-land p2 p0), layer: 0
