(tailsnake pos1-6), layer: 0
(headsnake pos1-5), layer: 0
(nextsnake pos1-5 pos1-6), layer: 0
(spawn pos5-0), layer: 0
(ispoint pos2-6), layer: 0
(ispoint pos3-2), layer: 0
(ispoint pos5-3), layer: 0
(ispoint pos1-3), layer: 0
(ispoint pos2-5), layer: 0
(NOT-blocked pos0-0), layer: 0
(NOT-blocked pos0-1), layer: 0
(NOT-blocked pos0-2), layer: 0
(NOT-blocked pos0-3), layer: 0
(NOT-blocked pos0-4), layer: 0
(NOT-blocked pos0-5), layer: 0
(NOT-blocked pos0-6), layer: 0
(NOT-blocked pos1-0), layer: 0
(NOT-blocked pos1-1), layer: 0
(NOT-blocked pos1-2), layer: 0
(NOT-blocked pos1-3), layer: 0
(NOT-blocked pos1-4), layer: 0
(NOT-blocked pos2-0), layer: 0
(NOT-blocked pos2-1), layer: 0
(NOT-blocked pos2-2), layer: 0
(NOT-blocked pos2-3), layer: 0
(NOT-blocked pos2-4), layer: 0
(NOT-blocked pos2-5), layer: 0
(NOT-blocked pos2-6), layer: 0
(NOT-blocked pos3-0), layer: 0
(NOT-blocked pos3-1), layer: 0
(NOT-blocked pos3-2), layer: 0
(NOT-blocked pos3-3), layer: 0
(NOT-blocked pos3-4), layer: 0
(NOT-blocked pos3-5), layer: 0
(NOT-blocked pos3-6), layer: 0
(NOT-blocked pos4-0), layer: 0
(NOT-blocked pos4-1), layer: 0
(NOT-blocked pos4-2), layer: 0
(NOT-blocked pos4-3), layer: 0
(NOT-blocked pos4-4), layer: 0
(NOT-blocked pos4-5), layer: 0
(NOT-blocked pos4-6), layer: 0
(NOT-blocked pos5-0), layer: 0
(NOT-blocked pos5-1), layer: 0
(NOT-blocked pos5-2), layer: 0
(NOT-blocked pos5-3), layer: 0
(NOT-blocked pos5-4), layer: 0
(NOT-blocked pos5-5), layer: 0
(NOT-blocked pos5-6), layer: 0
(NOT-ispoint pos0-0), layer: 0
(NOT-ispoint pos0-1), layer: 0
(NOT-ispoint pos0-2), layer: 0
(NOT-ispoint pos0-3), layer: 0
(NOT-ispoint pos0-4), layer: 0
(NOT-ispoint pos0-5), layer: 0
(NOT-ispoint pos0-6), layer: 0
(NOT-ispoint pos1-0), layer: 0
(NOT-ispoint pos1-1), layer: 0
(NOT-ispoint pos1-2), layer: 0
(NOT-ispoint pos1-4), layer: 0
(NOT-ispoint pos1-5), layer: 0
(NOT-ispoint pos1-6), layer: 0
(NOT-ispoint pos2-0), layer: 0
(NOT-ispoint pos2-1), layer: 0
(NOT-ispoint pos2-2), layer: 0
(NOT-ispoint pos2-3), layer: 0
(NOT-ispoint pos2-4), layer: 0
(NOT-ispoint pos3-0), layer: 0
(NOT-ispoint pos3-1), layer: 0
(NOT-ispoint pos3-3), layer: 0
(NOT-ispoint pos3-4), layer: 0
(NOT-ispoint pos3-5), layer: 0
(NOT-ispoint pos3-6), layer: 0
(NOT-ispoint pos4-0), layer: 0
(NOT-ispoint pos4-1), layer: 0
(NOT-ispoint pos4-2), layer: 0
(NOT-ispoint pos4-3), layer: 0
(NOT-ispoint pos4-4), layer: 0
(NOT-ispoint pos4-5), layer: 0
(NOT-ispoint pos4-6), layer: 0
(NOT-ispoint pos5-0), layer: 0
(NOT-ispoint pos5-1), layer: 0
(NOT-ispoint pos5-2), layer: 0
(NOT-ispoint pos5-4), layer: 0
(NOT-ispoint pos5-5), layer: 0
(NOT-ispoint pos5-6), layer: 0
(headsnake pos0-5), layer: 1
(nextsnake pos0-5 pos1-5), layer: 1
(tailsnake pos1-5), layer: 1
(headsnake pos1-4), layer: 1
(nextsnake pos1-4 pos1-5), layer: 1
(headsnake pos2-5), layer: 1
(nextsnake pos2-5 pos1-5), layer: 1
(ispoint pos5-0), layer: 1
(spawn pos3-5), layer: 1
(NOT-blocked pos1-6), layer: 1
(NOT-ispoint pos2-5), layer: 1
(headsnake pos0-6), layer: 2
(nextsnake pos0-6 pos0-5), layer: 2
(tailsnake pos0-5), layer: 2
(tailsnake pos1-4), layer: 2
(tailsnake pos2-5), layer: 2
(headsnake pos0-4), layer: 2
(nextsnake pos0-4 pos0-5), layer: 2
(headsnake pos2-4), layer: 2
(nextsnake pos2-4 pos1-4), layer: 2
(nextsnake pos0-4 pos1-4), layer: 2
(headsnake pos1-6), layer: 2
(nextsnake pos1-6 pos1-5), layer: 2
(headsnake pos3-5), layer: 2
(nextsnake pos3-5 pos2-5), layer: 2
(nextsnake pos2-4 pos2-5), layer: 2
(headsnake pos1-3), layer: 2
(nextsnake pos1-3 pos1-4), layer: 2
(headsnake pos2-6), layer: 2
(nextsnake pos2-6 pos2-5), layer: 2
(ispoint pos3-5), layer: 2
(spawn pos5-5), layer: 2
(NOT-blocked pos1-5), layer: 2
(NOT-ispoint pos1-3), layer: 2
(NOT-ispoint pos2-6), layer: 2
(isadjacent pos0-0 pos1-0), layer: 0
(isadjacent pos0-0 pos0-1), layer: 0
(isadjacent pos0-1 pos1-1), layer: 0
(isadjacent pos0-1 pos0-2), layer: 0
(isadjacent pos0-1 pos0-0), layer: 0
(isadjacent pos0-2 pos1-2), layer: 0
(isadjacent pos0-2 pos0-3), layer: 0
(isadjacent pos0-2 pos0-1), layer: 0
(isadjacent pos0-3 pos1-3), layer: 0
(isadjacent pos0-3 pos0-4), layer: 0
