Diameter for start-dealing: 0
Diameter for deal-card: 2
Diameter for finish-dealing: 1
Diameter for move-to-card: 3
Diameter for move-to-tableau: inf
Diameter for change-tableau-and-continue: 2
Diameter for change-tableau-and-stop: 2
Diameter for make-unmovable-and-continue: 1
Diameter for make-unmovable-and-stop-at-tableau: 1
Diameter for make-unmovable-and-stop-at-unmovable: 1
Diameter for make-movable-and-continue: 1
Diameter for make-movable-ignore-pile: 0
Diameter for make-movable-and-stop: 1
Diameter for start-collecting-deck: 0
Diameter for collect-card: 2
Diameter for finish-collecting-deck: 2
Init-to-goal-distance discard - card-d0-s0-v0: inf
Init-to-goal-distance discard - card-d0-s0-v1: inf
Init-to-goal-distance discard - card-d0-s0-v2: inf
Init-to-goal-distance discard - card-d0-s0-v3: inf
Init-to-goal-distance discard - card-d0-s0-v4: inf
Init-to-goal-distance discard - card-d0-s0-v5: inf
Init-to-goal-distance discard - card-d0-s0-v6: inf
Init-to-goal-distance discard - card-d0-s0-v7: inf
Init-to-goal-distance discard - card-d0-s0-v8: inf
Init-to-goal-distance discard - card-d1-s0-v0: inf
Init-to-goal-distance discard - card-d1-s0-v1: inf
Init-to-goal-distance discard - card-d1-s0-v2: inf
Init-to-goal-distance discard - card-d1-s0-v3: inf
Init-to-goal-distance discard - card-d1-s0-v4: inf
Init-to-goal-distance discard - card-d1-s0-v5: inf
Init-to-goal-distance discard - card-d1-s0-v6: inf
Init-to-goal-distance discard - card-d1-s0-v7: inf
Init-to-goal-distance discard - card-d1-s0-v8: inf
Init-to-goal-distance discard - card-d2-s0-v0: inf
Init-to-goal-distance discard - card-d2-s0-v1: inf
Init-to-goal-distance discard - card-d2-s0-v2: inf
Init-to-goal-distance discard - card-d2-s0-v3: inf
Init-to-goal-distance discard - card-d2-s0-v4: inf
Init-to-goal-distance discard - card-d2-s0-v5: inf
Init-to-goal-distance discard - card-d2-s0-v6: inf
Init-to-goal-distance discard - card-d2-s0-v7: inf
Init-to-goal-distance discard - card-d2-s0-v8: inf
Init-to-goal-distance discard - card-d3-s0-v0: inf
Init-to-goal-distance discard - card-d3-s0-v1: inf
Init-to-goal-distance discard - card-d3-s0-v2: inf
Init-to-goal-distance discard - card-d3-s0-v3: inf
Init-to-goal-distance discard - card-d3-s0-v4: inf
Init-to-goal-distance discard - card-d3-s0-v5: inf
Init-to-goal-distance discard - card-d3-s0-v6: inf
Init-to-goal-distance discard - card-d3-s0-v7: inf
Init-to-goal-distance discard - card-d3-s0-v8: inf
Init-to-goal-distance card-d0-s0-v0 - card-d0-s0-v1: -1
Init-to-goal-distance card-d0-s0-v0 - card-d0-s0-v2: 0
Init-to-goal-distance card-d0-s0-v0 - card-d0-s0-v3: 1
Init-to-goal-distance card-d0-s0-v0 - card-d0-s0-v4: 0
Init-to-goal-distance card-d0-s0-v0 - card-d0-s0-v5: 0
Init-to-goal-distance card-d0-s0-v0 - card-d0-s0-v6: 0
