(at n1 c8 c8), layer: 0
(at n2 c8 c9), layer: 0
(at n3 c8 c10), layer: 0
(at n4 c8 c11), layer: 0
(at n5 c8 c12), layer: 0
(at n6 c8 c13), layer: 0
(at n7 c8 c14), layer: 0
(at n8 c8 c15), layer: 0
(heading n1 up), layer: 0
(heading n2 up), layer: 0
(heading n3 up), layer: 0
(heading n4 up), layer: 0
(heading n5 up), layer: 0
(heading n6 up), layer: 0
(heading n7 up), layer: 0
(free c1 c1), layer: 0
(free c1 c2), layer: 0
(free c1 c3), layer: 0
(free c1 c4), layer: 0
(free c1 c5), layer: 0
(free c1 c6), layer: 0
(free c1 c7), layer: 0
(free c1 c8), layer: 0
(free c1 c9), layer: 0
(free c1 c10), layer: 0
(free c1 c11), layer: 0
(free c1 c12), layer: 0
(free c1 c13), layer: 0
(free c1 c14), layer: 0
(free c1 c15), layer: 0
(free c2 c1), layer: 0
(free c2 c2), layer: 0
(free c2 c3), layer: 0
(free c2 c4), layer: 0
(free c2 c5), layer: 0
(free c2 c6), layer: 0
(free c2 c7), layer: 0
(free c2 c8), layer: 0
(free c2 c9), layer: 0
(free c2 c10), layer: 0
(free c2 c11), layer: 0
(free c2 c12), layer: 0
(free c2 c13), layer: 0
(free c2 c14), layer: 0
(free c2 c15), layer: 0
(free c3 c1), layer: 0
(free c3 c2), layer: 0
(free c3 c3), layer: 0
(free c3 c4), layer: 0
(free c3 c5), layer: 0
(free c3 c6), layer: 0
(free c3 c7), layer: 0
(free c3 c8), layer: 0
(free c3 c9), layer: 0
(free c3 c10), layer: 0
(free c3 c11), layer: 0
(free c3 c12), layer: 0
(free c3 c13), layer: 0
(free c3 c14), layer: 0
(free c3 c15), layer: 0
(free c4 c1), layer: 0
(free c4 c2), layer: 0
(free c4 c3), layer: 0
(free c4 c4), layer: 0
(free c4 c5), layer: 0
(free c4 c6), layer: 0
(free c4 c7), layer: 0
(free c4 c8), layer: 0
(free c4 c9), layer: 0
(free c4 c10), layer: 0
(free c4 c11), layer: 0
(free c4 c12), layer: 0
(free c4 c13), layer: 0
(free c4 c14), layer: 0
(free c4 c15), layer: 0
(free c5 c1), layer: 0
(free c5 c2), layer: 0
(free c5 c3), layer: 0
(free c5 c4), layer: 0
(free c5 c5), layer: 0
(free c5 c6), layer: 0
(free c5 c7), layer: 0
(free c5 c8), layer: 0
(free c5 c9), layer: 0
(free c5 c10), layer: 0
(free c5 c11), layer: 0
(free c5 c12), layer: 0
(free c5 c13), layer: 0
(free c5 c14), layer: 0
(free c5 c15), layer: 0
(free c6 c1), layer: 0
(free c6 c2), layer: 0
(free c6 c3), layer: 0
(free c6 c4), layer: 0
(free c6 c5), layer: 0
(free c6 c6), layer: 0
(free c6 c7), layer: 0
(free c6 c8), layer: 0
(free c6 c9), layer: 0
(free c6 c10), layer: 0
(free c6 c11), layer: 0
(free c6 c12), layer: 0
(free c6 c13), layer: 0
(free c6 c14), layer: 0
(free c6 c15), layer: 0
(free c7 c1), layer: 0
(free c7 c2), layer: 0
(free c7 c3), layer: 0
(free c7 c4), layer: 0
(free c7 c5), layer: 0
(free c7 c6), layer: 0
(free c7 c7), layer: 0
(free c7 c8), layer: 0
(free c7 c9), layer: 0
(free c7 c10), layer: 0
(free c7 c11), layer: 0
(free c7 c12), layer: 0
(free c7 c13), layer: 0
(free c7 c14), layer: 0
(free c7 c15), layer: 0
(free c8 c1), layer: 0
(free c8 c2), layer: 0
(free c8 c3), layer: 0
(free c8 c4), layer: 0
(free c8 c5), layer: 0
(free c8 c6), layer: 0
(free c8 c7), layer: 0
(free c9 c1), layer: 0
(free c9 c2), layer: 0
(free c9 c3), layer: 0
(free c9 c4), layer: 0
(free c9 c5), layer: 0
(free c9 c6), layer: 0
(free c9 c7), layer: 0
