(card-at card0 pos0 pos0), layer: 0
(card-at card1 pos1 pos0), layer: 0
(card-at card2 pos2 pos0), layer: 0
(card-at card3 pos3 pos0), layer: 0
(card-at card4 pos4 pos0), layer: 0
(card-at card5 pos5 pos0), layer: 0
(card-at card6 pos0 pos1), layer: 0
(card-at card7 pos1 pos1), layer: 0
(card-at card8 pos2 pos1), layer: 0
(card-at card9 pos3 pos1), layer: 0
(card-at card10 pos4 pos1), layer: 0
(card-at card11 pos5 pos1), layer: 0
(card-at card12 pos0 pos2), layer: 0
(card-at card13 pos1 pos2), layer: 0
(card-at card14 pos2 pos2), layer: 0
(card-at card15 pos3 pos2), layer: 0
(card-at card16 pos4 pos2), layer: 0
(card-at card17 pos5 pos2), layer: 0
(card-at card23 pos0 pos3), layer: 0
(card-at card18 pos1 pos3), layer: 0
(card-at card19 pos2 pos3), layer: 0
(card-at card20 pos3 pos3), layer: 0
(card-at card21 pos4 pos3), layer: 0
(card-at card22 pos5 pos3), layer: 0
(card-at card24 pos0 pos4), layer: 0
(card-at card25 pos1 pos4), layer: 0
(card-at card26 pos2 pos4), layer: 0
(card-at card27 pos3 pos4), layer: 0
(card-at card28 pos4 pos4), layer: 0
(card-at card29 pos5 pos4), layer: 0
(card-at card30 pos0 pos5), layer: 0
(card-at card31 pos1 pos5), layer: 0
(card-at card32 pos2 pos5), layer: 0
(card-at card33 pos3 pos5), layer: 0
(card-at card34 pos4 pos5), layer: 0
(card-at card35 pos5 pos5), layer: 0
(robot-at card0), layer: 0
(NOT-robot-at card1), layer: 0
(NOT-robot-at card2), layer: 0
(NOT-robot-at card3), layer: 0
(NOT-robot-at card4), layer: 0
(NOT-robot-at card5), layer: 0
(NOT-robot-at card6), layer: 0
(NOT-robot-at card7), layer: 0
(NOT-robot-at card8), layer: 0
(NOT-robot-at card9), layer: 0
(NOT-robot-at card10), layer: 0
(NOT-robot-at card11), layer: 0
(NOT-robot-at card12), layer: 0
(NOT-robot-at card13), layer: 0
(NOT-robot-at card14), layer: 0
