(rcnot l1_l4_i1), layer: 0
(rcnot l0_l4_i3), layer: 0
(rcnot l1_l4_i5), layer: 0
(rcnot l0_l4_i7), layer: 0
(rcnot l4_l5_i11), layer: 0
(rcnot l2_l5_i13), layer: 0
(rcnot l4_l5_i15), layer: 0
(rcnot l2_l5_i17), layer: 0
(rcnot l5_l6_i21), layer: 0
(rcnot l3_l6_i23), layer: 0
(rcnot l5_l6_i25), layer: 0
(rcnot l3_l6_i27), layer: 0
(rcnot l3_l5_i28), layer: 0
(rcnot l3_l5_i30), layer: 0
(rcnot l4_l5_i34), layer: 0
(rcnot l2_l5_i36), layer: 0
(rcnot l4_l5_i38), layer: 0
(rcnot l1_l4_i40), layer: 0
(rcnot l0_l4_i42), layer: 0
(rcnot l1_l4_i44), layer: 0
(rcnot l0_l4_i46), layer: 0
(rcnot l2_l5_i50), layer: 0
(NOT-occupied_pqubit p0), layer: 0
(NOT-occupied_pqubit p1), layer: 0
(NOT-occupied_pqubit p2), layer: 0
(NOT-occupied_pqubit p3), layer: 0
(NOT-occupied_pqubit p4), layer: 0
(NOT-occupied_pqubit p6), layer: 0
(NOT-occupied_pqubit p8), layer: 0
(NOT-occupied_pqubit p9), layer: 0
(NOT-occupied_pqubit p10), layer: 0
(NOT-occupied_pqubit p12), layer: 0
(NOT-initialized p0), layer: 0
(NOT-initialized p1), layer: 0
(NOT-initialized p2), layer: 0
(NOT-initialized p3), layer: 0
(NOT-initialized p4), layer: 0
(NOT-initialized p5), layer: 0
(NOT-initialized p6), layer: 0
(NOT-initialized p7), layer: 0
(NOT-initialized p8), layer: 0
(NOT-initialized p9), layer: 0
(NOT-initialized p10), layer: 0
(NOT-initialized p11), layer: 0
(NOT-initialized p12), layer: 0
(NOT-initialized p13), layer: 0
(mapped l1 p1), layer: 1
(mapped l4 p0), layer: 1
(NOT-rcnot l1_l4_i1), layer: 1
(mapped l4 p2), layer: 1
(mapped l1 p2), layer: 1
(mapped l4 p3), layer: 1
(mapped l1 p4), layer: 1
(mapped l4 p10), layer: 1
(mapped l1 p5), layer: 1
(mapped l4 p4), layer: 1
(mapped l4 p6), layer: 1
(mapped l4 p9), layer: 1
(mapped l1 p6), layer: 1
(mapped l4 p8), layer: 1
(mapped l1 p7), layer: 1
(mapped l1 p9), layer: 1
(mapped l1 p11), layer: 1
(mapped l4 p12), layer: 1
(mapped l1 p12), layer: 1
(mapped l1 p13), layer: 1
(mapped l4 p1), layer: 1
(mapped l1 p0), layer: 2
(mapped l1 p3), layer: 2
(mapped l1 p10), layer: 2
(mapped l4 p5), layer: 2
(mapped l1 p8), layer: 2
(mapped l4 p7), layer: 2
(mapped l4 p11), layer: 2
(mapped l4 p13), layer: 2
(NOT-occupied_pqubit p5), layer: 2
(NOT-occupied_pqubit p7), layer: 2
(NOT-occupied_pqubit p11), layer: 2
(NOT-occupied_pqubit p13), layer: 2
(mapped l0 p1), layer: 2
(NOT-rcnot l0_l4_i3), layer: 2
(mapped l0 p12), layer: 2
(mapped l0 p2), layer: 2
(mapped l0 p4), layer: 2
(mapped l0 p11), layer: 2
(mapped l0 p9), layer: 2
(mapped l0 p5), layer: 2
(mapped l0 p6), layer: 2
(mapped l0 p7), layer: 2
(mapped l0 p13), layer: 2
(connected p1 p0), layer: 0
(connected p1 p2), layer: 0
(connected p2 p3), layer: 0
(connected p4 p3), layer: 0
(connected p4 p10), layer: 0
(connected p5 p4), layer: 0
(connected p5 p6), layer: 0
(connected p5 p9), layer: 0
(connected p6 p8), layer: 0
(connected p7 p8), layer: 0
(connected p9 p8), layer: 0
(connected p9 p10), layer: 0
(connected p11 p3), layer: 0
(connected p11 p10), layer: 0
(connected p11 p12), layer: 0
(connected p12 p2), layer: 0
(connected p13 p1), layer: 0
(connected p13 p12), layer: 0
