(free cell-1-2), layer: 0
(free cell-1-3), layer: 0
(free cell-1-4), layer: 0
(free cell-1-5), layer: 0
(free cell-1-6), layer: 0
(free cell-1-7), layer: 0
(free cell-1-8), layer: 0
(free cell-1-9), layer: 0
(free cell-1-10), layer: 0
(free cell-1-11), layer: 0
(free cell-1-12), layer: 0
(free cell-1-13), layer: 0
(free cell-1-14), layer: 0
(free cell-1-15), layer: 0
(free cell-2-1), layer: 0
(free cell-2-2), layer: 0
(free cell-2-3), layer: 0
(free cell-2-4), layer: 0
(free cell-2-5), layer: 0
(free cell-2-6), layer: 0
(free cell-2-7), layer: 0
(free cell-2-8), layer: 0
(free cell-2-9), layer: 0
(free cell-2-10), layer: 0
(free cell-2-11), layer: 0
(free cell-2-12), layer: 0
(free cell-2-13), layer: 0
(free cell-2-14), layer: 0
(free cell-2-15), layer: 0
(free cell-2-16), layer: 0
(free cell-3-1), layer: 0
(free cell-3-2), layer: 0
(free cell-3-3), layer: 0
(free cell-3-4), layer: 0
(free cell-3-5), layer: 0
(free cell-3-6), layer: 0
(free cell-3-7), layer: 0
(free cell-3-8), layer: 0
(free cell-3-9), layer: 0
(free cell-3-10), layer: 0
(free cell-3-11), layer: 0
(free cell-3-12), layer: 0
(free cell-3-13), layer: 0
(free cell-3-14), layer: 0
(free cell-3-15), layer: 0
(free cell-3-16), layer: 0
(free cell-4-1), layer: 0
(free cell-4-2), layer: 0
(free cell-4-3), layer: 0
(free cell-4-4), layer: 0
(free cell-4-5), layer: 0
(free cell-4-6), layer: 0
(free cell-4-7), layer: 0
(free cell-4-8), layer: 0
(free cell-4-9), layer: 0
(free cell-4-10), layer: 0
(free cell-4-11), layer: 0
(free cell-4-12), layer: 0
(free cell-4-13), layer: 0
(free cell-4-14), layer: 0
(free cell-4-15), layer: 0
(free cell-4-16), layer: 0
(free cell-5-1), layer: 0
(free cell-5-2), layer: 0
(free cell-5-3), layer: 0
(free cell-5-4), layer: 0
(free cell-5-5), layer: 0
(free cell-5-6), layer: 0
(free cell-5-7), layer: 0
(free cell-5-8), layer: 0
(free cell-5-9), layer: 0
(free cell-5-10), layer: 0
(free cell-5-11), layer: 0
(free cell-5-12), layer: 0
(free cell-5-13), layer: 0
(free cell-5-14), layer: 0
(free cell-5-15), layer: 0
(free cell-5-16), layer: 0
(free cell-6-1), layer: 0
(free cell-6-2), layer: 0
(free cell-6-3), layer: 0
(free cell-6-4), layer: 0
(free cell-6-5), layer: 0
(free cell-6-6), layer: 0
(free cell-6-7), layer: 0
(free cell-6-8), layer: 0
(free cell-6-9), layer: 0
(free cell-6-10), layer: 0
(free cell-6-11), layer: 0
(free cell-6-12), layer: 0
(free cell-6-13), layer: 0
(free cell-6-14), layer: 0
(free cell-6-15), layer: 0
(free cell-6-16), layer: 0
(free cell-7-1), layer: 0
(free cell-7-2), layer: 0
(free cell-7-3), layer: 0
(free cell-7-4), layer: 0
(free cell-7-5), layer: 0
(free cell-7-6), layer: 0
(free cell-7-7), layer: 0
(free cell-7-8), layer: 0
(free cell-7-9), layer: 0
(free cell-7-10), layer: 0
(free cell-7-11), layer: 0
(free cell-7-12), layer: 0
(free cell-7-13), layer: 0
(free cell-7-14), layer: 0
(free cell-7-15), layer: 0
(free cell-7-16), layer: 0
(free cell-8-1), layer: 0
(free cell-8-2), layer: 0
(free cell-8-3), layer: 0
(free cell-8-4), layer: 0
(free cell-8-5), layer: 0
(free cell-8-6), layer: 0
(free cell-8-7), layer: 0
(free cell-8-8), layer: 0
(free cell-8-9), layer: 0
(free cell-8-10), layer: 0
(free cell-8-11), layer: 0
(free cell-8-12), layer: 0
(free cell-8-13), layer: 0
(free cell-8-14), layer: 0
