(cube1 red white blue), layer: 0
(cube2 orange blue yellow), layer: 0
(cube3 red yellow blue), layer: 0
(cube4 orange green yellow), layer: 0
(cube5 red white green), layer: 0
(cube6 orange blue white), layer: 0
(cube7 red yellow green), layer: 0
(cube8 orange green white), layer: 0
(edge12 white blue), layer: 0
(edge24 orange yellow), layer: 0
(edge34 yellow blue), layer: 0
(edge13 red blue), layer: 0
(edge15 red white), layer: 0
(edge26 orange blue), layer: 0
(edge48 orange green), layer: 0
(edge37 red yellow), layer: 0
(edge56 white green), layer: 0
(edge68 orange white), layer: 0
(edge78 yellow green), layer: 0
(edge57 red green), layer: 0
(cube7 white red green), layer: 1
(cube8 yellow red green), layer: 1
(cube6 green orange white), layer: 1
(cube5 blue orange white), layer: 1
(edge78 red green), layer: 1
(edge68 yellow green), layer: 1
(edge56 orange white), layer: 1
(edge57 white green), layer: 1
(cube6 white red green), layer: 1
(cube8 blue orange white), layer: 1
(cube7 green orange white), layer: 1
(cube5 yellow red green), layer: 1
(edge56 red green), layer: 1
(edge57 yellow green), layer: 1
(edge78 orange white), layer: 1
(edge68 white green), layer: 1
(cube2 white red blue), layer: 1
(cube1 yellow red blue), layer: 1
(cube3 green orange yellow), layer: 1
(cube4 blue orange yellow), layer: 1
(edge12 red blue), layer: 1
(edge13 yellow blue), layer: 1
(edge34 orange yellow), layer: 1
(edge24 white blue), layer: 1
(cube3 white red blue), layer: 1
(cube4 yellow red blue), layer: 1
(cube2 green orange yellow), layer: 1
(cube1 blue orange yellow), layer: 1
(edge34 red blue), layer: 1
(edge24 yellow blue), layer: 1
(edge12 orange yellow), layer: 1
(edge13 white blue), layer: 1
(cube6 orange yellow blue), layer: 1
(cube8 orange white blue), layer: 1
(cube4 orange white green), layer: 1
(cube2 orange yellow green), layer: 1
(edge68 orange blue), layer: 1
(edge48 orange white), layer: 1
(edge24 orange green), layer: 1
(edge26 orange yellow), layer: 1
(cube4 orange yellow blue), layer: 1
(cube8 orange yellow green), layer: 1
(cube6 orange white green), layer: 1
(cube2 orange white blue), layer: 1
(edge24 orange blue), layer: 1
(edge26 orange white), layer: 1
(edge68 orange green), layer: 1
(edge48 orange yellow), layer: 1
(cube3 red blue white), layer: 1
(cube1 red green white), layer: 1
(cube5 red green yellow), layer: 1
(cube7 red blue yellow), layer: 1
(edge13 red white), layer: 1
(edge15 red green), layer: 1
(edge57 red yellow), layer: 1
(edge37 red blue), layer: 1
(cube5 red blue white), layer: 1
(cube7 red green white), layer: 1
(cube3 red green yellow), layer: 1
(cube1 red blue yellow), layer: 1
(edge57 red white), layer: 1
(edge37 red green), layer: 1
(edge13 red yellow), layer: 1
(edge15 red blue), layer: 1
(cube5 blue white red), layer: 1
(cube6 green white red), layer: 1
(cube2 white blue orange), layer: 1
(cube1 yellow blue orange), layer: 1
(edge56 white red), layer: 1
(edge26 green white), layer: 1
(edge12 blue orange), layer: 1
(edge15 blue white), layer: 1
(cube2 blue white red), layer: 1
(cube6 yellow blue orange), layer: 1
(cube5 white blue orange), layer: 1
(cube1 green white red), layer: 1
(edge12 white red), layer: 1
(edge15 green white), layer: 1
(edge56 blue orange), layer: 1
(edge26 blue white), layer: 1
(cube4 blue yellow red), layer: 1
(cube3 green yellow red), layer: 1
(cube7 white green orange), layer: 1
(cube8 yellow green orange), layer: 1
(edge34 yellow red), layer: 1
(edge37 green yellow), layer: 1
(edge78 green orange), layer: 1
(edge48 blue yellow), layer: 1
(cube7 blue yellow red), layer: 1
(cube8 green yellow red), layer: 1
(cube4 white green orange), layer: 1
(cube3 yellow green orange), layer: 1
(edge78 yellow red), layer: 1
(edge48 green yellow), layer: 1
(edge34 green orange), layer: 1
(edge37 blue yellow), layer: 1
(cube7 green red yellow), layer: 2
(cube7 blue red white), layer: 2
(cube7 orange blue white), layer: 2
(cube7 blue white orange), layer: 2
(cube7 white blue red), layer: 2
(cube8 blue red yellow), layer: 2
(cube8 green red white), layer: 2
(cube8 red white green), layer: 2
(cube8 green white orange), layer: 2
(cube8 yellow blue red), layer: 2
(cube6 white orange blue), layer: 2
(cube6 yellow orange green), layer: 2
(cube6 red yellow green), layer: 2
(cube6 green yellow orange), layer: 2
(cube6 yellow green red), layer: 2
(cube5 orange green white), layer: 2
(cube5 yellow orange blue), layer: 2
(cube5 white orange green), layer: 2
(cube5 blue yellow orange), layer: 2
(cube5 white green red), layer: 2
(edge78 red yellow), layer: 2
(edge78 red white), layer: 2
(edge78 white green), layer: 2
(edge68 red green), layer: 2
(edge68 green orange), layer: 2
(edge68 yellow red), layer: 2
(edge56 orange blue), layer: 2
(edge56 yellow green), layer: 2
(edge56 orange green), layer: 2
(edge57 orange white), layer: 2
(edge57 blue orange), layer: 2
(edge57 white red), layer: 2
(cube6 green red yellow), layer: 2
(cube6 blue red white), layer: 2
(cube6 blue white orange), layer: 2
(cube6 white blue red), layer: 2
(cube8 yellow orange blue), layer: 2
(cube8 white orange green), layer: 2
(cube8 blue yellow orange), layer: 2
(cube8 white green red), layer: 2
(cube7 white orange blue), layer: 2
(cube7 yellow orange green), layer: 2
(cube7 green yellow orange), layer: 2
(cube7 yellow green red), layer: 2
(cube5 blue red yellow), layer: 2
(cube5 green red white), layer: 2
(cube5 green white orange), layer: 2
(cube5 yellow blue red), layer: 2
(edge56 red yellow), layer: 2
(edge56 red white), layer: 2
(edge57 green orange), layer: 2
(edge57 yellow red), layer: 2
(edge78 orange blue), layer: 2
(edge78 orange green), layer: 2
(edge68 blue orange), layer: 2
(edge68 white red), layer: 2
(cube2 blue red yellow), layer: 2
(cube2 green red white), layer: 2
(cube2 red yellow blue), layer: 2
(cube2 blue yellow orange), layer: 2
(cube2 white green red), layer: 2
(cube1 green red yellow), layer: 2
(cube1 orange green yellow), layer: 2
(cube1 blue red white), layer: 2
(cube1 green yellow orange), layer: 2
(cube1 yellow green red), layer: 2
(cube3 orange blue yellow), layer: 2
(cube3 yellow orange blue), layer: 2
(cube3 white orange green), layer: 2
(cube3 green white orange), layer: 2
(cube3 yellow blue red), layer: 2
(cube4 white orange blue), layer: 2
(cube4 red white blue), layer: 2
(cube4 yellow orange green), layer: 2
(cube4 blue white orange), layer: 2
(cube4 white blue red), layer: 2
(edge12 red yellow), layer: 2
(edge12 red white), layer: 2
(edge12 yellow blue), layer: 2
(edge13 orange yellow), layer: 2
(edge13 green orange), layer: 2
(edge13 yellow red), layer: 2
(edge34 white blue), layer: 2
(edge34 orange blue), layer: 2
(edge34 orange green), layer: 2
(edge24 red blue), layer: 2
(edge24 blue orange), layer: 2
(edge24 white red), layer: 2
(cube3 blue red yellow), layer: 2
(cube3 green red white), layer: 2
(cube3 blue yellow orange), layer: 2
(cube3 white green red), layer: 2
(cube4 green red yellow), layer: 2
(cube4 blue red white), layer: 2
(cube4 green yellow orange), layer: 2
(cube4 yellow green red), layer: 2
(cube2 yellow orange blue), layer: 2
(cube2 white orange green), layer: 2
(cube2 green white orange), layer: 2
(cube2 yellow blue red), layer: 2
(cube1 white orange blue), layer: 2
(cube1 yellow orange green), layer: 2
(cube1 blue white orange), layer: 2
(cube1 white blue red), layer: 2
(edge34 red yellow), layer: 2
(edge34 red white), layer: 2
(edge24 green orange), layer: 2
(edge24 yellow red), layer: 2
(edge12 orange blue), layer: 2
(edge12 orange green), layer: 2
(edge13 blue orange), layer: 2
(edge13 white red), layer: 2
(cube6 orange green yellow), layer: 2
(cube8 orange blue yellow), layer: 2
(cube4 orange blue white), layer: 2
(cube2 orange green white), layer: 2
(edge68 orange yellow), layer: 2
(edge68 blue white), layer: 2
(edge68 green white), layer: 2
(edge48 orange blue), layer: 2
(edge48 yellow green), layer: 2
(edge48 white green), layer: 2
(edge24 blue yellow), layer: 2
(edge24 green yellow), layer: 2
(edge24 orange white), layer: 2
(edge26 yellow blue), layer: 2
(edge26 white blue), layer: 2
(edge26 orange green), layer: 2
(edge24 blue white), layer: 2
(edge24 green white), layer: 2
(edge26 yellow green), layer: 2
(edge26 white green), layer: 2
(edge68 blue yellow), layer: 2
(edge68 green yellow), layer: 2
(edge48 yellow blue), layer: 2
(edge48 white blue), layer: 2
(cube3 red white green), layer: 2
(cube1 red yellow green), layer: 2
(cube5 red yellow blue), layer: 2
(cube7 red white blue), layer: 2
(edge13 blue white), layer: 2
(edge13 green white), layer: 2
(edge13 red green), layer: 2
(edge15 red yellow), layer: 2
(edge15 yellow green), layer: 2
(edge15 white green), layer: 2
(edge57 blue yellow), layer: 2
(edge57 green yellow), layer: 2
(edge57 red blue), layer: 2
(edge37 red white), layer: 2
(edge37 yellow blue), layer: 2
(edge37 white blue), layer: 2
(edge57 blue white), layer: 2
(edge57 green white), layer: 2
(edge37 yellow green), layer: 2
(edge37 white green), layer: 2
(edge13 blue yellow), layer: 2
(edge13 green yellow), layer: 2
(edge15 yellow blue), layer: 2
(edge15 white blue), layer: 2
(cube5 orange blue yellow), layer: 2
(cube6 red white blue), layer: 2
(cube2 red white green), layer: 2
(cube1 orange blue white), layer: 2
(edge56 white blue), layer: 2
(edge56 blue red), layer: 2
(edge56 green red), layer: 2
(edge26 white orange), layer: 2
(edge26 green red), layer: 2
(edge26 red white), layer: 2
(edge12 yellow orange), layer: 2
(edge12 white green), layer: 2
(edge12 white orange), layer: 2
(edge15 yellow orange), layer: 2
(edge15 blue red), layer: 2
(edge15 orange blue), layer: 2
(edge12 blue red), layer: 2
(edge12 green red), layer: 2
(edge15 white orange), layer: 2
(edge15 green red), layer: 2
(edge56 yellow orange), layer: 2
(edge56 white orange), layer: 2
(edge26 yellow orange), layer: 2
(edge26 blue red), layer: 2
(cube4 red yellow green), layer: 2
(cube3 orange green white), layer: 2
(cube7 orange green yellow), layer: 2
(cube8 red yellow blue), layer: 2
(edge34 yellow green), layer: 2
(edge34 blue red), layer: 2
(edge34 green red), layer: 2
(edge37 white orange), layer: 2
(edge37 green red), layer: 2
(edge37 orange green), layer: 2
