(cube1 red yellow green), layer: 0
(cube2 green red white), layer: 0
(cube3 blue red yellow), layer: 0
(cube4 red white blue), layer: 0
(cube5 orange yellow green), layer: 0
(cube6 orange blue white), layer: 0
(cube7 orange white green), layer: 0
(cube8 yellow orange blue), layer: 0
(edge12 blue white), layer: 0
(edge24 yellow blue), layer: 0
(edge34 orange yellow), layer: 0
(edge13 blue orange), layer: 0
(edge15 white orange), layer: 0
(edge26 white red), layer: 0
(edge48 red blue), layer: 0
(edge37 yellow red), layer: 0
(edge56 red green), layer: 0
(edge68 green orange), layer: 0
(edge78 green white), layer: 0
(edge57 green yellow), layer: 0
(cube7 yellow orange green), layer: 1
(cube8 white orange green), layer: 1
(cube6 orange yellow blue), layer: 1
(cube5 blue orange white), layer: 1
(edge78 green yellow), layer: 1
(edge68 green white), layer: 1
(edge56 green orange), layer: 1
(edge57 red green), layer: 1
(cube6 yellow orange green), layer: 1
(cube8 blue orange white), layer: 1
(cube7 orange yellow blue), layer: 1
(cube5 white orange green), layer: 1
(edge56 green yellow), layer: 1
(edge57 green white), layer: 1
(edge78 green orange), layer: 1
(edge68 red green), layer: 1
(cube2 yellow red green), layer: 1
(cube1 red blue yellow), layer: 1
(cube3 white red blue), layer: 1
(cube4 red green white), layer: 1
(edge12 blue orange), layer: 1
(edge13 orange yellow), layer: 1
(edge34 yellow blue), layer: 1
(edge24 blue white), layer: 1
(cube3 yellow red green), layer: 1
(cube4 red blue yellow), layer: 1
(cube2 white red blue), layer: 1
(cube1 red green white), layer: 1
(edge34 blue orange), layer: 1
(edge24 orange yellow), layer: 1
(edge12 yellow blue), layer: 1
(edge13 blue white), layer: 1
(cube6 green white red), layer: 1
(cube8 orange white blue), layer: 1
(cube4 yellow blue orange), layer: 1
(cube2 red blue white), layer: 1
(edge68 white red), layer: 1
(edge48 green orange), layer: 1
(edge24 red blue), layer: 1
(edge26 yellow blue), layer: 1
(cube4 green white red), layer: 1
(cube8 red blue white), layer: 1
(cube6 yellow blue orange), layer: 1
(cube2 orange white blue), layer: 1
(edge24 white red), layer: 1
(edge26 green orange), layer: 1
(edge68 red blue), layer: 1
(edge48 yellow blue), layer: 1
(cube3 red green yellow), layer: 1
(cube1 orange green yellow), layer: 1
(cube5 orange green white), layer: 1
(cube7 blue yellow red), layer: 1
(edge13 white orange), layer: 1
(edge15 green yellow), layer: 1
(edge57 yellow red), layer: 1
(edge37 blue orange), layer: 1
(cube5 red green yellow), layer: 1
(cube7 orange green yellow), layer: 1
(cube3 orange green white), layer: 1
(cube1 blue yellow red), layer: 1
(edge57 white orange), layer: 1
(edge37 green yellow), layer: 1
(edge13 yellow red), layer: 1
(edge15 blue orange), layer: 1
(cube5 green yellow red), layer: 1
(cube6 green yellow orange), layer: 1
(cube2 white blue orange), layer: 1
(cube1 white red green), layer: 1
(edge56 orange white), layer: 1
(edge26 green red), layer: 1
(edge12 red white), layer: 1
(edge15 white blue), layer: 1
(cube2 green yellow red), layer: 1
(cube6 white red green), layer: 1
(cube5 white blue orange), layer: 1
(cube1 green yellow orange), layer: 1
(edge12 orange white), layer: 1
(edge15 green red), layer: 1
(edge56 red white), layer: 1
(edge26 white blue), layer: 1
(cube4 yellow red blue), layer: 1
(cube3 green white orange), layer: 1
(cube7 blue orange yellow), layer: 1
(cube8 blue white red), layer: 1
(edge34 red yellow), layer: 1
(edge37 white green), layer: 1
(edge78 blue red), layer: 1
(edge48 yellow orange), layer: 1
(cube7 yellow red blue), layer: 1
(cube8 green white orange), layer: 1
