Diameter for link-0-0: 5
Diameter for link-0-1: 5
Diameter for link-1-0: 5
Diameter for link-1-1: 5
Init-to-goal-distance cap-0 - cell-0-1: 2, length bound: 1
Init-to-goal-distance cap-0 - cell-0-2: 1, length bound: 1
Init-to-goal-distance cap-0 - cell-1-0: 2, length bound: 1
Init-to-goal-distance cap-0 - cell-1-3: 2, length bound: 1
Init-to-goal-distance cap-0 - cell-2-1: 1, length bound: 1
Init-to-goal-distance cap-0 - cell-3-1: 0, length bound: 0
Init-to-goal-distance cap-0 - cell-3-3: 2, length bound: 1
Init-to-goal-distance cap-0 - cell-4-0: 2, length bound: 1
Init-to-goal-distance cap-0 - cell-5-0: 2, length bound: 1
Init-to-goal-distance cap-0 - cell-5-2: 3, length bound: 1
Init-to-goal-distance cap-0 - cell-5-3: 2, length bound: 1
Init-to-goal-distance cap-0 - cell-6-2: 2, length bound: 1
Init-to-goal-distance cap-0 - cell-7-0: 2, length bound: 1
Init-to-goal-distance cap-0 - cell-8-0: 2, length bound: 1
Init-to-goal-distance cap-0 - cell-8-2: 3, length bound: 1
Init-to-goal-distance cap-0 - cell-10-0: 1, length bound: 1
Init-to-goal-distance cap-0 - cell-10-1: 2, length bound: 1
Init-to-goal-distance cap-0 - cell-11-1: 2, length bound: 1
Init-to-goal-distance cap-0 - cell-11-3: 2, length bound: 1
Init-to-goal-distance cell-0-1 - cell-0-2: -1, w/ static: 0, length bound: 0
Init-to-goal-distance cell-0-1 - cell-1-0: 0, length bound: 0
Init-to-goal-distance cell-0-1 - cell-1-3: 0, length bound: 0
Init-to-goal-distance cell-0-1 - cell-2-1: 0, length bound: 0
Init-to-goal-distance cell-0-1 - cell-3-1: 1, length bound: 1
Init-to-goal-distance cell-0-1 - cell-3-3: 0, length bound: 0
Init-to-goal-distance cell-0-1 - cell-4-0: 0, length bound: 0
Init-to-goal-distance cell-0-1 - cell-5-0: 0, length bound: 0
Init-to-goal-distance cell-0-1 - cell-5-2: 1, length bound: 1
Init-to-goal-distance cell-0-1 - cell-5-3: 1, length bound: 1
Init-to-goal-distance cell-0-1 - cell-6-2: 0, length bound: 0
Init-to-goal-distance cell-0-1 - cell-7-0: 1, length bound: 1
Init-to-goal-distance cell-0-1 - cell-8-0: 1, length bound: 1
Init-to-goal-distance cell-0-1 - cell-8-2: 1, length bound: 1
Init-to-goal-distance cell-0-1 - cell-10-0: 1, length bound: 1
Init-to-goal-distance cell-0-1 - cell-10-1: 1, length bound: 1
Init-to-goal-distance cell-0-1 - cell-11-1: 0, length bound: 0
Init-to-goal-distance cell-0-1 - cell-11-3: 1, length bound: 1
Init-to-goal-distance cell-0-2 - cell-1-0: 1, length bound: 1
Init-to-goal-distance cell-0-2 - cell-1-3: 0, length bound: 0
Init-to-goal-distance cell-0-2 - cell-2-1: 1, length bound: 1
Init-to-goal-distance cell-0-2 - cell-3-1: 1, length bound: 1
Init-to-goal-distance cell-0-2 - cell-3-3: 1, length bound: 1
Init-to-goal-distance cell-0-2 - cell-4-0: 1, length bound: 1
Init-to-goal-distance cell-0-2 - cell-5-0: 1, length bound: 1
Init-to-goal-distance cell-0-2 - cell-5-2: 2, length bound: 1
Init-to-goal-distance cell-0-2 - cell-5-3: 1, length bound: 1
Init-to-goal-distance cell-0-2 - cell-6-2: 1, length bound: 1
Init-to-goal-distance cell-0-2 - cell-7-0: 1, length bound: 1
Init-to-goal-distance cell-0-2 - cell-8-0: 1, length bound: 1
Init-to-goal-distance cell-0-2 - cell-8-2: 2, length bound: 1
Init-to-goal-distance cell-0-2 - cell-10-0: 0, length bound: 0
Init-to-goal-distance cell-0-2 - cell-10-1: 1, length bound: 1
Init-to-goal-distance cell-0-2 - cell-11-1: 1, length bound: 1
Init-to-goal-distance cell-0-2 - cell-11-3: 1, length bound: 1
Init-to-goal-distance cell-1-0 - cell-1-3: 0, length bound: 0
Init-to-goal-distance cell-1-0 - cell-2-1: 0, length bound: 0
Init-to-goal-distance cell-1-0 - cell-3-1: 1, length bound: 1
Init-to-goal-distance cell-1-0 - cell-3-3: 0, length bound: 0
Init-to-goal-distance cell-1-0 - cell-4-0: 0, length bound: 0
Init-to-goal-distance cell-1-0 - cell-5-0: 0, length bound: 0
Init-to-goal-distance cell-1-0 - cell-5-2: 1, length bound: 1
Init-to-goal-distance cell-1-0 - cell-5-3: 1, length bound: 1
Init-to-goal-distance cell-1-0 - cell-6-2: 0, length bound: 0
Init-to-goal-distance cell-1-0 - cell-7-0: 1, length bound: 1
Init-to-goal-distance cell-1-0 - cell-8-0: 1, length bound: 1
Init-to-goal-distance cell-1-0 - cell-8-2: 1, length bound: 1
Init-to-goal-distance cell-1-0 - cell-10-0: 1, length bound: 1
Init-to-goal-distance cell-1-0 - cell-10-1: 1, length bound: 1
Init-to-goal-distance cell-1-0 - cell-11-1: 0, length bound: 0
Init-to-goal-distance cell-1-0 - cell-11-3: 1, length bound: 1
Init-to-goal-distance cell-1-3 - cell-2-1: 0, length bound: 0
Init-to-goal-distance cell-1-3 - cell-3-1: 1, length bound: 1
Init-to-goal-distance cell-1-3 - cell-3-3: 0, length bound: 0
Init-to-goal-distance cell-1-3 - cell-4-0: 0, length bound: 0
Init-to-goal-distance cell-1-3 - cell-5-0: 0, length bound: 0
Init-to-goal-distance cell-1-3 - cell-5-2: 1, length bound: 1
Init-to-goal-distance cell-1-3 - cell-5-3: 1, length bound: 1
Init-to-goal-distance cell-1-3 - cell-6-2: 0, length bound: 0
Init-to-goal-distance cell-1-3 - cell-7-0: 1, length bound: 1
Init-to-goal-distance cell-1-3 - cell-8-0: 1, length bound: 1
Init-to-goal-distance cell-1-3 - cell-8-2: 1, length bound: 1
Init-to-goal-distance cell-1-3 - cell-10-0: 1, length bound: 1
Init-to-goal-distance cell-1-3 - cell-10-1: 1, length bound: 1
Init-to-goal-distance cell-1-3 - cell-11-1: 0, length bound: 0
Init-to-goal-distance cell-1-3 - cell-11-3: 1, length bound: 1
Init-to-goal-distance cell-2-1 - cell-3-1: -1, w/ static: 0, length bound: 0
Init-to-goal-distance cell-2-1 - cell-3-3: 0, length bound: 0
Init-to-goal-distance cell-2-1 - cell-4-0: 0, length bound: 0
Init-to-goal-distance cell-2-1 - cell-5-0: 0, length bound: 0
