(card-at card0 pos0 pos0), layer: 0
(card-at card1 pos1 pos0), layer: 0
(card-at card2 pos2 pos0), layer: 0
(card-at card3 pos3 pos0), layer: 0
(card-at card4 pos4 pos0), layer: 0
(card-at card5 pos0 pos1), layer: 0
(card-at card6 pos1 pos1), layer: 0
(card-at card7 pos2 pos1), layer: 0
(card-at card8 pos3 pos1), layer: 0
(card-at card9 pos4 pos1), layer: 0
(card-at card11 pos0 pos2), layer: 0
(card-at card12 pos1 pos2), layer: 0
(card-at card13 pos2 pos2), layer: 0
(card-at card14 pos3 pos2), layer: 0
(card-at card10 pos4 pos2), layer: 0
(card-at card15 pos0 pos3), layer: 0
(card-at card16 pos1 pos3), layer: 0
(card-at card17 pos2 pos3), layer: 0
(card-at card18 pos3 pos3), layer: 0
(card-at card19 pos4 pos3), layer: 0
(card-at card20 pos0 pos4), layer: 0
(card-at card21 pos1 pos4), layer: 0
(card-at card22 pos2 pos4), layer: 0
(card-at card23 pos3 pos4), layer: 0
(card-at card24 pos4 pos4), layer: 0
(robot-at card0), layer: 0
(NOT-robot-at card1), layer: 0
(NOT-robot-at card2), layer: 0
(NOT-robot-at card3), layer: 0
(NOT-robot-at card4), layer: 0
(NOT-robot-at card5), layer: 0
(NOT-robot-at card6), layer: 0
(NOT-robot-at card7), layer: 0
(NOT-robot-at card8), layer: 0
(NOT-robot-at card9), layer: 0
(NOT-robot-at card10), layer: 0
(NOT-robot-at card11), layer: 0
(NOT-robot-at card12), layer: 0
(NOT-robot-at card13), layer: 0
(NOT-robot-at card14), layer: 0
(NOT-robot-at card15), layer: 0
(NOT-robot-at card16), layer: 0
(NOT-robot-at card17), layer: 0
(NOT-robot-at card18), layer: 0
(NOT-robot-at card19), layer: 0
(NOT-robot-at card20), layer: 0
(NOT-robot-at card21), layer: 0
(NOT-robot-at card22), layer: 0
(NOT-robot-at card23), layer: 0
(NOT-robot-at card24), layer: 0
(NOT-cards-moving), layer: 0
(NOT-cards-moving-west), layer: 0
(NOT-cards-moving-east), layer: 0
