(rcnot l5_l6_i3), layer: 0
(rcnot l3_l6_i5), layer: 0
(rcnot l5_l6_i7), layer: 0
(rcnot l3_l5_i8), layer: 0
(rcnot l3_l5_i10), layer: 0
(rcnot l4_l5_i12), layer: 0
(rcnot l2_l5_i14), layer: 0
(rcnot l4_l5_i16), layer: 0
(rcnot l2_l4_i17), layer: 0
(rcnot l2_l4_i19), layer: 0
(rcnot l1_l4_i21), layer: 0
(rcnot l0_l4_i23), layer: 0
(rcnot l1_l4_i25), layer: 0
(rcnot l0_l4_i27), layer: 0
(rcnot l4_l5_i30), layer: 0
(rcnot l2_l5_i32), layer: 0
(rcnot l4_l5_i34), layer: 0
(rcnot l5_l6_i36), layer: 0
(rcnot l3_l6_i38), layer: 0
(rcnot l5_l6_i40), layer: 0
(rcnot l3_l5_i41), layer: 0
(rcnot l3_l5_i43), layer: 0
(rcnot l4_l5_i46), layer: 0
(rcnot l2_l5_i48), layer: 0
(rcnot l4_l5_i50), layer: 0
(rcnot l1_l4_i52), layer: 0
(rcnot l0_l4_i54), layer: 0
(rcnot l1_l4_i56), layer: 0
(rcnot l0_l4_i58), layer: 0
(rcnot l4_l5_i61), layer: 0
(rcnot l2_l5_i63), layer: 0
(rcnot l4_l5_i65), layer: 0
(rcnot l2_l4_i66), layer: 0
(rcnot l2_l4_i68), layer: 0
(NOT-occupied_pqubit p0), layer: 0
(NOT-occupied_pqubit p1), layer: 0
(NOT-occupied_pqubit p2), layer: 0
(NOT-occupied_pqubit p3), layer: 0
(NOT-occupied_pqubit p4), layer: 0
(NOT-occupied_pqubit p5), layer: 0
(NOT-occupied_pqubit p6), layer: 0
(NOT-occupied_pqubit p7), layer: 0
(NOT-occupied_pqubit p8), layer: 0
(NOT-occupied_pqubit p9), layer: 0
(NOT-occupied_pqubit p10), layer: 0
(NOT-occupied_pqubit p11), layer: 0
(NOT-occupied_pqubit p12), layer: 0
(NOT-occupied_pqubit p13), layer: 0
(NOT-initialized p0), layer: 0
(NOT-initialized p1), layer: 0
(NOT-initialized p2), layer: 0
(NOT-initialized p3), layer: 0
(NOT-initialized p4), layer: 0
(NOT-initialized p5), layer: 0
(NOT-initialized p6), layer: 0
(NOT-initialized p7), layer: 0
(NOT-initialized p8), layer: 0
(NOT-initialized p9), layer: 0
(NOT-initialized p10), layer: 0
(NOT-initialized p11), layer: 0
(NOT-initialized p12), layer: 0
(NOT-initialized p13), layer: 0
(mapped l5 p0), layer: 1
(mapped l6 p1), layer: 1
(NOT-rcnot l5_l6_i3), layer: 1
(mapped l5 p1), layer: 1
(mapped l6 p0), layer: 1
(mapped l6 p2), layer: 1
(mapped l6 p13), layer: 1
(mapped l5 p2), layer: 1
(mapped l6 p3), layer: 1
(mapped l6 p12), layer: 1
(mapped l5 p3), layer: 1
(mapped l6 p4), layer: 1
(mapped l6 p11), layer: 1
(mapped l5 p4), layer: 1
(mapped l6 p5), layer: 1
(mapped l6 p10), layer: 1
(mapped l5 p5), layer: 1
(mapped l6 p6), layer: 1
(mapped l6 p9), layer: 1
(mapped l5 p6), layer: 1
(mapped l6 p8), layer: 1
(mapped l5 p7), layer: 1
(mapped l5 p8), layer: 1
(mapped l6 p7), layer: 1
(mapped l5 p9), layer: 1
(mapped l5 p10), layer: 1
(mapped l5 p11), layer: 1
(mapped l5 p12), layer: 1
(mapped l5 p13), layer: 1
(mapped l3 p0), layer: 2
(NOT-rcnot l3_l6_i5), layer: 2
(mapped l3 p2), layer: 2
(mapped l3 p13), layer: 2
(mapped l3 p1), layer: 2
(mapped l3 p3), layer: 2
(mapped l3 p12), layer: 2
(mapped l3 p4), layer: 2
(mapped l3 p11), layer: 2
(mapped l3 p5), layer: 2
(mapped l3 p10), layer: 2
(mapped l3 p6), layer: 2
(mapped l3 p9), layer: 2
(mapped l3 p8), layer: 2
(mapped l3 p7), layer: 2
(connected p1 p0), layer: 0
(connected p1 p2), layer: 0
(connected p2 p3), layer: 0
(connected p4 p3), layer: 0
(connected p4 p10), layer: 0
(connected p5 p4), layer: 0
(connected p5 p6), layer: 0
(connected p5 p9), layer: 0
(connected p6 p8), layer: 0
(connected p7 p8), layer: 0
(connected p9 p8), layer: 0
(connected p9 p10), layer: 0
(connected p11 p3), layer: 0
(connected p11 p10), layer: 0
(connected p11 p12), layer: 0
(connected p12 p2), layer: 0
(connected p13 p1), layer: 0
(connected p13 p12), layer: 0
(connected p0 p1), layer: 0
(connected p2 p1), layer: 0
(connected p3 p2), layer: 0
(connected p3 p4), layer: 0
(connected p10 p4), layer: 0
(connected p4 p5), layer: 0
(connected p6 p5), layer: 0
(connected p9 p5), layer: 0
(connected p8 p6), layer: 0
(connected p8 p7), layer: 0
(connected p8 p9), layer: 0
(connected p10 p9), layer: 0
(connected p3 p11), layer: 0
(connected p10 p11), layer: 0
(connected p12 p11), layer: 0
(connected p2 p12), layer: 0
(connected p1 p13), layer: 0
(connected p12 p13), layer: 0
