Domain: rainbowttles-constant-free
Problem: rainbowttles-40-constant-free
Require:
  :action-costs
  :conditional-effects
  :disjunctive-preconditions
  :equality
  :existential-preconditions
  :negative-preconditions
  :numeric-fluents
  :strips
  :typing
  :universal-preconditions
Type:
  bottle - object
  colour - object
  object
Obj:
  blue - colour
  bottle01 - bottle
  bottle02 - bottle
  bottle03 - bottle
  bottle04 - bottle
  bottle05 - bottle
  bottle06 - bottle
  bottle07 - bottle
  bottle08 - bottle
  bottle09 - bottle
  bottle10 - bottle
  cyan - colour
  empty - colour
  green - colour
  orange - colour
  purple - colour
  red - colour
  yellow - colour
Predicate:
  (= object object) :eq
  (closed bottle)
  (colour-below bottle colour colour)
  (empty-colour colour)
  (real-colour colour)
  (upper-colour bottle colour)
Function:
  (bottle-capacity bottle)
  (colour-segments bottle colour)
  (segments-filled bottle)
Action:
  close-bottle: ?b - bottle ?c - colour
      pre: (and (= (colour-segments ?b ?c) (bottle-capacity ?b)) (real-colour ?c))
      eff: (and (closed ?b))
  close-empty-bottle: ?b - bottle
      pre: (and (= (segments-filled ?b) 0))
      eff: (and (closed ?b))
  pour-to-empty-bottle: ?b - bottle ?c - colour ?c1 - colour ?e - colour ?b1 - bottle
      pre: (and (<= (colour-segments ?b ?c) (bottle-capacity ?b1)) (= (colour-segments ?b1 ?c) 0) (= (segments-filled ?b1) 0) (> (colour-segments ?b ?c) 0) (> (segments-filled ?b) 0) (colour-below ?b ?c ?c1) (empty-colour ?e) (not (= ?b ?b1)) (not (closed ?b)) (not (closed ?b1)) (real-colour ?c) (upper-colour ?b ?c) (upper-colour ?b1 ?e))
      eff: (and (assign (colour-segments ?b ?c) 0) (colour-below ?b1 ?c ?e) (decrease (segments-filled ?b) (colour-segments ?b ?c)) (increase (colour-segments ?b1 ?c) (colour-segments ?b ?c)) (increase (segments-filled ?b1) (colour-segments ?b ?c)) (not (upper-colour ?b ?c)) (not (upper-colour ?b1 ?e)) (upper-colour ?b ?c1) (upper-colour ?b1 ?c))
  pour: ?b - bottle ?c - colour ?c1 - colour ?b1 - bottle
      pre: (and (<= (+ (segments-filled ?b1) (colour-segments ?b ?c)) (bottle-capacity ?b1)) (> (colour-segments ?b ?c) 0) (> (colour-segments ?b1 ?c) 0) (> (segments-filled ?b) 0) (> (segments-filled ?b1) 0) (colour-below ?b ?c ?c1) (not (= ?b ?b1)) (not (closed ?b)) (not (closed ?b1)) (real-colour ?c) (upper-colour ?b ?c) (upper-colour ?b1 ?c))
      eff: (and (assign (colour-segments ?b ?c) 0) (decrease (segments-filled ?b) (colour-segments ?b ?c)) (increase (colour-segments ?b1 ?c) (colour-segments ?b ?c)) (increase (segments-filled ?b1) (colour-segments ?b ?c)) (not (upper-colour ?b ?c)) (upper-colour ?b ?c1))
Init:
  (= (bottle-capacity bottle01) 4)
  (= (bottle-capacity bottle02) 4)
  (= (bottle-capacity bottle03) 4)
  (= (bottle-capacity bottle04) 4)
  (= (bottle-capacity bottle05) 4)
  (= (bottle-capacity bottle06) 4)
  (= (bottle-capacity bottle07) 4)
  (= (bottle-capacity bottle08) 4)
  (= (bottle-capacity bottle09) 4)
  (= (bottle-capacity bottle10) 4)
  (= (colour-segments bottle01 blue) 0)
  (= (colour-segments bottle01 cyan) 0)
  (= (colour-segments bottle01 empty) 0)
  (= (colour-segments bottle01 green) 0)
  (= (colour-segments bottle01 orange) 0)
  (= (colour-segments bottle01 purple) 0)
  (= (colour-segments bottle01 red) 0)
  (= (colour-segments bottle01 yellow) 0)
  (= (colour-segments bottle02 blue) 0)
  (= (colour-segments bottle02 cyan) 0)
  (= (colour-segments bottle02 empty) 0)
  (= (colour-segments bottle02 green) 0)
  (= (colour-segments bottle02 orange) 0)
  (= (colour-segments bottle02 purple) 0)
  (= (colour-segments bottle02 red) 0)
  (= (colour-segments bottle02 yellow) 0)
  (= (colour-segments bottle03 blue) 2)
  (= (colour-segments bottle03 cyan) 0)
  (= (colour-segments bottle03 empty) 0)
  (= (colour-segments bottle03 green) 1)
  (= (colour-segments bottle03 orange) 1)
  (= (colour-segments bottle03 purple) 0)
  (= (colour-segments bottle03 red) 0)
  (= (colour-segments bottle03 yellow) 0)
  (= (colour-segments bottle04 blue) 0)
  (= (colour-segments bottle04 cyan) 0)
  (= (colour-segments bottle04 empty) 0)
  (= (colour-segments bottle04 green) 0)
  (= (colour-segments bottle04 orange) 0)
  (= (colour-segments bottle04 purple) 0)
  (= (colour-segments bottle04 red) 1)
  (= (colour-segments bottle04 yellow) 2)
  (= (colour-segments bottle05 blue) 0)
  (= (colour-segments bottle05 cyan) 0)
  (= (colour-segments bottle05 empty) 0)
  (= (colour-segments bottle05 green) 0)
  (= (colour-segments bottle05 orange) 0)
  (= (colour-segments bottle05 purple) 3)
  (= (colour-segments bottle05 red) 1)
  (= (colour-segments bottle05 yellow) 0)
  (= (colour-segments bottle06 blue) 0)
  (= (colour-segments bottle06 cyan) 1)
  (= (colour-segments bottle06 empty) 0)
  (= (colour-segments bottle06 green) 3)
  (= (colour-segments bottle06 orange) 0)
  (= (colour-segments bottle06 purple) 0)
  (= (colour-segments bottle06 red) 0)
  (= (colour-segments bottle06 yellow) 0)
  (= (colour-segments bottle07 blue) 0)
  (= (colour-segments bottle07 cyan) 2)
  (= (colour-segments bottle07 empty) 0)
  (= (colour-segments bottle07 green) 0)
  (= (colour-segments bottle07 orange) 1)
  (= (colour-segments bottle07 purple) 0)
  (= (colour-segments bottle07 red) 0)
  (= (colour-segments bottle07 yellow) 1)
  (= (colour-segments bottle08 blue) 0)
  (= (colour-segments bottle08 cyan) 0)
  (= (colour-segments bottle08 empty) 0)
  (= (colour-segments bottle08 green) 0)
  (= (colour-segments bottle08 orange) 0)
  (= (colour-segments bottle08 purple) 0)
  (= (colour-segments bottle08 red) 1)
  (= (colour-segments bottle08 yellow) 0)
  (= (colour-segments bottle09 blue) 0)
  (= (colour-segments bottle09 cyan) 1)
  (= (colour-segments bottle09 empty) 0)
  (= (colour-segments bottle09 green) 0)
  (= (colour-segments bottle09 orange) 2)
  (= (colour-segments bottle09 purple) 0)
  (= (colour-segments bottle09 red) 0)
  (= (colour-segments bottle09 yellow) 1)
  (= (colour-segments bottle10 blue) 2)
  (= (colour-segments bottle10 cyan) 0)
  (= (colour-segments bottle10 empty) 0)
  (= (colour-segments bottle10 green) 0)
