(at-vehicle truck-2 city-3-loc-1), layer: 0
(capacity truck-2 capacity-3), layer: 0
(at-vehicle truck-1 city-1-loc-3), layer: 0
(capacity truck-1 capacity-3), layer: 0
(count-package package-bag1 city-3-loc-3 pnum0), layer: 0
(count-package package-bag1 city-1-loc-2 pnum1), layer: 0
(count-package package-bag2 city-3-loc-1 pnum1), layer: 0
(count-package package-bag3 city-1-loc-2 pnum1), layer: 0
(count-package package-bag1 truck-1 pnum0), layer: 0
(count-package package-bag1 truck-2 pnum0), layer: 0
(count-package package-bag1 city-1-loc-1 pnum0), layer: 0
(count-package package-bag1 city-2-loc-1 pnum0), layer: 0
(count-package package-bag1 city-3-loc-1 pnum0), layer: 0
(count-package package-bag1 city-2-loc-2 pnum0), layer: 0
(count-package package-bag1 city-3-loc-2 pnum0), layer: 0
(count-package package-bag1 city-1-loc-3 pnum0), layer: 0
(count-package package-bag1 city-2-loc-3 pnum0), layer: 0
(count-package package-bag2 truck-1 pnum0), layer: 0
(count-package package-bag2 truck-2 pnum0), layer: 0
(count-package package-bag2 city-1-loc-1 pnum0), layer: 0
(count-package package-bag2 city-2-loc-1 pnum0), layer: 0
(count-package package-bag2 city-1-loc-2 pnum0), layer: 0
(count-package package-bag2 city-2-loc-2 pnum0), layer: 0
(count-package package-bag2 city-3-loc-2 pnum0), layer: 0
(count-package package-bag2 city-1-loc-3 pnum0), layer: 0
(count-package package-bag2 city-2-loc-3 pnum0), layer: 0
(count-package package-bag2 city-3-loc-3 pnum0), layer: 0
(count-package package-bag3 truck-1 pnum0), layer: 0
(count-package package-bag3 truck-2 pnum0), layer: 0
(count-package package-bag3 city-1-loc-1 pnum0), layer: 0
(count-package package-bag3 city-2-loc-1 pnum0), layer: 0
(count-package package-bag3 city-3-loc-1 pnum0), layer: 0
(count-package package-bag3 city-2-loc-2 pnum0), layer: 0
(count-package package-bag3 city-3-loc-2 pnum0), layer: 0
(count-package package-bag3 city-1-loc-3 pnum0), layer: 0
(count-package package-bag3 city-2-loc-3 pnum0), layer: 0
(count-package package-bag3 city-3-loc-3 pnum0), layer: 0
(at-vehicle truck-2 city-1-loc-1), layer: 1
(at-vehicle truck-2 city-3-loc-2), layer: 1
(at-vehicle truck-2 city-3-loc-3), layer: 1
(at-vehicle truck-1 city-1-loc-1), layer: 1
(at-vehicle truck-1 city-1-loc-2), layer: 1
(count-package package-bag2 city-3-loc-1 pnum0), layer: 1
(count-package package-bag2 truck-2 pnum1), layer: 1
(capacity truck-2 capacity-2), layer: 1
(at-vehicle truck-2 city-1-loc-3), layer: 2
(at-vehicle truck-2 city-2-loc-3), layer: 2
(at-vehicle truck-1 city-3-loc-1), layer: 2
(at-vehicle truck-1 city-2-loc-3), layer: 2
(count-package package-bag1 city-1-loc-2 pnum0), layer: 2
(count-package package-bag1 truck-1 pnum1), layer: 2
(capacity truck-1 capacity-2), layer: 2
(capacity truck-2 capacity-1), layer: 2
(count-package package-bag3 city-1-loc-2 pnum0), layer: 2
(count-package package-bag3 truck-1 pnum1), layer: 2
(count-package package-bag2 city-1-loc-1 pnum1), layer: 2
(capacity truck-2 capacity-4), layer: 2
(count-package package-bag2 city-3-loc-2 pnum1), layer: 2
(count-package package-bag2 city-3-loc-3 pnum1), layer: 2
(road city-1-loc-1 city-1-loc-3), layer: 0
(capacity-predecessor capacity-1 capacity-2), layer: 0
(road city-3-loc-1 city-3-loc-3), layer: 0
(road city-1-loc-3 city-1-loc-1), layer: 0
(capacity-predecessor capacity-0 capacity-1), layer: 0
(road city-2-loc-3 city-2-loc-1), layer: 0
(capacity-predecessor capacity-2 capacity-3), layer: 0
(capacity-predecessor capacity-3 capacity-4), layer: 0
(road city-2-loc-1 city-2-loc-3), layer: 0
(road city-2-loc-3 city-2-loc-2), layer: 0
(road city-1-loc-3 city-1-loc-2), layer: 0
(road city-3-loc-1 city-3-loc-2), layer: 0
(road city-3-loc-1 city-1-loc-1), layer: 0
(road city-2-loc-2 city-2-loc-1), layer: 0
(road city-3-loc-3 city-3-loc-1), layer: 0
(road city-2-loc-2 city-2-loc-3), layer: 0
(road city-3-loc-2 city-3-loc-1), layer: 0
(road city-2-loc-3 city-3-loc-2), layer: 0
(road city-1-loc-1 city-3-loc-1), layer: 0
(road city-3-loc-2 city-2-loc-3), layer: 0
(road city-1-loc-1 city-2-loc-3), layer: 0
(road city-2-loc-3 city-1-loc-1), layer: 0
(road city-2-loc-1 city-2-loc-2), layer: 0
(road city-1-loc-2 city-1-loc-3), layer: 0
(package-less pnum1 pnum2), layer: 0
(package-less pnum0 pnum1), layer: 0
(package-bag-size package-bag1 pnum2), layer: 0
(package-bag-size package-bag2 pnum1), layer: 0
(package-bag-size package-bag3 pnum1), layer: 0
(package-lte-sum pnum0 pnum0 pnum2), layer: 0
(package-lte-sum pnum0 pnum1 pnum2), layer: 0
(package-lte-sum pnum0 pnum2 pnum2), layer: 0
(package-lte-sum pnum1 pnum0 pnum2), layer: 0
(package-lte-sum pnum1 pnum1 pnum2), layer: 0
(package-lte-sum pnum2 pnum0 pnum2), layer: 0
(package-lte-sum pnum0 pnum0 pnum1), layer: 0
(package-lte-sum pnum0 pnum1 pnum1), layer: 0
(package-lte-sum pnum1 pnum0 pnum1), layer: 0
