(at-vehicle truck-4 city-loc-45), layer: 0
(at-vehicle truck-2 city-loc-14), layer: 0
(capacity truck-4 capacity-3), layer: 0
(capacity truck-1 capacity-3), layer: 0
(at-vehicle truck-1 city-loc-32), layer: 0
(capacity truck-3 capacity-2), layer: 0
(capacity truck-2 capacity-3), layer: 0
(at-vehicle truck-3 city-loc-27), layer: 0
(count-package package-bag1 city-loc-16 pnum1), layer: 0
(count-package package-bag1 city-loc-4 pnum1), layer: 0
(count-package package-bag1 city-loc-24 pnum1), layer: 0
(count-package package-bag2 city-loc-10 pnum3), layer: 0
(count-package package-bag3 city-loc-38 pnum1), layer: 0
(count-package package-bag3 city-loc-11 pnum1), layer: 0
(count-package package-bag4 city-loc-9 pnum1), layer: 0
(count-package package-bag4 city-loc-4 pnum1), layer: 0
(count-package package-bag5 city-loc-1 pnum2), layer: 0
(count-package package-bag6 city-loc-33 pnum1), layer: 0
(count-package package-bag7 city-loc-46 pnum1), layer: 0
(count-package package-bag8 city-loc-18 pnum1), layer: 0
(count-package package-bag9 city-loc-37 pnum1), layer: 0
(count-package package-bag10 city-loc-35 pnum1), layer: 0
(count-package package-bag11 city-loc-3 pnum1), layer: 0
(count-package package-bag12 city-loc-25 pnum1), layer: 0
(count-package package-bag13 city-loc-38 pnum1), layer: 0
(count-package package-bag14 city-loc-11 pnum1), layer: 0
(count-package package-bag15 city-loc-13 pnum1), layer: 0
(count-package package-bag16 city-loc-14 pnum1), layer: 0
(count-package package-bag17 city-loc-39 pnum1), layer: 0
(count-package package-bag18 city-loc-49 pnum1), layer: 0
(count-package package-bag1 city-loc-1 pnum0), layer: 0
(count-package package-bag1 city-loc-2 pnum0), layer: 0
(count-package package-bag1 city-loc-3 pnum0), layer: 0
(count-package package-bag1 city-loc-5 pnum0), layer: 0
(count-package package-bag1 city-loc-6 pnum0), layer: 0
(count-package package-bag1 city-loc-7 pnum0), layer: 0
(count-package package-bag1 city-loc-8 pnum0), layer: 0
(count-package package-bag1 city-loc-9 pnum0), layer: 0
(count-package package-bag1 city-loc-10 pnum0), layer: 0
(count-package package-bag1 city-loc-11 pnum0), layer: 0
(count-package package-bag1 city-loc-12 pnum0), layer: 0
(count-package package-bag1 city-loc-13 pnum0), layer: 0
(count-package package-bag1 city-loc-14 pnum0), layer: 0
(count-package package-bag1 city-loc-15 pnum0), layer: 0
(count-package package-bag1 city-loc-17 pnum0), layer: 0
(count-package package-bag1 city-loc-18 pnum0), layer: 0
(count-package package-bag1 city-loc-19 pnum0), layer: 0
(count-package package-bag1 city-loc-20 pnum0), layer: 0
(count-package package-bag1 city-loc-21 pnum0), layer: 0
(count-package package-bag1 city-loc-22 pnum0), layer: 0
(count-package package-bag1 city-loc-23 pnum0), layer: 0
(count-package package-bag1 city-loc-25 pnum0), layer: 0
(count-package package-bag1 city-loc-26 pnum0), layer: 0
(count-package package-bag1 city-loc-27 pnum0), layer: 0
(count-package package-bag1 city-loc-28 pnum0), layer: 0
(count-package package-bag1 city-loc-29 pnum0), layer: 0
(count-package package-bag1 city-loc-30 pnum0), layer: 0
(count-package package-bag1 city-loc-31 pnum0), layer: 0
(count-package package-bag1 city-loc-32 pnum0), layer: 0
(count-package package-bag1 city-loc-33 pnum0), layer: 0
(count-package package-bag1 city-loc-34 pnum0), layer: 0
(count-package package-bag1 city-loc-35 pnum0), layer: 0
(count-package package-bag1 city-loc-36 pnum0), layer: 0
(count-package package-bag1 city-loc-37 pnum0), layer: 0
(count-package package-bag1 city-loc-38 pnum0), layer: 0
(count-package package-bag1 city-loc-39 pnum0), layer: 0
(count-package package-bag1 city-loc-40 pnum0), layer: 0
(count-package package-bag1 city-loc-41 pnum0), layer: 0
(count-package package-bag1 city-loc-42 pnum0), layer: 0
(count-package package-bag1 city-loc-43 pnum0), layer: 0
(count-package package-bag1 city-loc-44 pnum0), layer: 0
(count-package package-bag1 city-loc-45 pnum0), layer: 0
(count-package package-bag1 city-loc-46 pnum0), layer: 0
(count-package package-bag1 city-loc-47 pnum0), layer: 0
(count-package package-bag1 city-loc-48 pnum0), layer: 0
(count-package package-bag1 city-loc-49 pnum0), layer: 0
(count-package package-bag1 city-loc-50 pnum0), layer: 0
(count-package package-bag1 truck-1 pnum0), layer: 0
(count-package package-bag1 truck-2 pnum0), layer: 0
(count-package package-bag1 truck-3 pnum0), layer: 0
(count-package package-bag1 truck-4 pnum0), layer: 0
(count-package package-bag2 city-loc-1 pnum0), layer: 0
(count-package package-bag2 city-loc-2 pnum0), layer: 0
(count-package package-bag2 city-loc-3 pnum0), layer: 0
(count-package package-bag2 city-loc-4 pnum0), layer: 0
(count-package package-bag2 city-loc-5 pnum0), layer: 0
(count-package package-bag2 city-loc-6 pnum0), layer: 0
(count-package package-bag2 city-loc-7 pnum0), layer: 0
(count-package package-bag2 city-loc-8 pnum0), layer: 0
(count-package package-bag2 city-loc-9 pnum0), layer: 0
(count-package package-bag2 city-loc-11 pnum0), layer: 0
