(active loc-1-0), layer: 0
(active loc-1-1), layer: 0
(active loc-1-2), layer: 0
(active loc-1-3), layer: 0
(active loc-2-0), layer: 0
(active loc-3-0), layer: 0
(active loc-3-1), layer: 0
(active loc-3-2), layer: 0
(active loc-3-3), layer: 0
(person-at p0 loc-0-0), layer: 0
(person-at p1 loc-0-1), layer: 0
(person-at p2 loc-0-2), layer: 0
(person-at p3 loc-0-3), layer: 0
(person-at p0 loc-1-0), layer: 1
(person-at p1 loc-1-1), layer: 1
(person-at p2 loc-1-2), layer: 1
(person-at p3 loc-1-3), layer: 1
(person-at p0 loc-1-1), layer: 2
(person-at p0 loc-2-0), layer: 2
(person-at p1 loc-1-0), layer: 2
(person-at p1 loc-1-2), layer: 2
(person-at p2 loc-1-1), layer: 2
(person-at p2 loc-1-3), layer: 2
(person-at p3 loc-1-2), layer: 2
(person p0), layer: 0
(person p1), layer: 0
(person p2), layer: 0
(person p3), layer: 0
(location loc-0-0), layer: 0
(location loc-0-1), layer: 0
(location loc-0-2), layer: 0
(location loc-0-3), layer: 0
(location loc-1-0), layer: 0
(location loc-1-1), layer: 0
(location loc-1-2), layer: 0
(location loc-1-3), layer: 0
(location loc-2-0), layer: 0
(location loc-3-0), layer: 0
(location loc-3-1), layer: 0
(location loc-3-2), layer: 0
(location loc-3-3), layer: 0
(connected loc-0-0 loc-1-0), layer: 0
(connected loc-0-1 loc-1-1), layer: 0
(connected loc-0-2 loc-1-2), layer: 0
(connected loc-0-3 loc-1-3), layer: 0
(connected loc-1-0 loc-2-0), layer: 0
(connected loc-2-0 loc-3-0), layer: 0
(connected loc-1-0 loc-0-0), layer: 0
(connected loc-1-1 loc-0-1), layer: 0
(connected loc-1-2 loc-0-2), layer: 0
(connected loc-1-3 loc-0-3), layer: 0
(connected loc-2-0 loc-1-0), layer: 0
(connected loc-3-0 loc-2-0), layer: 0
(connected loc-0-0 loc-0-1), layer: 0
(connected loc-0-1 loc-0-2), layer: 0
(connected loc-0-2 loc-0-3), layer: 0
(connected loc-1-0 loc-1-1), layer: 0
(connected loc-1-1 loc-1-2), layer: 0
(connected loc-1-2 loc-1-3), layer: 0
(connected loc-3-0 loc-3-1), layer: 0
(connected loc-3-1 loc-3-2), layer: 0
(connected loc-3-2 loc-3-3), layer: 0
(connected loc-0-1 loc-0-0), layer: 0
(connected loc-0-2 loc-0-1), layer: 0
(connected loc-0-3 loc-0-2), layer: 0
(connected loc-1-1 loc-1-0), layer: 0
(connected loc-1-2 loc-1-1), layer: 0
(connected loc-1-3 loc-1-2), layer: 0
(connected loc-3-1 loc-3-0), layer: 0
(connected loc-3-2 loc-3-1), layer: 0
(connected loc-3-3 loc-3-2), layer: 0
