(train-at office1), layer: 0
(in-train fuel1), layer: 0
(in-train fuel2), layer: 0
(at document1 office7), layer: 0
(at document2 office7), layer: 0
(at document3 office7), layer: 0
(at document4 office7), layer: 0
(at document5 office7), layer: 0
(at document6 office7), layer: 0
(at document7 office11), layer: 0
(at document8 office11), layer: 0
(at document9 office11), layer: 0
(at document10 office11), layer: 0
(at document11 office11), layer: 0
(at document12 office11), layer: 0
(at document13 office11), layer: 0
(at document14 office12), layer: 0
(at document15 office12), layer: 0
(at document16 office12), layer: 0
(at document17 office12), layer: 0
(at document18 office12), layer: 0
(at document19 office14), layer: 0
(at document20 office14), layer: 0
(at document21 office14), layer: 0
(at document22 office14), layer: 0
(at document23 office14), layer: 0
(at document24 office16), layer: 0
(at document25 office16), layer: 0
(at document26 office16), layer: 0
(at document27 office25), layer: 0
(at document28 office25), layer: 0
(at document29 office25), layer: 0
(at document30 office25), layer: 0
(at document31 office25), layer: 0
(train-at office), layer: 1
(train-at office2), layer: 1
(at fuel1 office1), layer: 1
(at fuel2 office1), layer: 1
(train-at office3), layer: 2
(train-at office15), layer: 2
(at fuel1 office), layer: 2
(at fuel1 office2), layer: 2
(at fuel2 office), layer: 2
(at fuel2 office2), layer: 2
(track office1 office), layer: 0
(track office1 office2), layer: 0
(track office2 office15), layer: 0
(track office2 office1), layer: 0
(track office2 office3), layer: 0
(track office3 office), layer: 0
(track office3 office4), layer: 0
(track office4 office21), layer: 0
(track office4 office5), layer: 0
(track office5 office8), layer: 0
(track office5 office6), layer: 0
(track office6 office), layer: 0
(track office6 office7), layer: 0
(track office7 office), layer: 0
(track office7 office8), layer: 0
(track office8 office5), layer: 0
(track office8 office9), layer: 0
(track office9 office24), layer: 0
(track office9 office10), layer: 0
(track office10 office), layer: 0
(track office10 office11), layer: 0
(track office11 office15), layer: 0
(track office11 office12), layer: 0
(track office12 office), layer: 0
(track office12 office13), layer: 0
(track office13 office), layer: 0
(track office13 office14), layer: 0
(track office14 office21), layer: 0
(track office14 office15), layer: 0
(track office15 office2), layer: 0
(track office15 office7), layer: 0
(track office15 office16), layer: 0
(track office16 office), layer: 0
(track office16 office17), layer: 0
(track office17 office5), layer: 0
(track office17 office18), layer: 0
(track office18 office), layer: 0
(track office18 office19), layer: 0
(track office19 office), layer: 0
(track office19 office20), layer: 0
(track office20 office), layer: 0
(track office20 office21), layer: 0
(track office21 office6), layer: 0
(track office21 office23), layer: 0
(track office21 office22), layer: 0
(track office22 office), layer: 0
(track office22 office23), layer: 0
(track office23 office8), layer: 0
(track office23 office24), layer: 0
(track office24 office24), layer: 0
(track office24 office6), layer: 0
(track office24 office25), layer: 0
(track office25 office24), layer: 0
(track office25 office25), layer: 0
(track office25 depot), layer: 0
(track depot office), layer: 0
