(at_soil_sample waypoint3), layer: 0
(at_soil_sample waypoint4), layer: 0
(at_rock_sample waypoint5), layer: 0
(at_soil_sample waypoint6), layer: 0
(at_soil_sample waypoint7), layer: 0
(at_rock_sample waypoint7), layer: 0
(at_rock_sample waypoint8), layer: 0
(at_rock_sample waypoint9), layer: 0
(channel_free general), layer: 0
(energy rover0 level50), layer: 0
(at rover0 waypoint7), layer: 0
(available rover0), layer: 0
(empty rover0store), layer: 0
(energy rover0 level47), layer: 1
(at rover0 waypoint0), layer: 1
(energy rover0 level48), layer: 1
(at rover0 waypoint1), layer: 1
(energy rover0 level33), layer: 1
(at rover0 waypoint4), layer: 1
(energy rover0 level45), layer: 1
(at rover0 waypoint6), layer: 1
(energy rover0 level43), layer: 1
(at rover0 waypoint9), layer: 1
(energy rover0 level34), layer: 1
(at rover0 waypoint10), layer: 1
(energy rover0 level42), layer: 1
(at rover0 waypoint11), layer: 1
(full rover0store), layer: 1
(have_soil_analysis rover0 waypoint7), layer: 1
(have_rock_analysis rover0 waypoint7), layer: 1
(calibrated camera0 rover0), layer: 1
(calibrated camera1 rover0), layer: 1
(calibrated camera2 rover0), layer: 1
(calibrated camera3 rover0), layer: 1
(calibrated camera4 rover0), layer: 1
(calibrated camera5 rover0), layer: 1
(calibrated camera6 rover0), layer: 1
(energy rover0 level25), layer: 2
(at rover0 waypoint2), layer: 2
(energy rover0 level26), layer: 2
(energy rover0 level35), layer: 2
(energy rover0 level37), layer: 2
(energy rover0 level39), layer: 2
(energy rover0 level40), layer: 2
(energy rover0 level30), layer: 2
(energy rover0 level31), layer: 2
(energy rover0 level44), layer: 2
(energy rover0 level21), layer: 2
(at rover0 waypoint8), layer: 2
(energy rover0 level22), layer: 2
(energy rover0 level36), layer: 2
(energy rover0 level38), layer: 2
(energy rover0 level9), layer: 2
(energy rover0 level10), layer: 2
(energy rover0 level18), layer: 2
(energy rover0 level19), layer: 2
(energy rover0 level23), layer: 2
(energy rover0 level24), layer: 2
(energy rover0 level17), layer: 2
(energy rover0 level27), layer: 2
(energy rover0 level29), layer: 2
(energy rover0 level32), layer: 2
(at rover0 waypoint5), layer: 2
(energy rover0 level41), layer: 2
(energy rover0 level46), layer: 2
(energy rover0 level28), layer: 2
(energy rover0 level11), layer: 2
(energy rover0 level12), layer: 2
(energy rover0 level20), layer: 2
(energy rover0 level14), layer: 2
(energy rover0 level15), layer: 2
(at rover0 waypoint3), layer: 2
(energy rover0 level16), layer: 2
(have_soil_analysis rover0 waypoint4), layer: 2
(have_soil_analysis rover0 waypoint6), layer: 2
(have_rock_analysis rover0 waypoint9), layer: 2
(have_image rover0 objective0 colour), layer: 2
(have_image rover0 objective4 colour), layer: 2
(have_image rover0 objective5 colour), layer: 2
(have_image rover0 objective2 colour), layer: 2
(have_image rover0 objective3 colour), layer: 2
(have_image rover0 objective1 colour), layer: 2
(have_image rover0 objective6 colour), layer: 2
(have_image rover0 objective0 high_res), layer: 2
(have_image rover0 objective4 high_res), layer: 2
(have_image rover0 objective5 high_res), layer: 2
(have_image rover0 objective2 high_res), layer: 2
(have_image rover0 objective3 high_res), layer: 2
(have_image rover0 objective1 high_res), layer: 2
(have_image rover0 objective6 high_res), layer: 2
(have_image rover0 objective0 low_res), layer: 2
(have_image rover0 objective4 low_res), layer: 2
(have_image rover0 objective5 low_res), layer: 2
(have_image rover0 objective2 low_res), layer: 2
(have_image rover0 objective3 low_res), layer: 2
(have_image rover0 objective1 low_res), layer: 2
(have_image rover0 objective6 low_res), layer: 2
(communicated_soil_data waypoint7), layer: 2
(communicated_rock_data waypoint7), layer: 2
(visible waypoint0 waypoint2), layer: 0
(visible waypoint2 waypoint0), layer: 0
(visible waypoint0 waypoint7), layer: 0
(visible waypoint7 waypoint0), layer: 0
(visible waypoint0 waypoint8), layer: 0
(visible waypoint8 waypoint0), layer: 0
(visible waypoint0 waypoint11), layer: 0
(visible waypoint11 waypoint0), layer: 0
(visible waypoint1 waypoint2), layer: 0
(visible waypoint2 waypoint1), layer: 0
(visible waypoint1 waypoint5), layer: 0
(visible waypoint5 waypoint1), layer: 0
(visible waypoint1 waypoint7), layer: 0
(visible waypoint7 waypoint1), layer: 0
(visible waypoint2 waypoint3), layer: 0
(visible waypoint3 waypoint2), layer: 0
(visible waypoint2 waypoint4), layer: 0
(visible waypoint4 waypoint2), layer: 0
(visible waypoint2 waypoint6), layer: 0
(visible waypoint6 waypoint2), layer: 0
(visible waypoint2 waypoint8), layer: 0
(visible waypoint8 waypoint2), layer: 0
(visible waypoint2 waypoint10), layer: 0
(visible waypoint10 waypoint2), layer: 0
(visible waypoint3 waypoint1), layer: 0
(visible waypoint1 waypoint3), layer: 0
(visible waypoint3 waypoint6), layer: 0
(visible waypoint6 waypoint3), layer: 0
(visible waypoint4 waypoint1), layer: 0
(visible waypoint1 waypoint4), layer: 0
(visible waypoint4 waypoint11), layer: 0
(visible waypoint11 waypoint4), layer: 0
(visible waypoint5 waypoint8), layer: 0
(visible waypoint8 waypoint5), layer: 0
(visible waypoint6 waypoint1), layer: 0
(visible waypoint1 waypoint6), layer: 0
(visible waypoint6 waypoint9), layer: 0
(visible waypoint9 waypoint6), layer: 0
(visible waypoint6 waypoint11), layer: 0
(visible waypoint11 waypoint6), layer: 0
(visible waypoint7 waypoint4), layer: 0
(visible waypoint4 waypoint7), layer: 0
(visible waypoint7 waypoint6), layer: 0
(visible waypoint6 waypoint7), layer: 0
(visible waypoint7 waypoint9), layer: 0
(visible waypoint9 waypoint7), layer: 0
(visible waypoint8 waypoint1), layer: 0
(visible waypoint1 waypoint8), layer: 0
(visible waypoint8 waypoint3), layer: 0
(visible waypoint3 waypoint8), layer: 0
(visible waypoint8 waypoint6), layer: 0
(visible waypoint6 waypoint8), layer: 0
(visible waypoint8 waypoint9), layer: 0
(visible waypoint9 waypoint8), layer: 0
(visible waypoint8 waypoint10), layer: 0
(visible waypoint10 waypoint8), layer: 0
(visible waypoint9 waypoint1), layer: 0
(visible waypoint1 waypoint9), layer: 0
(visible waypoint9 waypoint2), layer: 0
(visible waypoint2 waypoint9), layer: 0
(visible waypoint9 waypoint3), layer: 0
(visible waypoint3 waypoint9), layer: 0
(visible waypoint9 waypoint5), layer: 0
(visible waypoint5 waypoint9), layer: 0
(visible waypoint10 waypoint0), layer: 0
(visible waypoint0 waypoint10), layer: 0
(visible waypoint10 waypoint3), layer: 0
(visible waypoint3 waypoint10), layer: 0
(visible waypoint10 waypoint7), layer: 0
(visible waypoint7 waypoint10), layer: 0
(visible waypoint10 waypoint9), layer: 0
(visible waypoint9 waypoint10), layer: 0
(visible waypoint11 waypoint3), layer: 0
(visible waypoint3 waypoint11), layer: 0
(visible waypoint11 waypoint5), layer: 0
(visible waypoint5 waypoint11), layer: 0
(visible waypoint11 waypoint7), layer: 0
(visible waypoint7 waypoint11), layer: 0
(visible waypoint11 waypoint10), layer: 0
(visible waypoint10 waypoint11), layer: 0
(energycost level8 waypoint0 waypoint2), layer: 0
(energycost level8 waypoint2 waypoint0), layer: 0
(energycost level3 waypoint0 waypoint7), layer: 0
(energycost level3 waypoint7 waypoint0), layer: 0
(energycost level12 waypoint0 waypoint8), layer: 0
(energycost level12 waypoint8 waypoint0), layer: 0
(energycost level15 waypoint0 waypoint10), layer: 0
(energycost level15 waypoint10 waypoint0), layer: 0
(energycost level24 waypoint0 waypoint11), layer: 0
(energycost level24 waypoint11 waypoint0), layer: 0
(energycost level16 waypoint1 waypoint2), layer: 0
(energycost level16 waypoint2 waypoint1), layer: 0
(energycost level19 waypoint1 waypoint3), layer: 0
(energycost level19 waypoint3 waypoint1), layer: 0
(energycost level7 waypoint1 waypoint4), layer: 0
(energycost level7 waypoint4 waypoint1), layer: 0
(energycost level10 waypoint1 waypoint5), layer: 0
(energycost level10 waypoint5 waypoint1), layer: 0
(energycost level11 waypoint1 waypoint6), layer: 0
(energycost level11 waypoint6 waypoint1), layer: 0
(energycost level2 waypoint1 waypoint7), layer: 0
(energycost level2 waypoint7 waypoint1), layer: 0
(energycost level13 waypoint1 waypoint8), layer: 0
(energycost level13 waypoint8 waypoint1), layer: 0
(energycost level8 waypoint1 waypoint9), layer: 0
(energycost level8 waypoint9 waypoint1), layer: 0
(energycost level19 waypoint2 waypoint3), layer: 0
(energycost level19 waypoint3 waypoint2), layer: 0
(energycost level5 waypoint2 waypoint4), layer: 0
(energycost level5 waypoint4 waypoint2), layer: 0
(energycost level22 waypoint2 waypoint6), layer: 0
(energycost level22 waypoint6 waypoint2), layer: 0
(energycost level24 waypoint2 waypoint8), layer: 0
(energycost level24 waypoint8 waypoint2), layer: 0
(energycost level2 waypoint2 waypoint9), layer: 0
(energycost level2 waypoint9 waypoint2), layer: 0
(energycost level19 waypoint2 waypoint10), layer: 0
