(empty-shaker shaker1), layer: 0
(shaker-level shaker1 l0), layer: 0
(clean-shaker shaker1), layer: 0
(ontable shaker1), layer: 0
(count-shot shot-bag1 ontable-true clean-shot-true empty-shot-true snum4), layer: 0
(count-shot-goal shot-bag1 empty-shot-true snum4), layer: 0
(count-hand hand-bag1 handempty-true hnum2), layer: 0
(count-shot shot-bag1 hand-bag1 shot-property2-none empty-shot-true snum0), layer: 0
(count-shot shot-bag1 ontable-true shot-property2-none empty-shot-true snum0), layer: 0
(count-shot shot-bag1 hand-bag1 clean-shot-true empty-shot-true snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail1 empty-shot-true snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail1 empty-shot-true snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail2 empty-shot-true snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail2 empty-shot-true snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail3 empty-shot-true snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail3 empty-shot-true snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient1 empty-shot-true snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient1 empty-shot-true snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient2 empty-shot-true snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient2 empty-shot-true snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient3 empty-shot-true snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient3 empty-shot-true snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient3 cocktail1 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient3 cocktail1 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient2 cocktail1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient2 cocktail1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 ingredient1 cocktail1 snum0), layer: 0
(count-shot shot-bag1 ontable-true ingredient1 cocktail1 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail3 cocktail1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail3 cocktail1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail2 cocktail1 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail2 cocktail1 snum0), layer: 0
(count-shot shot-bag1 ontable-true cocktail1 cocktail1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 cocktail1 cocktail1 snum0), layer: 0
(count-shot shot-bag1 hand-bag1 clean-shot-true cocktail1 snum0), layer: 0
