Diameter for drive: 2
Diameter for pick-up: 5
Diameter for drop: 5
Init-to-goal-distance pnum1 - city-loc-2: 1
Init-to-goal-distance pnum1 - city-loc-6: 1
Init-to-goal-distance pnum1 - city-loc-13: 0
Init-to-goal-distance pnum1 - city-loc-14: 0
Init-to-goal-distance pnum1 - city-loc-15: 1
Init-to-goal-distance pnum1 - city-loc-16: 0
Init-to-goal-distance pnum1 - city-loc-17: 1
Init-to-goal-distance pnum1 - city-loc-18: 0
Init-to-goal-distance pnum1 - city-loc-23: 1
Init-to-goal-distance pnum1 - city-loc-27: 1
Init-to-goal-distance pnum1 - city-loc-32: 1
Init-to-goal-distance pnum1 - city-loc-39: 0
Init-to-goal-distance pnum1 - city-loc-40: 1
Init-to-goal-distance pnum1 - city-loc-41: 1
Init-to-goal-distance pnum1 - city-loc-42: 1
Init-to-goal-distance pnum1 - city-loc-43: 1
Init-to-goal-distance pnum1 - city-loc-44: 1
Init-to-goal-distance pnum1 - package-bag2: 1
Init-to-goal-distance pnum1 - package-bag5: 1
Init-to-goal-distance pnum1 - package-bag6: 0
Init-to-goal-distance pnum1 - package-bag7: 0
Init-to-goal-distance pnum1 - package-bag8: 0
Init-to-goal-distance pnum1 - package-bag9: 0
Init-to-goal-distance pnum1 - package-bag10: 0
Init-to-goal-distance pnum1 - package-bag11: 0
Init-to-goal-distance pnum1 - package-bag12: 0
Init-to-goal-distance pnum1 - package-bag13: 0
Init-to-goal-distance pnum1 - package-bag14: 0
Init-to-goal-distance pnum1 - package-bag15: 0
Init-to-goal-distance pnum1 - package-bag16: 0
Init-to-goal-distance pnum1 - package-bag17: 0
Init-to-goal-distance pnum1 - package-bag18: 0
Init-to-goal-distance pnum2 - city-loc-34: 1
Init-to-goal-distance pnum2 - city-loc-37: 1
Init-to-goal-distance pnum2 - package-bag3: 0
Init-to-goal-distance pnum2 - package-bag4: 0
Init-to-goal-distance pnum3 - city-loc-3: 1
Init-to-goal-distance pnum3 - package-bag1: 0
Init-to-goal-distance city-loc-2 - city-loc-6: 0
Init-to-goal-distance city-loc-2 - city-loc-13: 0
Init-to-goal-distance city-loc-2 - city-loc-14: 0
Init-to-goal-distance city-loc-2 - city-loc-15: 0
Init-to-goal-distance city-loc-2 - city-loc-16: 0
Init-to-goal-distance city-loc-2 - city-loc-17: 0
Init-to-goal-distance city-loc-2 - city-loc-18: 0
Init-to-goal-distance city-loc-2 - city-loc-23: -1, w/ static: 0
Init-to-goal-distance city-loc-2 - city-loc-27: -1, w/ static: 0
Init-to-goal-distance city-loc-2 - city-loc-32: 0
Init-to-goal-distance city-loc-2 - city-loc-39: 0
Init-to-goal-distance city-loc-2 - city-loc-40: 0
Init-to-goal-distance city-loc-2 - city-loc-41: 0
Init-to-goal-distance city-loc-2 - city-loc-42: 0
Init-to-goal-distance city-loc-2 - city-loc-43: 0
Init-to-goal-distance city-loc-2 - city-loc-44: 0
Init-to-goal-distance city-loc-2 - package-bag2: -1
Init-to-goal-distance city-loc-2 - package-bag5: -1
Init-to-goal-distance city-loc-2 - package-bag6: 0
Init-to-goal-distance city-loc-2 - package-bag7: -1
Init-to-goal-distance city-loc-2 - package-bag8: -1
Init-to-goal-distance city-loc-2 - package-bag9: -1
Init-to-goal-distance city-loc-2 - package-bag10: -1
Init-to-goal-distance city-loc-2 - package-bag11: -1
Init-to-goal-distance city-loc-2 - package-bag12: -1
Init-to-goal-distance city-loc-2 - package-bag13: -1
Init-to-goal-distance city-loc-2 - package-bag14: -1
Init-to-goal-distance city-loc-2 - package-bag15: -1
Init-to-goal-distance city-loc-2 - package-bag16: -1
Init-to-goal-distance city-loc-2 - package-bag17: -1
Init-to-goal-distance city-loc-2 - package-bag18: -1
Init-to-goal-distance city-loc-3 - package-bag1: 0
Init-to-goal-distance city-loc-6 - city-loc-13: 0
Init-to-goal-distance city-loc-6 - city-loc-14: 0
Init-to-goal-distance city-loc-6 - city-loc-15: 0
Init-to-goal-distance city-loc-6 - city-loc-16: 0
Init-to-goal-distance city-loc-6 - city-loc-17: 0
Init-to-goal-distance city-loc-6 - city-loc-18: 0
Init-to-goal-distance city-loc-6 - city-loc-23: 0
Init-to-goal-distance city-loc-6 - city-loc-27: 0
Init-to-goal-distance city-loc-6 - city-loc-32: 0
Init-to-goal-distance city-loc-6 - city-loc-39: 0
Init-to-goal-distance city-loc-6 - city-loc-40: 0
Init-to-goal-distance city-loc-6 - city-loc-41: 0
Init-to-goal-distance city-loc-6 - city-loc-42: 0
Init-to-goal-distance city-loc-6 - city-loc-43: -1, w/ static: 0
Init-to-goal-distance city-loc-6 - city-loc-44: 0
Init-to-goal-distance city-loc-6 - package-bag2: -1
Init-to-goal-distance city-loc-6 - package-bag5: -1
Init-to-goal-distance city-loc-6 - package-bag6: -1
Init-to-goal-distance city-loc-6 - package-bag7: -1
Init-to-goal-distance city-loc-6 - package-bag8: -1
Init-to-goal-distance city-loc-6 - package-bag9: -1
Init-to-goal-distance city-loc-6 - package-bag10: -1
Init-to-goal-distance city-loc-6 - package-bag11: 0
Init-to-goal-distance city-loc-6 - package-bag12: -1
Init-to-goal-distance city-loc-6 - package-bag13: -1
Init-to-goal-distance city-loc-6 - package-bag14: -1
Init-to-goal-distance city-loc-6 - package-bag15: -1
Init-to-goal-distance city-loc-6 - package-bag16: -1
Init-to-goal-distance city-loc-6 - package-bag17: -1
Init-to-goal-distance city-loc-6 - package-bag18: -1
Init-to-goal-distance city-loc-13 - city-loc-14: 0
Init-to-goal-distance city-loc-13 - city-loc-15: 0
