(available d0), layer: 0
(available d1), layer: 0
(capacity d0 four), layer: 0
(capacity d1 four), layer: 0
(in-storage t0), layer: 0
(at-surface d0), layer: 1
(at-surface d1), layer: 1
(in-storage t1), layer: 2
(full t0), layer: 2
(capacity d0 three), layer: 2
(holding d0 t0), layer: 2
(capacity d1 three), layer: 2
(holding d1 t0), layer: 2
(at-diver d0 l0), layer: 2
(at-diver d1 l0), layer: 2
(next-tank t0 t1), layer: 0
(next-tank t1 t2), layer: 0
(next-tank t2 t3), layer: 0
(next-tank t3 t4), layer: 0
(next-tank t4 t5), layer: 0
(next-tank t5 dummy), layer: 0
(cave-entrance l0), layer: 0
(connected l0 l1), layer: 0
(connected l1 l0), layer: 0
(connected l1 l2), layer: 0
(connected l2 l1), layer: 0
(next-quantity zero one), layer: 0
(next-quantity one two), layer: 0
(next-quantity two three), layer: 0
(next-quantity three four), layer: 0
