(free pos-2-0), layer: 0
(free pos-3-0), layer: 0
(free pos-4-0), layer: 0
(free pos-1-1), layer: 0
(free pos-2-1), layer: 0
(free pos-3-1), layer: 0
(free pos-4-1), layer: 0
(free pos-0-2), layer: 0
(free pos-1-2), layer: 0
(free pos-2-2), layer: 0
(free pos-3-2), layer: 0
(free pos-4-2), layer: 0
(free pos-0-3), layer: 0
(free pos-1-3), layer: 0
(free pos-2-3), layer: 0
(free pos-3-3), layer: 0
(free pos-4-3), layer: 0
(free pos-0-4), layer: 0
(free pos-1-4), layer: 0
(free pos-2-4), layer: 0
(free pos-3-4), layer: 0
(free pos-4-4), layer: 0
(occupied pos-0-0), layer: 0
(occupied pos-1-0), layer: 0
(occupied pos-0-1), layer: 0
(free pos-1-0), layer: 1
(occupied pos-2-0), layer: 1
(occupied pos-1-1), layer: 1
(free pos-0-1), layer: 1
(occupied pos-0-2), layer: 1
(free pos-0-0), layer: 2
(occupied pos-3-0), layer: 2
(occupied pos-2-1), layer: 2
(occupied pos-1-2), layer: 2
(occupied pos-0-3), layer: 2
(x-succ pos-0-0 pos-1-0), layer: 0
(x-succ pos-1-0 pos-2-0), layer: 0
(x-succ pos-2-0 pos-3-0), layer: 0
(x-succ pos-3-0 pos-4-0), layer: 0
(x-succ pos-0-1 pos-1-1), layer: 0
(x-succ pos-1-1 pos-2-1), layer: 0
(x-succ pos-2-1 pos-3-1), layer: 0
(x-succ pos-3-1 pos-4-1), layer: 0
(x-succ pos-0-2 pos-1-2), layer: 0
(x-succ pos-1-2 pos-2-2), layer: 0
(x-succ pos-2-2 pos-3-2), layer: 0
(x-succ pos-3-2 pos-4-2), layer: 0
(x-succ pos-0-3 pos-1-3), layer: 0
(x-succ pos-1-3 pos-2-3), layer: 0
(x-succ pos-2-3 pos-3-3), layer: 0
(x-succ pos-3-3 pos-4-3), layer: 0
(x-succ pos-0-4 pos-1-4), layer: 0
(x-succ pos-1-4 pos-2-4), layer: 0
(x-succ pos-2-4 pos-3-4), layer: 0
(x-succ pos-3-4 pos-4-4), layer: 0
(y-succ pos-0-0 pos-0-1), layer: 0
(y-succ pos-1-0 pos-1-1), layer: 0
(y-succ pos-2-0 pos-2-1), layer: 0
(y-succ pos-3-0 pos-3-1), layer: 0
(y-succ pos-4-0 pos-4-1), layer: 0
(y-succ pos-0-1 pos-0-2), layer: 0
(y-succ pos-1-1 pos-1-2), layer: 0
(y-succ pos-2-1 pos-2-2), layer: 0
(y-succ pos-3-1 pos-3-2), layer: 0
(y-succ pos-4-1 pos-4-2), layer: 0
(y-succ pos-0-2 pos-0-3), layer: 0
(y-succ pos-1-2 pos-1-3), layer: 0
(y-succ pos-2-2 pos-2-3), layer: 0
(y-succ pos-3-2 pos-3-3), layer: 0
(y-succ pos-4-2 pos-4-3), layer: 0
(y-succ pos-0-3 pos-0-4), layer: 0
(y-succ pos-1-3 pos-1-4), layer: 0
(y-succ pos-2-3 pos-2-4), layer: 0
(y-succ pos-3-3 pos-3-4), layer: 0
(y-succ pos-4-3 pos-4-4), layer: 0
