(free pos-2-0), layer: 0
(free pos-3-0), layer: 0
(free pos-4-0), layer: 0
(free pos-5-0), layer: 0
(free pos-6-0), layer: 0
(free pos-7-0), layer: 0
(free pos-8-0), layer: 0
(free pos-9-0), layer: 0
(free pos-10-0), layer: 0
(free pos-11-0), layer: 0
(free pos-12-0), layer: 0
(free pos-13-0), layer: 0
(free pos-14-0), layer: 0
(free pos-15-0), layer: 0
(free pos-16-0), layer: 0
(free pos-17-0), layer: 0
(free pos-18-0), layer: 0
(free pos-19-0), layer: 0
(free pos-20-0), layer: 0
(free pos-21-0), layer: 0
(free pos-1-1), layer: 0
(free pos-2-1), layer: 0
(free pos-3-1), layer: 0
(free pos-4-1), layer: 0
(free pos-5-1), layer: 0
(free pos-6-1), layer: 0
(free pos-7-1), layer: 0
(free pos-8-1), layer: 0
(free pos-9-1), layer: 0
(free pos-10-1), layer: 0
(free pos-11-1), layer: 0
(free pos-12-1), layer: 0
(free pos-13-1), layer: 0
(free pos-14-1), layer: 0
(free pos-15-1), layer: 0
(free pos-16-1), layer: 0
(free pos-17-1), layer: 0
(free pos-18-1), layer: 0
(free pos-19-1), layer: 0
(free pos-20-1), layer: 0
(free pos-21-1), layer: 0
(free pos-0-2), layer: 0
(free pos-1-2), layer: 0
(free pos-2-2), layer: 0
(free pos-3-2), layer: 0
(free pos-4-2), layer: 0
(free pos-5-2), layer: 0
(free pos-6-2), layer: 0
(free pos-7-2), layer: 0
(free pos-8-2), layer: 0
(free pos-9-2), layer: 0
(free pos-10-2), layer: 0
(free pos-11-2), layer: 0
(free pos-12-2), layer: 0
(free pos-13-2), layer: 0
(free pos-14-2), layer: 0
(free pos-15-2), layer: 0
(free pos-16-2), layer: 0
(free pos-17-2), layer: 0
(free pos-18-2), layer: 0
(free pos-19-2), layer: 0
(free pos-20-2), layer: 0
(free pos-21-2), layer: 0
(free pos-0-3), layer: 0
(free pos-1-3), layer: 0
(free pos-2-3), layer: 0
(free pos-3-3), layer: 0
(free pos-4-3), layer: 0
(free pos-5-3), layer: 0
(free pos-6-3), layer: 0
(free pos-7-3), layer: 0
(free pos-8-3), layer: 0
(free pos-9-3), layer: 0
(free pos-10-3), layer: 0
(free pos-11-3), layer: 0
(free pos-12-3), layer: 0
(free pos-13-3), layer: 0
(free pos-14-3), layer: 0
(free pos-15-3), layer: 0
(free pos-16-3), layer: 0
(free pos-17-3), layer: 0
(free pos-18-3), layer: 0
(free pos-19-3), layer: 0
(free pos-20-3), layer: 0
(free pos-21-3), layer: 0
(free pos-0-4), layer: 0
(free pos-1-4), layer: 0
(free pos-2-4), layer: 0
(free pos-3-4), layer: 0
(free pos-4-4), layer: 0
(free pos-5-4), layer: 0
(free pos-6-4), layer: 0
(free pos-7-4), layer: 0
(free pos-8-4), layer: 0
(free pos-9-4), layer: 0
(free pos-10-4), layer: 0
(free pos-11-4), layer: 0
(free pos-12-4), layer: 0
(free pos-13-4), layer: 0
(free pos-14-4), layer: 0
(free pos-15-4), layer: 0
(free pos-16-4), layer: 0
(free pos-17-4), layer: 0
(free pos-18-4), layer: 0
(free pos-19-4), layer: 0
(free pos-20-4), layer: 0
(free pos-21-4), layer: 0
(free pos-0-5), layer: 0
(free pos-1-5), layer: 0
(free pos-2-5), layer: 0
(free pos-3-5), layer: 0
(free pos-4-5), layer: 0
(free pos-5-5), layer: 0
(free pos-6-5), layer: 0
