Domain: pebbling
Problem: pebbling-22
Require:
  :conditional-effects
  :disjunctive-preconditions
  :equality
  :existential-preconditions
  :negative-preconditions
  :strips
  :typing
  :universal-preconditions
Type:
  location - object
  object
Obj:
  pos-0-0 - location
  pos-0-1 - location
  pos-0-10 - location
  pos-0-11 - location
  pos-0-12 - location
  pos-0-13 - location
  pos-0-14 - location
  pos-0-15 - location
  pos-0-16 - location
  pos-0-17 - location
  pos-0-18 - location
  pos-0-19 - location
  pos-0-2 - location
  pos-0-20 - location
  pos-0-21 - location
  pos-0-3 - location
  pos-0-4 - location
  pos-0-5 - location
  pos-0-6 - location
  pos-0-7 - location
  pos-0-8 - location
  pos-0-9 - location
  pos-1-0 - location
  pos-1-1 - location
  pos-1-10 - location
  pos-1-11 - location
  pos-1-12 - location
  pos-1-13 - location
  pos-1-14 - location
  pos-1-15 - location
  pos-1-16 - location
  pos-1-17 - location
  pos-1-18 - location
  pos-1-19 - location
  pos-1-2 - location
  pos-1-20 - location
  pos-1-21 - location
  pos-1-3 - location
  pos-1-4 - location
  pos-1-5 - location
  pos-1-6 - location
  pos-1-7 - location
  pos-1-8 - location
  pos-1-9 - location
  pos-10-0 - location
  pos-10-1 - location
  pos-10-10 - location
  pos-10-11 - location
  pos-10-12 - location
  pos-10-13 - location
  pos-10-14 - location
  pos-10-15 - location
  pos-10-16 - location
  pos-10-17 - location
  pos-10-18 - location
  pos-10-19 - location
  pos-10-2 - location
  pos-10-20 - location
  pos-10-21 - location
  pos-10-3 - location
  pos-10-4 - location
  pos-10-5 - location
  pos-10-6 - location
  pos-10-7 - location
  pos-10-8 - location
  pos-10-9 - location
  pos-11-0 - location
  pos-11-1 - location
  pos-11-10 - location
  pos-11-11 - location
  pos-11-12 - location
  pos-11-13 - location
  pos-11-14 - location
  pos-11-15 - location
  pos-11-16 - location
  pos-11-17 - location
  pos-11-18 - location
  pos-11-19 - location
  pos-11-2 - location
  pos-11-20 - location
  pos-11-21 - location
  pos-11-3 - location
  pos-11-4 - location
  pos-11-5 - location
  pos-11-6 - location
  pos-11-7 - location
  pos-11-8 - location
  pos-11-9 - location
  pos-12-0 - location
  pos-12-1 - location
  pos-12-10 - location
  pos-12-11 - location
  pos-12-12 - location
  pos-12-13 - location
  pos-12-14 - location
  pos-12-15 - location
  pos-12-16 - location
  pos-12-17 - location
  pos-12-18 - location
  pos-12-19 - location
  pos-12-2 - location
  pos-12-20 - location
  pos-12-21 - location
  pos-12-3 - location
  pos-12-4 - location
  pos-12-5 - location
  pos-12-6 - location
  pos-12-7 - location
  pos-12-8 - location
  pos-12-9 - location
  pos-13-0 - location
  pos-13-1 - location
  pos-13-10 - location
  pos-13-11 - location
  pos-13-12 - location
  pos-13-13 - location
  pos-13-14 - location
  pos-13-15 - location
  pos-13-16 - location
  pos-13-17 - location
  pos-13-18 - location
  pos-13-19 - location
  pos-13-2 - location
  pos-13-20 - location
  pos-13-21 - location
  pos-13-3 - location
  pos-13-4 - location
  pos-13-5 - location
  pos-13-6 - location
  pos-13-7 - location
  pos-13-8 - location
  pos-13-9 - location
  pos-14-0 - location
  pos-14-1 - location
  pos-14-10 - location
  pos-14-11 - location
  pos-14-12 - location
  pos-14-13 - location
  pos-14-14 - location
  pos-14-15 - location
  pos-14-16 - location
  pos-14-17 - location
  pos-14-18 - location
  pos-14-19 - location
  pos-14-2 - location
  pos-14-20 - location
  pos-14-21 - location
  pos-14-3 - location
  pos-14-4 - location
  pos-14-5 - location
  pos-14-6 - location
  pos-14-7 - location
  pos-14-8 - location
  pos-14-9 - location
  pos-15-0 - location
  pos-15-1 - location
  pos-15-10 - location
  pos-15-11 - location
  pos-15-12 - location
  pos-15-13 - location
  pos-15-14 - location
  pos-15-15 - location
  pos-15-16 - location
  pos-15-17 - location
  pos-15-18 - location
  pos-15-19 - location
  pos-15-2 - location
  pos-15-20 - location
  pos-15-21 - location
  pos-15-3 - location
  pos-15-4 - location
  pos-15-5 - location
  pos-15-6 - location
  pos-15-7 - location
  pos-15-8 - location
  pos-15-9 - location
  pos-16-0 - location
  pos-16-1 - location
  pos-16-10 - location
  pos-16-11 - location
  pos-16-12 - location
  pos-16-13 - location
  pos-16-14 - location
  pos-16-15 - location
  pos-16-16 - location
  pos-16-17 - location
  pos-16-18 - location
  pos-16-19 - location
  pos-16-2 - location
  pos-16-20 - location
  pos-16-21 - location
  pos-16-3 - location
  pos-16-4 - location
  pos-16-5 - location
  pos-16-6 - location
  pos-16-7 - location
  pos-16-8 - location
  pos-16-9 - location
  pos-17-0 - location
  pos-17-1 - location
  pos-17-10 - location
  pos-17-11 - location
  pos-17-12 - location
  pos-17-13 - location
  pos-17-14 - location
  pos-17-15 - location
  pos-17-16 - location
  pos-17-17 - location
  pos-17-18 - location
  pos-17-19 - location
  pos-17-2 - location
  pos-17-20 - location
  pos-17-21 - location
  pos-17-3 - location
  pos-17-4 - location
  pos-17-5 - location
  pos-17-6 - location
  pos-17-7 - location
  pos-17-8 - location
  pos-17-9 - location
  pos-18-0 - location
  pos-18-1 - location
  pos-18-10 - location
  pos-18-11 - location
  pos-18-12 - location
  pos-18-13 - location
  pos-18-14 - location
  pos-18-15 - location
  pos-18-16 - location
  pos-18-17 - location
  pos-18-18 - location
  pos-18-19 - location
  pos-18-2 - location
  pos-18-20 - location
  pos-18-21 - location
  pos-18-3 - location
  pos-18-4 - location
  pos-18-5 - location
  pos-18-6 - location
  pos-18-7 - location
  pos-18-8 - location
  pos-18-9 - location
  pos-19-0 - location
  pos-19-1 - location
  pos-19-10 - location
  pos-19-11 - location
  pos-19-12 - location
  pos-19-13 - location
  pos-19-14 - location
  pos-19-15 - location
  pos-19-16 - location
  pos-19-17 - location
  pos-19-18 - location
  pos-19-19 - location
  pos-19-2 - location
  pos-19-20 - location
  pos-19-21 - location
  pos-19-3 - location
  pos-19-4 - location
  pos-19-5 - location
  pos-19-6 - location
  pos-19-7 - location
  pos-19-8 - location
  pos-19-9 - location
  pos-2-0 - location
  pos-2-1 - location
  pos-2-10 - location
  pos-2-11 - location
  pos-2-12 - location
  pos-2-13 - location
  pos-2-14 - location
  pos-2-15 - location
  pos-2-16 - location
  pos-2-17 - location
  pos-2-18 - location
  pos-2-19 - location
  pos-2-2 - location
  pos-2-20 - location
  pos-2-21 - location
  pos-2-3 - location
  pos-2-4 - location
  pos-2-5 - location
  pos-2-6 - location
  pos-2-7 - location
