(fault-count-3_lost_heli0_fcl-event-finished_n0), layer: 0
(dominates-3_hyp1_lost_heli0_fcl-event-finished), layer: 0
(fault-count-3_lost_heli0_fcl-event-canceled_n0), layer: 0
(fault-count-3_lost_heli0_fcl-event-manual_n0), layer: 0
(fault-count-3_lost_heli0_fcl-event-not_accepted_n0), layer: 0
(fault-count-3_lost_heli0_fcl-event-traj3d_next_segment_n0), layer: 0
(fault-count-3_lost_heli0_fcl-return-finished_n0), layer: 0
(fault-count-3_lost_heli0_fcl-return-canceled_n0), layer: 0
(fault-count-3_lost_heli0_fcl-return-manual_n0), layer: 0
(fault-count-3_lost_heli0_fcl-return-not_accepted_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_checkpoint10_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_checkpoint11_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_checkpoint12_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_checkpoint20_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_checkpoint21_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_checkpoint22_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_checkpoint24_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_checkpoint30_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_checkpoint31_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_checkpoint40_n0), layer: 0
(fault-count-3_lost_ato-0-0-275_checkpoint1_n0), layer: 0
(dominates-3_hyp1_lost_ato-0-0-275_checkpoint1), layer: 0
(fault-count-3_lost_ato-0-0-275_checkpoint2_n0), layer: 0
(fault-count-3_lost_ato-0-0-275_checkpoint7_n0), layer: 0
(fault-count-3_lost_ato-0-0-275_checkpoint5_n0), layer: 0
(fault-count-3_lost_ato-0-0-275_checkpoint6_n0), layer: 0
(fault-count-3_lost_nav-0-0-275_checkpoint1_n0), layer: 0
(fault-count-3_lost_nav-0-0-275_checkpoint4_n0), layer: 0
(fly3d-mode-is-pre_init_f3d-0-0-346), layer: 0
(fault-count-4_lost_f3d-0-0-346_created_missionexecutor_n0), layer: 0
(fault-count-4_lost_f3d-0-0-346_created_nav-0-0-275_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_destroyed_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_task-done_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_fail-service_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_fail-specific-221_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_fail-specific-222_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_fail-specific-223_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_fail-specific-211_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_fail-specific-220_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_fail-specific-213_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_fail-specific-214_n0), layer: 0
(fault-count-3_lost_f3d-0-0-346_fail-specific-210_n0), layer: 0
(missionexec-mission-idle_heli0), layer: 0
(autotakeoff-mode-is-pre_init_ato-0-0-275), layer: 0
(navtopoint-mode-is-pre_init_nav-0-0-275), layer: 0
(pending_obs0), layer: 0
(fault-count-4_lost_ato-0-0-275_created_missionexecutor_n0), layer: 0
(fault-count-4_lost_nav-0-0-275_created_missionexecutor_n0), layer: 0
(fault-count-3_lost_ato-0-0-275_task-done_n0), layer: 0
(dominates-3_hyp1_lost_ato-0-0-275_task-done), layer: 0
(fault-count-3_lost_nav-0-0-275_task-done_n0), layer: 0
(fault-count-3_lost_ato-0-0-275_fail-specific-210_n0), layer: 0
(fault-count-3_lost_ato-0-0-275_fail-service_n0), layer: 0
(fault-count-3_lost_ato-0-0-275_fail-specific-101_n0), layer: 0
(fault-count-3_lost_ato-0-0-275_fail-specific-102_n0), layer: 0
(fault-count-3_lost_nav-0-0-275_fail-service_n0), layer: 0
(fault-count-3_lost_nav-0-0-275_fail-specific-101_n0), layer: 0
(fault-count-3_lost_nav-0-0-275_fail-specific-102_n0), layer: 0
(fault-count-3_lost_nav-0-0-275_fail-specific-402_n0), layer: 0
(fault-count-3_lost_nav-0-0-275_fail-specific-403_n0), layer: 0
(fault-count-3_lost_nav-0-0-275_fail-specific-404_n0), layer: 0
(fault-count-3_lost_nav-0-0-275_fail-subtask_n0), layer: 0
(fault-count-3_lost_ato-0-0-275_destroyed_n0), layer: 0
(fault-count-3_lost_nav-0-0-275_destroyed_n0), layer: 0
(future_obs1), layer: 0
(future_obs2), layer: 0
(future_obs3), layer: 0
(future_obs4), layer: 0
(future_obs5), layer: 0
(future_obs6), layer: 0
(future_obs7), layer: 0
(future_obs8), layer: 0
(future_obs9), layer: 0
(future_obs10), layer: 0
(future_obs11), layer: 0
(future_obs12), layer: 0
(future_obs13), layer: 0
(future_obs14), layer: 0
(not_at_end_constraint0), layer: 0
(fly3d-mode-is-processing_f3d-0-0-346), layer: 1
(called-by_f3d-0-0-346_missionexecutor), layer: 1
(missionexec-active-mission_heli0_f3d-0-0-346), layer: 1
(missionexec-mission-init-call_heli0), layer: 1
(missionexec-active-mission_heli0_ato-0-0-275), layer: 1
(autotakeoff-mode-is-processing_ato-0-0-275), layer: 1
(called-by_ato-0-0-275_missionexecutor), layer: 1
(missionexec-active-mission_heli0_nav-0-0-275), layer: 1
(navtopoint-mode-is-processing_nav-0-0-275), layer: 1
(called-by_nav-0-0-275_missionexecutor), layer: 1
(fly3d-mode-is-ready_f3d-0-0-346), layer: 2
(missionexec-mission-ready_heli0), layer: 2
(autotakeoff-mode-is-ready_ato-0-0-275), layer: 2
(observed_obs0), layer: 2
(navtopoint-mode-is-ready_nav-0-0-275), layer: 2
(fly3d-mode-is-failed_f3d-0-0-346), layer: 2
(missionexec-mission-over_heli0), layer: 2
(autotakeoff-mode-is-failed_ato-0-0-275), layer: 2
(navtopoint-mode-is-failed_nav-0-0-275), layer: 2
(static-true), layer: 0
