Diameter for drive: inf
Diameter for pickup-documents: 1
Diameter for deposit-documents: inf
Init-to-goal-distance document1 - document2: 0
Init-to-goal-distance document1 - document3: 0
Init-to-goal-distance document1 - document4: 0
Init-to-goal-distance document1 - document7: 2
Init-to-goal-distance document1 - document9: 2
Init-to-goal-distance document1 - document13: 2
Init-to-goal-distance document1 - document14: 2
Init-to-goal-distance document1 - document16: 2
Init-to-goal-distance document1 - document19: 2
Init-to-goal-distance document1 - document20: 2
Init-to-goal-distance document1 - document21: 2
Init-to-goal-distance document1 - document23: 2
Init-to-goal-distance document1 - document24: 2
Init-to-goal-distance document1 - document25: 2
Init-to-goal-distance document1 - document26: 2
Init-to-goal-distance document1 - document27: 3
Init-to-goal-distance document1 - document28: 3
Init-to-goal-distance document1 - document30: 3
Init-to-goal-distance document1 - depot: 2
Init-to-goal-distance document2 - document3: 0
Init-to-goal-distance document2 - document4: 0
Init-to-goal-distance document2 - document7: 2
Init-to-goal-distance document2 - document9: 2
Init-to-goal-distance document2 - document13: 2
Init-to-goal-distance document2 - document14: 2
Init-to-goal-distance document2 - document16: 2
Init-to-goal-distance document2 - document19: 2
Init-to-goal-distance document2 - document20: 2
Init-to-goal-distance document2 - document21: 2
Init-to-goal-distance document2 - document23: 2
Init-to-goal-distance document2 - document24: 2
Init-to-goal-distance document2 - document25: 2
Init-to-goal-distance document2 - document26: 2
Init-to-goal-distance document2 - document27: 3
Init-to-goal-distance document2 - document28: 3
Init-to-goal-distance document2 - document30: 3
Init-to-goal-distance document2 - depot: 2
Init-to-goal-distance document3 - document4: 0
Init-to-goal-distance document3 - document7: 2
Init-to-goal-distance document3 - document9: 2
Init-to-goal-distance document3 - document13: 2
Init-to-goal-distance document3 - document14: 2
Init-to-goal-distance document3 - document16: 2
Init-to-goal-distance document3 - document19: 2
Init-to-goal-distance document3 - document20: 2
Init-to-goal-distance document3 - document21: 2
Init-to-goal-distance document3 - document23: 2
Init-to-goal-distance document3 - document24: 2
Init-to-goal-distance document3 - document25: 2
Init-to-goal-distance document3 - document26: 2
Init-to-goal-distance document3 - document27: 3
Init-to-goal-distance document3 - document28: 3
Init-to-goal-distance document3 - document30: 3
Init-to-goal-distance document3 - depot: 2
Init-to-goal-distance document4 - document7: 2
Init-to-goal-distance document4 - document9: 2
Init-to-goal-distance document4 - document13: 2
