(train-at office1), layer: 0
(in-train fuel1), layer: 0
(in-train fuel2), layer: 0
(at document1 office3), layer: 0
(at document2 office3), layer: 0
(at document3 office4), layer: 0
(at document4 office4), layer: 0
(at document5 office4), layer: 0
(at document6 office4), layer: 0
(at document7 office8), layer: 0
(at document8 office8), layer: 0
(train-at office2), layer: 1
(at fuel1 office1), layer: 1
(at fuel2 office1), layer: 1
(train-at office), layer: 2
(train-at office3), layer: 2
(at fuel1 office2), layer: 2
(at fuel2 office2), layer: 2
(track office1 office1), layer: 0
(track office1 office2), layer: 0
(track office2 office), layer: 0
(track office2 office3), layer: 0
(track office3 office2), layer: 0
(track office3 office1), layer: 0
(track office3 office4), layer: 0
(track office4 office8), layer: 0
(track office4 office3), layer: 0
(track office4 office5), layer: 0
(track office5 office8), layer: 0
(track office5 office7), layer: 0
(track office5 office5), layer: 0
(track office5 office2), layer: 0
(track office5 office6), layer: 0
(track office6 office4), layer: 0
(track office6 office6), layer: 0
(track office6 office8), layer: 0
(track office6 office3), layer: 0
(track office6 office5), layer: 0
(track office6 office7), layer: 0
(track office7 office4), layer: 0
(track office7 office8), layer: 0
(track office8 office5), layer: 0
(track office8 office8), layer: 0
(track office8 office9), layer: 0
(track office9 office11), layer: 0
(track office9 office6), layer: 0
(track office9 office10), layer: 0
(track office10 office8), layer: 0
(track office10 office7), layer: 0
(track office10 depot), layer: 0
(track office10 office11), layer: 0
(track office11 office8), layer: 0
(track office11 office7), layer: 0
(track office11 depot), layer: 0
(track depot office8), layer: 0
