Diameter for load: 2
Diameter for unload: 2
Diameter for drive: 2
Init-to-goal-distance l0 - p1: 2, length bound: 1
Init-to-goal-distance l0 - p3: 1, length bound: 1
Init-to-goal-distance l0 - p4: 1, length bound: 1
Init-to-goal-distance l1 - p2: 1, length bound: 1
Init-to-goal-distance l2 - p6: 1, length bound: 1
Init-to-goal-distance l4 - p5: 2, length bound: 1
Init-to-goal-distance l4 - p7: 3, length bound: 2
Init-to-goal-distance l7 - p0: 2, length bound: 1
Init-to-goal-distance p1 - p3: 1, length bound: 1
Init-to-goal-distance p1 - p4: 1, length bound: 1
Init-to-goal-distance p3 - p4: 0, length bound: 0
Init-to-goal-distance p5 - p7: 2, length bound: 1
