(on-sale goods0 market4), layer: 0
(on-sale goods0 market5), layer: 0
(on-sale goods0 market6), layer: 0
(on-sale goods1 market1), layer: 0
(on-sale goods2 market3), layer: 0
(on-sale goods2 market6), layer: 0
(at truck0 depot0), layer: 0
(money level33), layer: 0
(at truck0 market3), layer: 1
(money level31), layer: 1
(at truck0 market4), layer: 1
(money level29), layer: 1
(at truck0 market5), layer: 1
(money level15), layer: 1
(at truck0 market6), layer: 1
(money level24), layer: 1
(available goods0 market4), layer: 1
(available goods0 market5), layer: 1
(available goods0 market6), layer: 1
(money level25), layer: 1
(available goods1 market1), layer: 1
(money level28), layer: 1
(available goods2 market3), layer: 1
(money level27), layer: 1
(available goods2 market6), layer: 1
(money level26), layer: 2
(money level23), layer: 2
(money level22), layer: 2
(money level13), layer: 2
(money level21), layer: 2
(money level20), layer: 2
(money level11), layer: 2
(money level10), layer: 2
(money level9), layer: 2
(money level7), layer: 2
(money level6), layer: 2
(money level19), layer: 2
(money level18), layer: 2
(money level16), layer: 2
(at truck0 market2), layer: 2
(at truck0 market1), layer: 2
(money level17), layer: 2
(money level14), layer: 2
(money level1), layer: 2
(money level12), layer: 2
(money level8), layer: 2
(loaded goods2 truck0), layer: 2
(loaded goods0 truck0), layer: 2
(sum level0 level0 level0), layer: 0
(sum level0 level1 level1), layer: 0
(sum level0 level2 level2), layer: 0
(sum level0 level3 level3), layer: 0
(sum level0 level4 level4), layer: 0
(sum level0 level5 level5), layer: 0
(sum level0 level6 level6), layer: 0
(sum level0 level7 level7), layer: 0
(sum level0 level8 level8), layer: 0
(sum level0 level9 level9), layer: 0
(sum level0 level10 level10), layer: 0
(sum level0 level11 level11), layer: 0
(sum level0 level12 level12), layer: 0
(sum level0 level13 level13), layer: 0
(sum level0 level14 level14), layer: 0
(sum level0 level15 level15), layer: 0
(sum level0 level16 level16), layer: 0
(sum level0 level17 level17), layer: 0
(sum level0 level18 level18), layer: 0
(sum level0 level19 level19), layer: 0
(sum level0 level20 level20), layer: 0
(sum level0 level21 level21), layer: 0
(sum level0 level22 level22), layer: 0
(sum level0 level23 level23), layer: 0
(sum level0 level24 level24), layer: 0
(sum level0 level25 level25), layer: 0
(sum level0 level26 level26), layer: 0
(sum level0 level27 level27), layer: 0
(sum level0 level28 level28), layer: 0
(sum level0 level29 level29), layer: 0
(sum level0 level30 level30), layer: 0
(sum level0 level31 level31), layer: 0
(sum level0 level32 level32), layer: 0
(sum level0 level33 level33), layer: 0
(sum level1 level0 level1), layer: 0
(sum level1 level1 level2), layer: 0
(sum level1 level2 level3), layer: 0
(sum level1 level3 level4), layer: 0
(sum level1 level4 level5), layer: 0
(sum level1 level5 level6), layer: 0
(sum level1 level6 level7), layer: 0
(sum level1 level7 level8), layer: 0
(sum level1 level8 level9), layer: 0
(sum level1 level9 level10), layer: 0
(sum level1 level10 level11), layer: 0
(sum level1 level11 level12), layer: 0
(sum level1 level12 level13), layer: 0
(sum level1 level13 level14), layer: 0
(sum level1 level14 level15), layer: 0
(sum level1 level15 level16), layer: 0
(sum level1 level16 level17), layer: 0
(sum level1 level17 level18), layer: 0
(sum level1 level18 level19), layer: 0
(sum level1 level19 level20), layer: 0
(sum level1 level20 level21), layer: 0
(sum level1 level21 level22), layer: 0
(sum level1 level22 level23), layer: 0
(sum level1 level23 level24), layer: 0
(sum level1 level24 level25), layer: 0
(sum level1 level25 level26), layer: 0
(sum level1 level26 level27), layer: 0
(sum level1 level27 level28), layer: 0
(sum level1 level28 level29), layer: 0
(sum level1 level29 level30), layer: 0
(sum level1 level30 level31), layer: 0
(sum level1 level31 level32), layer: 0
(sum level1 level32 level33), layer: 0
(sum level2 level0 level2), layer: 0
(sum level2 level1 level3), layer: 0
(sum level2 level2 level4), layer: 0
(sum level2 level3 level5), layer: 0
(sum level2 level4 level6), layer: 0
(sum level2 level5 level7), layer: 0
(sum level2 level6 level8), layer: 0
(sum level2 level7 level9), layer: 0
(sum level2 level8 level10), layer: 0
(sum level2 level9 level11), layer: 0
(sum level2 level10 level12), layer: 0
(sum level2 level11 level13), layer: 0
(sum level2 level12 level14), layer: 0
(sum level2 level13 level15), layer: 0
(sum level2 level14 level16), layer: 0
(sum level2 level15 level17), layer: 0
(sum level2 level16 level18), layer: 0
(sum level2 level17 level19), layer: 0
(sum level2 level18 level20), layer: 0
(sum level2 level19 level21), layer: 0
(sum level2 level20 level22), layer: 0
(sum level2 level21 level23), layer: 0
(sum level2 level22 level24), layer: 0
(sum level2 level23 level25), layer: 0
(sum level2 level24 level26), layer: 0
(sum level2 level25 level27), layer: 0
(sum level2 level26 level28), layer: 0
(sum level2 level27 level29), layer: 0
(sum level2 level28 level30), layer: 0
(sum level2 level29 level31), layer: 0
(sum level2 level30 level32), layer: 0
(sum level2 level31 level33), layer: 0
(sum level3 level0 level3), layer: 0
(sum level3 level1 level4), layer: 0
(sum level3 level2 level5), layer: 0
(sum level3 level3 level6), layer: 0
(sum level3 level4 level7), layer: 0
(sum level3 level5 level8), layer: 0
(sum level3 level6 level9), layer: 0
(sum level3 level7 level10), layer: 0
(sum level3 level8 level11), layer: 0
(sum level3 level9 level12), layer: 0
(sum level3 level10 level13), layer: 0
(sum level3 level11 level14), layer: 0
(sum level3 level12 level15), layer: 0
(sum level3 level13 level16), layer: 0
(sum level3 level14 level17), layer: 0
(sum level3 level15 level18), layer: 0
(sum level3 level16 level19), layer: 0
(sum level3 level17 level20), layer: 0
(sum level3 level18 level21), layer: 0
(sum level3 level19 level22), layer: 0
(sum level3 level20 level23), layer: 0
(sum level3 level21 level24), layer: 0
