(free pos-0-5), layer: 0
(free pos-0-6), layer: 0
(free pos-0-7), layer: 0
(free pos-0-8), layer: 0
(free pos-0-9), layer: 0
(free pos-1-5), layer: 0
(free pos-1-6), layer: 0
(free pos-1-7), layer: 0
(free pos-1-8), layer: 0
(free pos-1-9), layer: 0
(free pos-2-5), layer: 0
(free pos-2-6), layer: 0
(free pos-2-7), layer: 0
(free pos-2-8), layer: 0
(free pos-2-9), layer: 0
(free pos-3-5), layer: 0
(free pos-3-6), layer: 0
(free pos-3-7), layer: 0
(free pos-3-8), layer: 0
(free pos-3-9), layer: 0
(free pos-4-5), layer: 0
(free pos-4-6), layer: 0
(free pos-4-7), layer: 0
(free pos-4-8), layer: 0
(free pos-4-9), layer: 0
(occupied pos-0-0), layer: 0
(occupied pos-0-1), layer: 0
(occupied pos-0-2), layer: 0
(occupied pos-0-3), layer: 0
(occupied pos-0-4), layer: 0
(occupied pos-1-0), layer: 0
(occupied pos-1-1), layer: 0
(occupied pos-1-2), layer: 0
(occupied pos-1-3), layer: 0
(occupied pos-1-4), layer: 0
(occupied pos-2-0), layer: 0
(occupied pos-2-1), layer: 0
(occupied pos-2-2), layer: 0
(occupied pos-2-3), layer: 0
(occupied pos-2-4), layer: 0
(occupied pos-3-0), layer: 0
(occupied pos-3-1), layer: 0
(occupied pos-3-2), layer: 0
(occupied pos-3-3), layer: 0
(occupied pos-3-4), layer: 0
(occupied pos-4-0), layer: 0
(occupied pos-4-1), layer: 0
(occupied pos-4-2), layer: 0
(occupied pos-4-3), layer: 0
(occupied pos-4-4), layer: 0
(free pos-0-3), layer: 1
(free pos-0-4), layer: 1
(occupied pos-0-5), layer: 1
(free pos-1-3), layer: 1
(free pos-1-4), layer: 1
(occupied pos-1-5), layer: 1
(free pos-2-3), layer: 1
(free pos-2-4), layer: 1
(occupied pos-2-5), layer: 1
(free pos-3-3), layer: 1
(free pos-3-4), layer: 1
(occupied pos-3-5), layer: 1
(free pos-4-3), layer: 1
(free pos-4-4), layer: 1
(occupied pos-4-5), layer: 1
(free pos-0-1), layer: 2
(free pos-0-2), layer: 2
(occupied pos-0-6), layer: 2
(free pos-1-1), layer: 2
(free pos-1-2), layer: 2
(occupied pos-1-6), layer: 2
(free pos-2-1), layer: 2
(free pos-2-2), layer: 2
(occupied pos-2-6), layer: 2
(free pos-3-1), layer: 2
(free pos-3-2), layer: 2
(occupied pos-3-6), layer: 2
(free pos-4-1), layer: 2
(free pos-4-2), layer: 2
(occupied pos-4-6), layer: 2
(in-line pos-0-0 pos-0-1 pos-0-2), layer: 0
(in-line pos-0-1 pos-0-2 pos-0-3), layer: 0
(in-line pos-0-2 pos-0-3 pos-0-4), layer: 0
(in-line pos-0-3 pos-0-4 pos-0-5), layer: 0
(in-line pos-0-4 pos-0-5 pos-0-6), layer: 0
(in-line pos-0-5 pos-0-6 pos-0-7), layer: 0
(in-line pos-0-6 pos-0-7 pos-0-8), layer: 0
(in-line pos-0-7 pos-0-8 pos-0-9), layer: 0
(in-line pos-1-0 pos-1-1 pos-1-2), layer: 0
(in-line pos-1-1 pos-1-2 pos-1-3), layer: 0
(in-line pos-1-2 pos-1-3 pos-1-4), layer: 0
(in-line pos-1-3 pos-1-4 pos-1-5), layer: 0
(in-line pos-1-4 pos-1-5 pos-1-6), layer: 0
(in-line pos-1-5 pos-1-6 pos-1-7), layer: 0
(in-line pos-1-6 pos-1-7 pos-1-8), layer: 0
(in-line pos-1-7 pos-1-8 pos-1-9), layer: 0
(in-line pos-2-0 pos-2-1 pos-2-2), layer: 0
(in-line pos-2-1 pos-2-2 pos-2-3), layer: 0
(in-line pos-2-2 pos-2-3 pos-2-4), layer: 0
(in-line pos-2-3 pos-2-4 pos-2-5), layer: 0
(in-line pos-2-4 pos-2-5 pos-2-6), layer: 0
(in-line pos-2-5 pos-2-6 pos-2-7), layer: 0
(in-line pos-2-6 pos-2-7 pos-2-8), layer: 0
(in-line pos-2-7 pos-2-8 pos-2-9), layer: 0
(in-line pos-3-0 pos-3-1 pos-3-2), layer: 0
(in-line pos-3-1 pos-3-2 pos-3-3), layer: 0
(in-line pos-3-2 pos-3-3 pos-3-4), layer: 0
(in-line pos-3-3 pos-3-4 pos-3-5), layer: 0
(in-line pos-3-4 pos-3-5 pos-3-6), layer: 0
(in-line pos-3-5 pos-3-6 pos-3-7), layer: 0
(in-line pos-3-6 pos-3-7 pos-3-8), layer: 0
(in-line pos-3-7 pos-3-8 pos-3-9), layer: 0
(in-line pos-4-0 pos-4-1 pos-4-2), layer: 0
(in-line pos-4-1 pos-4-2 pos-4-3), layer: 0
(in-line pos-4-2 pos-4-3 pos-4-4), layer: 0
(in-line pos-4-3 pos-4-4 pos-4-5), layer: 0
(in-line pos-4-4 pos-4-5 pos-4-6), layer: 0
(in-line pos-4-5 pos-4-6 pos-4-7), layer: 0
(in-line pos-4-6 pos-4-7 pos-4-8), layer: 0
(in-line pos-4-7 pos-4-8 pos-4-9), layer: 0
(in-line pos-0-2 pos-0-1 pos-0-0), layer: 0
(in-line pos-0-3 pos-0-2 pos-0-1), layer: 0
(in-line pos-0-4 pos-0-3 pos-0-2), layer: 0
(in-line pos-0-5 pos-0-4 pos-0-3), layer: 0
(in-line pos-0-6 pos-0-5 pos-0-4), layer: 0
(in-line pos-0-7 pos-0-6 pos-0-5), layer: 0
(in-line pos-0-8 pos-0-7 pos-0-6), layer: 0
(in-line pos-0-9 pos-0-8 pos-0-7), layer: 0
(in-line pos-1-2 pos-1-1 pos-1-0), layer: 0
(in-line pos-1-3 pos-1-2 pos-1-1), layer: 0
(in-line pos-1-4 pos-1-3 pos-1-2), layer: 0
(in-line pos-1-5 pos-1-4 pos-1-3), layer: 0
(in-line pos-1-6 pos-1-5 pos-1-4), layer: 0
(in-line pos-1-7 pos-1-6 pos-1-5), layer: 0
(in-line pos-1-8 pos-1-7 pos-1-6), layer: 0
(in-line pos-1-9 pos-1-8 pos-1-7), layer: 0
(in-line pos-2-2 pos-2-1 pos-2-0), layer: 0
(in-line pos-2-3 pos-2-2 pos-2-1), layer: 0
(in-line pos-2-4 pos-2-3 pos-2-2), layer: 0
(in-line pos-2-5 pos-2-4 pos-2-3), layer: 0
(in-line pos-2-6 pos-2-5 pos-2-4), layer: 0
(in-line pos-2-7 pos-2-6 pos-2-5), layer: 0
(in-line pos-2-8 pos-2-7 pos-2-6), layer: 0
(in-line pos-2-9 pos-2-8 pos-2-7), layer: 0
(in-line pos-3-2 pos-3-1 pos-3-0), layer: 0
(in-line pos-3-3 pos-3-2 pos-3-1), layer: 0
(in-line pos-3-4 pos-3-3 pos-3-2), layer: 0
(in-line pos-3-5 pos-3-4 pos-3-3), layer: 0
(in-line pos-3-6 pos-3-5 pos-3-4), layer: 0
