(free pos-0-15), layer: 0
(free pos-0-16), layer: 0
(free pos-0-17), layer: 0
(free pos-0-18), layer: 0
(free pos-0-19), layer: 0
(free pos-1-15), layer: 0
(free pos-1-16), layer: 0
(free pos-1-17), layer: 0
(free pos-1-18), layer: 0
(free pos-1-19), layer: 0
(free pos-2-15), layer: 0
(free pos-2-16), layer: 0
(free pos-2-17), layer: 0
(free pos-2-18), layer: 0
(free pos-2-19), layer: 0
(free pos-3-15), layer: 0
(free pos-3-16), layer: 0
(free pos-3-17), layer: 0
(free pos-3-18), layer: 0
(free pos-3-19), layer: 0
(free pos-4-15), layer: 0
(free pos-4-16), layer: 0
(free pos-4-17), layer: 0
(free pos-4-18), layer: 0
(free pos-4-19), layer: 0
(free pos-5-15), layer: 0
(free pos-5-16), layer: 0
(free pos-5-17), layer: 0
(free pos-5-18), layer: 0
(free pos-5-19), layer: 0
(free pos-6-15), layer: 0
(free pos-6-16), layer: 0
(free pos-6-17), layer: 0
(free pos-6-18), layer: 0
(free pos-6-19), layer: 0
(free pos-7-15), layer: 0
(free pos-7-16), layer: 0
(free pos-7-17), layer: 0
(free pos-7-18), layer: 0
(free pos-7-19), layer: 0
(free pos-8-15), layer: 0
(free pos-8-16), layer: 0
(free pos-8-17), layer: 0
(free pos-8-18), layer: 0
(free pos-8-19), layer: 0
(free pos-9-15), layer: 0
(free pos-9-16), layer: 0
(free pos-9-17), layer: 0
(free pos-9-18), layer: 0
(free pos-9-19), layer: 0
(free pos-10-15), layer: 0
(free pos-10-16), layer: 0
(free pos-10-17), layer: 0
(free pos-10-18), layer: 0
(free pos-10-19), layer: 0
(free pos-11-15), layer: 0
(free pos-11-16), layer: 0
(free pos-11-17), layer: 0
(free pos-11-18), layer: 0
(free pos-11-19), layer: 0
(free pos-12-15), layer: 0
(free pos-12-16), layer: 0
(free pos-12-17), layer: 0
(free pos-12-18), layer: 0
(free pos-12-19), layer: 0
(free pos-13-15), layer: 0
(free pos-13-16), layer: 0
(free pos-13-17), layer: 0
(free pos-13-18), layer: 0
(free pos-13-19), layer: 0
(free pos-14-15), layer: 0
(free pos-14-16), layer: 0
(free pos-14-17), layer: 0
(free pos-14-18), layer: 0
(free pos-14-19), layer: 0
(occupied pos-0-0), layer: 0
(occupied pos-0-1), layer: 0
(occupied pos-0-2), layer: 0
(occupied pos-0-3), layer: 0
(occupied pos-0-4), layer: 0
(occupied pos-0-5), layer: 0
(occupied pos-0-6), layer: 0
(occupied pos-0-7), layer: 0
(occupied pos-0-8), layer: 0
(occupied pos-0-9), layer: 0
(occupied pos-0-10), layer: 0
(occupied pos-0-11), layer: 0
(occupied pos-0-12), layer: 0
(occupied pos-0-13), layer: 0
(occupied pos-0-14), layer: 0
(occupied pos-1-0), layer: 0
(occupied pos-1-1), layer: 0
(occupied pos-1-2), layer: 0
(occupied pos-1-3), layer: 0
(occupied pos-1-4), layer: 0
(occupied pos-1-5), layer: 0
(occupied pos-1-6), layer: 0
(occupied pos-1-7), layer: 0
(occupied pos-1-8), layer: 0
(occupied pos-1-9), layer: 0
(occupied pos-1-10), layer: 0
(occupied pos-1-11), layer: 0
(occupied pos-1-12), layer: 0
(occupied pos-1-13), layer: 0
(occupied pos-1-14), layer: 0
(occupied pos-2-0), layer: 0
(occupied pos-2-1), layer: 0
(occupied pos-2-2), layer: 0
(occupied pos-2-3), layer: 0
(occupied pos-2-4), layer: 0
(occupied pos-2-5), layer: 0
(occupied pos-2-6), layer: 0
(occupied pos-2-7), layer: 0
(occupied pos-2-8), layer: 0
(occupied pos-2-9), layer: 0
(occupied pos-2-10), layer: 0
(occupied pos-2-11), layer: 0
(occupied pos-2-12), layer: 0
(occupied pos-2-13), layer: 0
(occupied pos-2-14), layer: 0
(occupied pos-3-0), layer: 0
(occupied pos-3-1), layer: 0
(occupied pos-3-2), layer: 0
(occupied pos-3-3), layer: 0
(occupied pos-3-4), layer: 0
(occupied pos-3-5), layer: 0
(occupied pos-3-6), layer: 0
(occupied pos-3-7), layer: 0
(occupied pos-3-8), layer: 0
(occupied pos-3-9), layer: 0
(occupied pos-3-10), layer: 0
(occupied pos-3-11), layer: 0
(occupied pos-3-12), layer: 0
(occupied pos-3-13), layer: 0
(occupied pos-3-14), layer: 0
(occupied pos-4-0), layer: 0
(occupied pos-4-1), layer: 0
(occupied pos-4-2), layer: 0
(occupied pos-4-3), layer: 0
(occupied pos-4-4), layer: 0
(occupied pos-4-5), layer: 0
(occupied pos-4-6), layer: 0
(occupied pos-4-7), layer: 0
(occupied pos-4-8), layer: 0
(occupied pos-4-9), layer: 0
(occupied pos-4-10), layer: 0
(occupied pos-4-11), layer: 0
(occupied pos-4-12), layer: 0
(occupied pos-4-13), layer: 0
(occupied pos-4-14), layer: 0
(occupied pos-5-0), layer: 0
(occupied pos-5-1), layer: 0
(occupied pos-5-2), layer: 0
(occupied pos-5-3), layer: 0
(occupied pos-5-4), layer: 0
(occupied pos-5-5), layer: 0
(occupied pos-5-6), layer: 0
(occupied pos-5-7), layer: 0
(occupied pos-5-8), layer: 0
(occupied pos-5-9), layer: 0
(occupied pos-5-10), layer: 0
(occupied pos-5-11), layer: 0
(occupied pos-5-12), layer: 0
(occupied pos-5-13), layer: 0
(occupied pos-5-14), layer: 0
(occupied pos-6-0), layer: 0
(occupied pos-6-1), layer: 0
(occupied pos-6-2), layer: 0
(occupied pos-6-3), layer: 0
(occupied pos-6-4), layer: 0
(occupied pos-6-5), layer: 0
(occupied pos-6-6), layer: 0
(occupied pos-6-7), layer: 0
(occupied pos-6-8), layer: 0
(occupied pos-6-9), layer: 0
(occupied pos-6-10), layer: 0
(occupied pos-6-11), layer: 0
(occupied pos-6-12), layer: 0
(occupied pos-6-13), layer: 0
(occupied pos-6-14), layer: 0
(occupied pos-7-0), layer: 0
(occupied pos-7-1), layer: 0
(occupied pos-7-2), layer: 0
(occupied pos-7-3), layer: 0
(occupied pos-7-4), layer: 0
(occupied pos-7-5), layer: 0
(occupied pos-7-6), layer: 0
(occupied pos-7-7), layer: 0
(occupied pos-7-8), layer: 0
(occupied pos-7-9), layer: 0
(occupied pos-7-10), layer: 0
(occupied pos-7-11), layer: 0
(occupied pos-7-12), layer: 0
(occupied pos-7-13), layer: 0
(occupied pos-7-14), layer: 0
(occupied pos-8-0), layer: 0
(occupied pos-8-1), layer: 0
(occupied pos-8-2), layer: 0
(occupied pos-8-3), layer: 0
(occupied pos-8-4), layer: 0
(occupied pos-8-5), layer: 0
(occupied pos-8-6), layer: 0
(occupied pos-8-7), layer: 0
(occupied pos-8-8), layer: 0
(occupied pos-8-9), layer: 0
(occupied pos-8-10), layer: 0
(occupied pos-8-11), layer: 0
(occupied pos-8-12), layer: 0
(occupied pos-8-13), layer: 0
(occupied pos-8-14), layer: 0
(occupied pos-9-0), layer: 0
(occupied pos-9-1), layer: 0
(occupied pos-9-2), layer: 0
(occupied pos-9-3), layer: 0
(occupied pos-9-4), layer: 0
(occupied pos-9-5), layer: 0
(occupied pos-9-6), layer: 0
(occupied pos-9-7), layer: 0
(occupied pos-9-8), layer: 0
(occupied pos-9-9), layer: 0
(occupied pos-9-10), layer: 0
(occupied pos-9-11), layer: 0
(occupied pos-9-12), layer: 0
(occupied pos-9-13), layer: 0
(occupied pos-9-14), layer: 0
(occupied pos-10-0), layer: 0
(occupied pos-10-1), layer: 0
(occupied pos-10-2), layer: 0
(occupied pos-10-3), layer: 0
(occupied pos-10-4), layer: 0
(occupied pos-10-5), layer: 0
(occupied pos-10-6), layer: 0
(occupied pos-10-7), layer: 0
(occupied pos-10-8), layer: 0
(occupied pos-10-9), layer: 0
(occupied pos-10-10), layer: 0
(occupied pos-10-11), layer: 0
(occupied pos-10-12), layer: 0
(occupied pos-10-13), layer: 0
(occupied pos-10-14), layer: 0
(occupied pos-11-0), layer: 0
(occupied pos-11-1), layer: 0
(occupied pos-11-2), layer: 0
(occupied pos-11-3), layer: 0
(occupied pos-11-4), layer: 0
(occupied pos-11-5), layer: 0
(occupied pos-11-6), layer: 0
(occupied pos-11-7), layer: 0
(occupied pos-11-8), layer: 0
(occupied pos-11-9), layer: 0
(occupied pos-11-10), layer: 0
(occupied pos-11-11), layer: 0
(occupied pos-11-12), layer: 0
(occupied pos-11-13), layer: 0
(occupied pos-11-14), layer: 0
(occupied pos-12-0), layer: 0
(occupied pos-12-1), layer: 0
(occupied pos-12-2), layer: 0
(occupied pos-12-3), layer: 0
(occupied pos-12-4), layer: 0
(occupied pos-12-5), layer: 0
(occupied pos-12-6), layer: 0
(occupied pos-12-7), layer: 0
(occupied pos-12-8), layer: 0
(occupied pos-12-9), layer: 0
(occupied pos-12-10), layer: 0
(occupied pos-12-11), layer: 0
(occupied pos-12-12), layer: 0
(occupied pos-12-13), layer: 0
(occupied pos-12-14), layer: 0
(occupied pos-13-0), layer: 0
(occupied pos-13-1), layer: 0
(occupied pos-13-2), layer: 0
(occupied pos-13-3), layer: 0
(occupied pos-13-4), layer: 0
(occupied pos-13-5), layer: 0
(occupied pos-13-6), layer: 0
(occupied pos-13-7), layer: 0
(occupied pos-13-8), layer: 0
(occupied pos-13-9), layer: 0
(occupied pos-13-10), layer: 0
(occupied pos-13-11), layer: 0
(occupied pos-13-12), layer: 0
(occupied pos-13-13), layer: 0
(occupied pos-13-14), layer: 0
(occupied pos-14-0), layer: 0
(occupied pos-14-1), layer: 0
(occupied pos-14-2), layer: 0
(occupied pos-14-3), layer: 0
(occupied pos-14-4), layer: 0
(occupied pos-14-5), layer: 0
(occupied pos-14-6), layer: 0
(occupied pos-14-7), layer: 0
(occupied pos-14-8), layer: 0
(occupied pos-14-9), layer: 0
(occupied pos-14-10), layer: 0
(occupied pos-14-11), layer: 0
(occupied pos-14-12), layer: 0
(occupied pos-14-13), layer: 0
(occupied pos-14-14), layer: 0
(free pos-0-13), layer: 1
(free pos-0-14), layer: 1
(occupied pos-0-15), layer: 1
(free pos-1-13), layer: 1
(free pos-1-14), layer: 1
(occupied pos-1-15), layer: 1
(free pos-2-13), layer: 1
(free pos-2-14), layer: 1
(occupied pos-2-15), layer: 1
(free pos-3-13), layer: 1
(free pos-3-14), layer: 1
(occupied pos-3-15), layer: 1
(free pos-4-13), layer: 1
(free pos-4-14), layer: 1
(occupied pos-4-15), layer: 1
(free pos-5-13), layer: 1
(free pos-5-14), layer: 1
(occupied pos-5-15), layer: 1
(free pos-6-13), layer: 1
(free pos-6-14), layer: 1
(occupied pos-6-15), layer: 1
(free pos-7-13), layer: 1
(free pos-7-14), layer: 1
(occupied pos-7-15), layer: 1
(free pos-8-13), layer: 1
(free pos-8-14), layer: 1
(occupied pos-8-15), layer: 1
(free pos-9-13), layer: 1
(free pos-9-14), layer: 1
(occupied pos-9-15), layer: 1
(free pos-10-13), layer: 1
(free pos-10-14), layer: 1
(occupied pos-10-15), layer: 1
(free pos-11-13), layer: 1
(free pos-11-14), layer: 1
(occupied pos-11-15), layer: 1
(free pos-12-13), layer: 1
(free pos-12-14), layer: 1
(occupied pos-12-15), layer: 1
(free pos-13-13), layer: 1
(free pos-13-14), layer: 1
(occupied pos-13-15), layer: 1
(free pos-14-13), layer: 1
(free pos-14-14), layer: 1
(occupied pos-14-15), layer: 1
(free pos-0-11), layer: 2
(free pos-0-12), layer: 2
(occupied pos-0-16), layer: 2
(free pos-1-11), layer: 2
(free pos-1-12), layer: 2
(occupied pos-1-16), layer: 2
(free pos-2-11), layer: 2
(free pos-2-12), layer: 2
(occupied pos-2-16), layer: 2
(free pos-3-11), layer: 2
(free pos-3-12), layer: 2
(occupied pos-3-16), layer: 2
(free pos-4-11), layer: 2
(free pos-4-12), layer: 2
(occupied pos-4-16), layer: 2
(free pos-5-11), layer: 2
