(at t2 p1 p1), layer: 0
(blank p2 p1), layer: 0
(at t7 p3 p1), layer: 0
(at t6 p1 p2), layer: 0
(at t3 p2 p2), layer: 0
(at t8 p3 p2), layer: 0
(at t5 p1 p3), layer: 0
(at t4 p2 p3), layer: 0
(at t1 p3 p3), layer: 0
(blank p2 p2), layer: 1
(at t3 p2 p1), layer: 1
(blank p1 p1), layer: 1
(at t2 p2 p1), layer: 1
(blank p3 p1), layer: 1
(at t7 p2 p1), layer: 1
(at t2 p2 p2), layer: 2
(at t7 p2 p2), layer: 2
(blank p1 p2), layer: 2
(at t6 p1 p1), layer: 2
(blank p3 p2), layer: 2
(at t8 p3 p1), layer: 2
(blank p2 p3), layer: 2
(at t4 p2 p2), layer: 2
(at t6 p2 p2), layer: 2
(at t2 p3 p1), layer: 2
(at t3 p3 p1), layer: 2
(at t3 p1 p1), layer: 2
(at t7 p1 p1), layer: 2
(at t8 p2 p2), layer: 2
(tile t1), layer: 0
(tile t2), layer: 0
(tile t3), layer: 0
(tile t4), layer: 0
(tile t5), layer: 0
(tile t6), layer: 0
(tile t7), layer: 0
(tile t8), layer: 0
(xposition p1), layer: 0
(xposition p2), layer: 0
(xposition p3), layer: 0
(yposition p1), layer: 0
(yposition p2), layer: 0
(yposition p3), layer: 0
(inc p1 p2), layer: 0
(inc p2 p3), layer: 0
(dec p2 p1), layer: 0
(dec p3 p2), layer: 0
