Diameter for move-up: 2
Diameter for move-down: 2
Diameter for move-left: 2
Diameter for move-right: 2
Init-to-goal-distance t1 - t2: 1
Init-to-goal-distance t1 - t3: 0
Init-to-goal-distance t1 - t4: 1
Init-to-goal-distance t1 - t5: 1
Init-to-goal-distance t1 - t6: 1
Init-to-goal-distance t1 - t7: 0
Init-to-goal-distance t1 - t8: -1
Init-to-goal-distance t1 - t9: 1
Init-to-goal-distance t1 - t10: 0
Init-to-goal-distance t1 - t11: -1
Init-to-goal-distance t1 - p1: 0
Init-to-goal-distance t1 - p2: 1
Init-to-goal-distance t1 - p3: 0
Init-to-goal-distance t1 - p4: 0
Init-to-goal-distance t2 - t3: 1
Init-to-goal-distance t2 - t4: -1
Init-to-goal-distance t2 - t5: 0
Init-to-goal-distance t2 - t6: 0
Init-to-goal-distance t2 - t7: 0
Init-to-goal-distance t2 - t8: 0
Init-to-goal-distance t2 - t9: 0
Init-to-goal-distance t2 - t10: -1
Init-to-goal-distance t2 - t11: 1
Init-to-goal-distance t2 - p1: 1
Init-to-goal-distance t2 - p2: -1
Init-to-goal-distance t2 - p3: 1
Init-to-goal-distance t2 - p4: -1
Init-to-goal-distance t3 - t4: 1
Init-to-goal-distance t3 - t5: 0
Init-to-goal-distance t3 - t6: 0
Init-to-goal-distance t3 - t7: 0
Init-to-goal-distance t3 - t8: -1
Init-to-goal-distance t3 - t9: 0
Init-to-goal-distance t3 - t10: 0
Init-to-goal-distance t3 - t11: -1
Init-to-goal-distance t3 - p1: 0
Init-to-goal-distance t3 - p2: 1
Init-to-goal-distance t3 - p3: -1
Init-to-goal-distance t3 - p4: 0
Init-to-goal-distance t4 - t5: 1
Init-to-goal-distance t4 - t6: -1
Init-to-goal-distance t4 - t7: 0
Init-to-goal-distance t4 - t8: 0
Init-to-goal-distance t4 - t9: -1
Init-to-goal-distance t4 - t10: 0
Init-to-goal-distance t4 - t11: 0
Init-to-goal-distance t4 - p1: 0
Init-to-goal-distance t4 - p2: 0
Init-to-goal-distance t4 - p3: 0
Init-to-goal-distance t4 - p4: 0
Init-to-goal-distance t5 - t6: 0
Init-to-goal-distance t5 - t7: 1
Init-to-goal-distance t5 - t8: 0
Init-to-goal-distance t5 - t9: -1
Init-to-goal-distance t5 - t10: 1
Init-to-goal-distance t5 - t11: 0
Init-to-goal-distance t5 - p1: 0
Init-to-goal-distance t5 - p2: 1
Init-to-goal-distance t5 - p3: 0
Init-to-goal-distance t5 - p4: -1
Init-to-goal-distance t6 - t7: 0
Init-to-goal-distance t6 - t8: 1
Init-to-goal-distance t6 - t9: 0
Init-to-goal-distance t6 - t10: -1
Init-to-goal-distance t6 - t11: 0
Init-to-goal-distance t6 - p1: 1
Init-to-goal-distance t6 - p2: -1
Init-to-goal-distance t6 - p3: 0
Init-to-goal-distance t6 - p4: 0
Init-to-goal-distance t7 - t8: 0
Init-to-goal-distance t7 - t9: -1
Init-to-goal-distance t7 - t10: 0
Init-to-goal-distance t7 - t11: 0
Init-to-goal-distance t7 - p1: -1
Init-to-goal-distance t7 - p2: 0
Init-to-goal-distance t7 - p3: 1
Init-to-goal-distance t7 - p4: 0
Init-to-goal-distance t8 - t9: 0
Init-to-goal-distance t8 - t10: -1
Init-to-goal-distance t8 - t11: 0
Init-to-goal-distance t8 - p1: -1
Init-to-goal-distance t8 - p2: 0
Init-to-goal-distance t8 - p3: 1
Init-to-goal-distance t8 - p4: -1
Init-to-goal-distance t9 - t10: 0
Init-to-goal-distance t9 - t11: 0
Init-to-goal-distance t9 - p1: 1
Init-to-goal-distance t9 - p2: -1
Init-to-goal-distance t9 - p3: -1
Init-to-goal-distance t9 - p4: 1
Init-to-goal-distance t10 - t11: 0
Init-to-goal-distance t10 - p1: -1
Init-to-goal-distance t10 - p2: 0
Init-to-goal-distance t10 - p3: 0
Init-to-goal-distance t10 - p4: 1
Init-to-goal-distance t11 - p1: -1
Init-to-goal-distance t11 - p2: 0
Init-to-goal-distance t11 - p3: 0
Init-to-goal-distance t11 - p4: 1
Init-to-goal-distance p1 - p2: 0
Init-to-goal-distance p1 - p3: 0
Init-to-goal-distance p1 - p4: 0
Init-to-goal-distance p2 - p3: 0
Init-to-goal-distance p2 - p4: 0
Init-to-goal-distance p3 - p4: 0
