(at t1 p1 p1), layer: 0
(at t7 p2 p1), layer: 0
(at t3 p3 p1), layer: 0
(at t10 p1 p2), layer: 0
(at t4 p2 p2), layer: 0
(at t6 p3 p2), layer: 0
(at t11 p1 p3), layer: 0
(at t9 p2 p3), layer: 0
(blank p3 p3), layer: 0
(at t8 p1 p4), layer: 0
(at t2 p2 p4), layer: 0
(at t5 p3 p4), layer: 0
(blank p3 p2), layer: 1
(at t6 p3 p3), layer: 1
(blank p3 p4), layer: 1
(at t5 p3 p3), layer: 1
(blank p2 p3), layer: 1
(at t9 p3 p3), layer: 1
(blank p3 p1), layer: 2
(at t3 p3 p2), layer: 2
(blank p2 p2), layer: 2
(at t4 p2 p3), layer: 2
(at t6 p3 p4), layer: 2
(at t9 p3 p4), layer: 2
(at t5 p3 p2), layer: 2
(at t9 p3 p2), layer: 2
(blank p2 p4), layer: 2
(at t2 p2 p3), layer: 2
(blank p1 p3), layer: 2
(at t11 p2 p3), layer: 2
(at t2 p3 p4), layer: 2
(at t4 p3 p2), layer: 2
(at t5 p2 p3), layer: 2
(at t6 p2 p3), layer: 2
(tile t1), layer: 0
(tile t2), layer: 0
(tile t3), layer: 0
(tile t4), layer: 0
(tile t5), layer: 0
(tile t6), layer: 0
(tile t7), layer: 0
(tile t8), layer: 0
(tile t9), layer: 0
(tile t10), layer: 0
(tile t11), layer: 0
(xposition p1), layer: 0
(xposition p2), layer: 0
(xposition p3), layer: 0
(yposition p1), layer: 0
(yposition p2), layer: 0
(yposition p3), layer: 0
(yposition p4), layer: 0
(inc p1 p2), layer: 0
(inc p2 p3), layer: 0
(inc p3 p4), layer: 0
(dec p2 p1), layer: 0
(dec p3 p2), layer: 0
(dec p4 p3), layer: 0
