(at gold-1 s-1-3), layer: 0
(at agent-1 s-1-1), layer: 0
(alive agent-1), layer: 0
(have agent-1 arrow-1), layer: 0
(at wumpus-1 s-2-3), layer: 0
(alive wumpus-1), layer: 0
(at agent-1 s-1-2), layer: 1
(at agent-1 s-2-1), layer: 1
(have agent-1 agent-1), layer: 1
(at agent-1 s-1-3), layer: 2
(at agent-1 s-2-2), layer: 2
(adj s-1-1 s-1-2), layer: 0
(adj s-1-2 s-1-1), layer: 0
(adj s-1-2 s-1-3), layer: 0
(adj s-1-3 s-1-2), layer: 0
(adj s-2-1 s-2-2), layer: 0
(adj s-2-2 s-2-1), layer: 0
(adj s-2-2 s-2-3), layer: 0
(adj s-2-3 s-2-2), layer: 0
(adj s-1-1 s-2-1), layer: 0
(adj s-2-1 s-1-1), layer: 0
(adj s-1-2 s-2-2), layer: 0
(adj s-2-2 s-1-2), layer: 0
(adj s-1-3 s-2-3), layer: 0
(adj s-2-3 s-1-3), layer: 0
(pit s-1-2), layer: 0
